 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,95,95,95,50.660,67.173,0.075,0.075,0,71
2,0.000,159,159,159,52.147,67.074,0.075,0.075,0,71
3,0.000,49,49,49,45.079,53.468,0.075,0.075,0,101
4,0.000,138,138,138,55.515,60.733,0.075,0.075,0,101
5,0.000,62,62,62,50.363,55.383,0.075,0.075,0,131
6,0.000,140,140,140,67.800,65.158,0.075,0.075,0,131
