 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,41,41,41,68.776,58.855,0.063,0.063,0,150
2,0.000,43,43,43,73.008,51.933,0.063,0.063,0,150
3,0.000,164,164,164,70.878,57.370,0.063,0.063,0,194
4,0.000,94,94,94,58.491,46.496,0.063,0.063,0,194
5,0.000,220,220,220,70.598,49.578,0.063,0.063,0,238
6,0.000,93,93,93,41.339,38.816,0.063,0.063,0,238
7,0.000,112,112,112,72.224,52.437,0.063,0.063,0,282
8,0.000,125,125,125,24.131,40.498,0.063,0.063,0,282
