state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
6300	118.883	118.883	118.883	0	3	2010.954	2.534	39.155	-94.01	-332.42	0.00	0.00
6400	158.384	158.384	158.384	0	3	1766.782	1.896	39.054	-92.92	-333.18	0.00	0.00
6500	235.282	235.282	235.282	0	3	2077.809	1.265	38.078	-89.48	-337.81	0.00	0.00
6600	150.155	150.155	150.155	0	3	2553.172	0.443	37.193	-93.09	-335.96	0.00	0.00
6700	224.944	224.944	224.944	0	3	1548.004	0.446	35.033	-91.98	-335.23	0.00	-0.49
6800	386.665	386.665	386.665	0	3	845.581	0.613	35.566	-93.20	-339.54	-4.29	0.00
6900	209.304	209.304	209.304	0	3	1235.330	0.623	35.922	-94.40	-333.29	0.00	0.00
7000	176.791	176.791	176.791	0	3	1343.972	0.268	45.436	-97.17	-332.30	3.88	0.00
7100	180.770	180.770	180.770	0	3	1927.009	0.008	44.189	-93.78	-334.80	0.00	0.00
7200	158.281	158.281	158.281	0	3	2374.964	0.197	44.119	-94.26	-335.61	0.00	0.00
7300	164.491	164.491	164.491	0	3	3264.910	0.486	23.481	-92.40	-339.44	0.00	0.00
7400	218.658	218.658	218.658	0	3	1518.513	0.639	24.777	-97.66	-334.84	0.00	0.00
7500	142.099	142.099	142.099	0	3	2073.524	0.786	25.212	-95.93	-333.69	0.32	0.00
7600	196.401	196.401	196.401	0	3	2810.854	1.457	25.438	-89.76	-339.03	0.00	0.00
7700	164.949	164.949	164.949	0	3	1688.961	2.184	41.203	-93.07	-333.16	3.03	0.00
7800	147.683	147.683	147.683	0	3	1480.439	4.284	41.940	-95.33	-331.56	0.00	0.00
7900	95.026	95.026	95.026	0	3	1975.733	4.896	42.039	-96.53	-331.23	-0.39	0.00
8000	160.631	160.631	160.631	0	3	3341.926	2.792	42.677	-89.55	-339.58	1.62	-0.11
8100	133.307	133.307	133.307	0	3	1379.825	2.981	43.022	-96.74	-330.53	3.00	0.00
8200	174.770	174.770	174.770	0	3	1659.457	2.866	43.146	-93.08	-333.47	0.00	0.00
8300	184.309	184.309	184.309	0	3	1030.326	2.754	42.151	-96.74	-331.37	0.00	0.00
8400	187.387	187.387	187.387	0	3	1597.902	2.606	42.578	-92.78	-333.78	-0.54	0.00
8500	203.916	203.916	203.916	0	3	1520.989	2.443	42.772	-92.68	-334.20	0.27	0.00
8600	206.115	206.115	206.115	0	3	1487.166	3.127	42.268	-92.87	-334.16	0.00	0.00
8700	144.491	144.491	144.491	0	3	2878.199	4.885	41.772	-91.55	-337.01	-1.75	0.00
8800	93.517	93.517	93.517	0	3	2116.571	3.577	34.450	-94.95	-331.72	-0.00	0.00
8900	192.389	192.389	192.389	0	3	3293.766	3.764	30.849	-88.52	-340.78	0.00	0.00
9000	152.182	152.182	152.182	0	3	1882.055	3.764	36.079	-92.32	-333.37	-0.97	0.14
9100	152.130	152.130	152.130	0	3	1657.957	3.177	36.079	-93.08	-332.47	0.00	0.00
9200	192.053	192.053	192.053	0	3	1503.464	3.177	36.142	-92.59	-333.61	0.00	0.00
9300	100.764	100.764	100.764	0	3	1804.232	2.637	36.104	-96.09	-330.79	0.00	0.00
9400	180.552	180.552	180.552	0	3	2078.687	0.954	36.104	-91.46	-335.40	0.00	0.00
9500	158.703	158.703	158.703	0	3	1806.886	0.831	36.455	-93.98	-333.35	0.00	0.00
9600	159.599	159.599	159.599	0	3	985.022	1.170	35.828	-99.20	-330.11	0.00	0.00
9700	226.726	226.726	226.726	0	3	2431.310	0.603	36.158	-89.01	-338.84	-4.59	0.00
9800	157.116	157.116	157.116	0	3	2226.489	0.633	36.308	-92.96	-334.96	3.27	0.00
9900	230.541	230.541	230.541	0	3	1716.011	2.193	37.337	-90.60	-336.15	-0.29	0.00
10000	142.628	142.628	142.628	0	3	1271.317	1.659	26.904	-98.04	-330.50	-0.00	0.00
