Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
0	-50.2595	-57.073	6.81346	0.09407371	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5800353	0.9308614
10	-45.3209	-50.7042	5.38331	0.2639776	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.09972081	2.91099
20	-42.9201	-48.9443	6.02417	0.6902648	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.68906	1.051646
30	-42.9457	-49.0164	6.07071	0.7176574	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8060015	0.8467253
40	-42.852	-49.2067	6.35465	0.7765996	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6394969	0.6051581
50	-41.9162	-49.4461	7.52993	0.36871	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2956971	0.03570338
60	-41.7982	-48.7845	6.98631	0.5605835	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6888494	0.06115707
70	-41.7842	-48.8268	7.04256	0.5106695	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6271508	0.1153178
80	-45.1875	-51.608	6.42047	0.2196142	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.584485	0.2447101
90	-41.8263	-49.2042	7.3779	0.4040521	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3251195	0.1451454
100	-45.0752	-48.8376	3.76239	0.5042026	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.427717	4.226139
110	-43.6331	-49.091	5.45785	0.4252579	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8994165	1.830647
120	-46.0082	-49.0513	3.04313	0.7296073	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.550205	0.6913838
130	-45.1672	-48.8676	3.70048	0.48935	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.554632	0.1905837
140	-42.671	-48.9263	6.25537	0.4672907	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.372103	0.3588136
150	-43.8203	-50.4604	6.64006	0.2789291	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.044405	0.4528667
