Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
154	0	-42.8429	-49.9064	7.06345	0.9359189	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.05198923	0.1595357
155	1	-44.7194	-51.082	6.36261	1.14307	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2925587	0.5064949
156	0	-44.8038	-48.9357	4.13184	0.6866688	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.567258	1.429767
157	1	-44.442	-50.3825	5.94052	1.024793	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.160922	0.2812232
158	0	-45.7663	-48.7877	3.02138	0.5849147	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.368683	4.070991
159	1	-42.2469	-49.5949	7.34794	0.3511186	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4726603	0.09625823
160	0	-43.3855	-49.0907	5.70518	0.7423777	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4069394	1.651381
161	1	-41.784	-48.883	7.09905	0.482879	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2991494	0.4091593
162	0	-42.6278	-49.9693	7.34155	0.3151107	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.330698	0.2886783
163	1	-43.1143	-48.9245	5.81019	0.6818574	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7847033	1.220665
164	0	-41.5742	-48.799	7.22485	0.6030605	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.191727	0.2238489
165	1	-45.8311	-50.7732	4.94201	1.092171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.193335	1.35694
166	0	-45.7451	-49.0826	3.33744	0.4270128	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5532666	4.69819
167	1	-41.6347	-48.8265	7.1918	0.5108294	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.07308617	0.4915762
168	0	-43.7784	-48.7945	5.01608	0.5970936	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.664277	1.387032
169	1	-42.3161	-49.1317	6.81563	0.4171429	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8752278	0.2486146
170	0	-42.916	-48.9815	6.06553	0.7049194	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7804537	0.8935856
171	1	-42.9597	-48.8054	5.8457	0.6101333	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3698738	1.678598
172	0	-44.3722	-48.8078	4.43565	0.5245908	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.603925	1.224428
173	1	-45.4149	-49.2434	3.82846	0.7866493	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.595833	1.643255
174	0	-41.8714	-48.8638	6.99241	0.652156	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.151615	0.4821511
175	1	-43.1414	-48.8671	5.72564	0.6539813	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.033823	0.1053413
176	0	-43.9925	-48.8629	4.87037	0.4914755	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.766931	1.583474
177	1	-49.9419	-48.8305	-1.11131	0.6313171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	10.23258	0.07014073
178	0	-44.2534	-49.7911	5.53769	0.3310492	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1626936	2.584467
179	1	-45.059	-48.7844	3.72545	0.5611255	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5471458	4.082931
180	0	-44.4774	-48.784	4.30667	0.5648083	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.492445	1.441548
181	1	-41.6432	-48.8997	7.25654	0.4764896	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4972946	0.03118958
182	0	-41.7689	-49.1889	7.41994	0.4066978	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3886354	0.02844848
183	1	-45.8881	-49.6241	3.73598	0.3479285	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.743873	0.1273995
184	0	-46.7778	-50.4549	3.67712	1.037584	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.557947	3.562621
185	1	-41.9943	-48.8643	6.86999	0.4908555	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5338396	0.437584
186	0	-48.4708	-52.3245	3.85375	1.334791	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.514175	2.042488
187	1	-43.8327	-48.9402	5.10749	0.6885587	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.896892	0.9367818
188	0	-41.8179	-48.8693	7.05137	0.4886205	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3824229	0.3757998
189	1	-41.553	-48.784	7.23102	0.5654227	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3779381	0.07508816
190	0	-44.8042	-49.0227	4.21844	0.7198559	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7893464	3.065123
191	1	-42.1921	-48.8602	6.66811	0.4927078	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6705872	0.5388812
192	0	-43.036	-48.8297	5.79371	0.5088218	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.08278	1.148134
193	1	-42.2773	-49.0592	6.7819	0.7322143	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2055816	0.5834371
194	0	-43.3921	-48.8226	5.43051	0.6253807	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.416702	0.1077353
195	1	-42.344	-49.0489	6.70496	0.7288241	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1987313	0.6858834
196	0	-43.2163	-49.1713	5.95501	0.4098063	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.73964	0.4171488
197	1	-42.9436	-49.4046	6.461	0.8276131	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3015527	0.7558348
198	0	-41.631	-49.0468	7.41579	0.434839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3195101	0.06902895
199	1	-44.9926	-48.881	3.8884	0.6613822	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.972752	2.344084
200	0	-44.606	-48.8727	4.26675	0.6570337	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.451086	0.4206591
201	1	-44.0779	-49.8987	5.82076	0.9344031	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.545436	0.1467961
