Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
370	-43.4102	-49.2479	5.83765	0.3968403	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3635463	1.948335
380	-45.2187	-49.7435	4.52478	0.9029839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1037555	3.16821
390	-43.7055	-50.4196	6.7141	1.031367	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2032289	0.310463
400	-41.4438	-49.0892	7.64539	0.4256266	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.105655	0.02060101
410	-43.8211	-48.8277	5.0066	0.6292854	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.786163	1.23812
420	-44.2605	-49.9179	5.65734	0.938184	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.578688	0.3035302
430	-41.5941	-48.8408	7.24664	0.5024627	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1691272	0.340235
440	-42.1116	-48.8703	6.75869	0.6557496	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.08783875	0.8197992
450	-42.6226	-49.2263	6.60365	0.4003541	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.006143023	1.389949
460	-41.7048	-48.7853	7.08052	0.5569415	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4530961	0.1891271
470	-43.3841	-48.7897	5.40563	0.5892748	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.255611	1.341406
480	-44.8396	-49.58	4.74033	0.8679971	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.792281	0.2647981
490	-41.8154	-48.8173	7.00187	0.5171039	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1467008	0.6365278
500	-44.0846	-48.784	4.69941	0.5659348	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.236671	2.228583
