Iteration	Replicate_ID	Posterior	Likelihood	Prior	R
115	1	-32.814	-32.7968	-0.0171831	0.01718313
116	0	-33.0324	-32.7968	-0.235644	0.2356445
117	1	-32.8054	-32.7968	-0.00865548	0.008655483
118	0	-33.2403	-32.7968	-0.443487	0.443487
119	1	-32.8049	-32.7968	-0.0081289	0.008128904
120	0	-33.5106	-32.7968	-0.713798	0.7137979
121	1	-32.8	-32.7968	-0.0032625	0.003262503
122	0	-33.4343	-32.7968	-0.63754	0.6375399
123	1	-32.7997	-32.7968	-0.00294511	0.00294511
124	0	-33.4343	-32.7968	-0.63754	0.6375399
125	1	-32.7994	-32.7968	-0.0026116	0.002611603
126	0	-33.2993	-32.7968	-0.502495	0.5024953
127	1	-32.7996	-32.7968	-0.00284559	0.002845593
128	0	-33.296	-32.7968	-0.499223	0.4992226
129	1	-32.8012	-32.7968	-0.00443033	0.00443033
130	0	-33.1016	-32.7968	-0.30487	0.3048697
131	1	-32.8012	-32.7968	-0.00443033	0.00443033
132	0	-32.9829	-32.7968	-0.186088	0.1860884
133	1	-32.8036	-32.7968	-0.00686214	0.00686214
134	0	-33.1572	-32.7968	-0.360378	0.3603782
135	1	-32.8021	-32.7968	-0.00534326	0.005343262
136	0	-33.1664	-32.7968	-0.369638	0.3696376
137	1	-32.8027	-32.7968	-0.0059016	0.005901597
138	0	-33.3664	-32.7968	-0.56963	0.5696297
139	1	-32.8034	-32.7968	-0.00663941	0.006639407
140	0	-33.384	-32.7968	-0.587253	0.5872529
141	1	-32.8044	-32.7968	-0.00765163	0.007651627
142	0	-33.4226	-32.7968	-0.625839	0.6258389
143	1	-32.8084	-32.7968	-0.0115902	0.01159025
144	0	-33.4257	-32.7968	-0.628968	0.6289683
145	1	-32.8069	-32.7968	-0.0100826	0.0100826
146	0	-34.1022	-32.7968	-1.3054	1.305397
147	1	-32.812	-32.7968	-0.0152534	0.01525339
148	0	-33.8121	-32.7968	-1.01528	1.015282
149	1	-32.8159	-32.7968	-0.0190757	0.01907567
150	0	-34.4487	-32.7968	-1.6519	1.651903
151	1	-32.8073	-32.7968	-0.0105495	0.01054947
152	0	-33.8516	-32.7968	-1.05481	1.054807
153	1	-32.8072	-32.7968	-0.0104415	0.01044152
154	0	-33.8492	-32.7968	-1.05247	1.052467
155	1	-32.8089	-32.7968	-0.0121098	0.01210979
156	0	-34.0343	-32.7968	-1.23754	1.237537
157	1	-32.8061	-32.7968	-0.00933301	0.009333013
158	0	-33.656	-32.7968	-0.859174	0.8591737
159	1	-32.8042	-32.7968	-0.00744442	0.007444424
160	0	-33.5004	-32.7968	-0.703609	0.703609
161	1	-32.8073	-32.7968	-0.0105607	0.01056067
162	0	-33.5917	-32.7968	-0.794929	0.7949285
163	1	-32.8119	-32.7968	-0.0150877	0.01508768
164	0	-34.4939	-32.7968	-1.69714	1.697136
165	1	-32.811	-32.7968	-0.0142687	0.01426872
166	0	-35.4618	-32.7968	-2.66507	2.665066
167	1	-32.8175	-32.7968	-0.0207699	0.02076988
168	0	-35.1865	-32.7968	-2.38968	2.389684
169	1	-32.8238	-32.7968	-0.0269761	0.02697613
170	0	-34.1428	-32.7968	-1.346	1.345998
171	1	-32.808	-32.7968	-0.0111907	0.0111907
172	0	-33.9991	-32.7968	-1.2023	1.2023
173	1	-32.8058	-32.7968	-0.00898953	0.008989528
174	0	-33.4333	-32.7968	-0.636526	0.6365265
175	1	-32.807	-32.7968	-0.0102676	0.01026758
176	0	-33.6856	-32.7968	-0.88884	0.8888396
177	1	-32.8098	-32.7968	-0.0130284	0.0130284
178	0	-33.5191	-32.7968	-0.722308	0.7223082
179	1	-32.81	-32.7968	-0.0132255	0.01322554
180	0	-33.2596	-32.7968	-0.462855	0.4628553
181	1	-32.809	-32.7968	-0.0122553	0.01225528
182	0	-33.4958	-32.7968	-0.699052	0.6990516
183	1	-32.8115	-32.7968	-0.0147421	0.01474212
184	0	-33.8406	-32.7968	-1.04385	1.043851
185	1	-32.8083	-32.7968	-0.0115612	0.01156118
186	0	-34.4208	-32.7968	-1.62398	1.623979
187	1	-32.8059	-32.7968	-0.00915418	0.00915418
188	0	-33.6171	-32.7968	-0.820343	0.8203432
189	1	-32.8048	-32.7968	-0.00804995	0.008049951
190	0	-34.2386	-32.7968	-1.44179	1.441785
191	1	-32.8026	-32.7968	-0.00582187	0.005821867
192	0	-34.5452	-32.7968	-1.74838	1.748377
193	1	-32.8083	-32.7968	-0.0114769	0.01147689
194	0	-34.6891	-32.7968	-1.89233	1.892332
195	1	-32.8068	-32.7968	-0.010058	0.01005801
196	0	-34.31	-32.7968	-1.51321	1.513213
197	1	-32.8038	-32.7968	-0.00700723	0.007007227
198	0	-35.3788	-32.7968	-2.58201	2.582011
199	1	-32.8085	-32.7968	-0.0117587	0.01175867
200	0	-36.0931	-32.7968	-3.29632	3.296321
201	1	-32.8054	-32.7968	-0.00857121	0.008571207
202	0	-36.3289	-32.7968	-3.53208	3.532078
203	1	-32.8014	-32.7968	-0.00460734	0.004607342
204	0	-36.4199	-32.7968	-3.62313	3.62313
205	1	-32.8015	-32.7968	-0.00475583	0.004755827
206	0	-36.843	-32.7968	-4.04625	4.046248
