Iteration	Posterior	Likelihood	Prior	R
126	-36.0561	-32.7968	-3.25933	3.259329
127	-36.0833	-32.7968	-3.28654	3.286539
128	-34.7308	-32.7968	-1.93403	1.934035
129	-35.8168	-32.7968	-3.01997	3.019974
130	-34.1707	-32.7968	-1.37391	1.373911
131	-33.8382	-32.7968	-1.04142	1.041425
132	-33.48	-32.7968	-0.683261	0.6832611
133	-33.2836	-32.7968	-0.486809	0.4868095
134	-33.1172	-32.7968	-0.320429	0.3204294
135	-33.2137	-32.7968	-0.416945	0.4169448
136	-33.2353	-32.7968	-0.438567	0.4385669
137	-33.7663	-32.7968	-0.969564	0.9695642
138	-33.5115	-32.7968	-0.714704	0.7147038
139	-33.2575	-32.7968	-0.460694	0.4606943
140	-33.2581	-32.7968	-0.461287	0.4612873
141	-33.2392	-32.7968	-0.442447	0.442447
142	-33.144	-32.7968	-0.347188	0.3471876
143	-33.0724	-32.7968	-0.275589	0.2755891
144	-33.1479	-32.7968	-0.351093	0.3510932
145	-33.2245	-32.7968	-0.427726	0.427726
146	-33.1636	-32.7968	-0.366838	0.3668381
147	-33.0813	-32.7968	-0.284529	0.2845285
148	-33.1178	-32.7968	-0.321022	0.3210216
149	-32.949	-32.7968	-0.152208	0.1522085
150	-32.9416	-32.7968	-0.144798	0.1447982
151	-33.0204	-32.7968	-0.223658	0.2236576
152	-32.9977	-32.7968	-0.200919	0.2009194
153	-33.0215	-32.7968	-0.224703	0.2247032
154	-32.9689	-32.7968	-0.172146	0.1721461
155	-32.979	-32.7968	-0.182227	0.1822267
156	-33.0222	-32.7968	-0.225388	0.2253882
157	-33.023	-32.7968	-0.226181	0.2261812
158	-32.9345	-32.7968	-0.13772	0.1377199
159	-32.9372	-32.7968	-0.140464	0.1404636
160	-33.0366	-32.7968	-0.239785	0.239785
161	-32.9442	-32.7968	-0.147427	0.1474274
162	-32.9413	-32.7968	-0.144539	0.1445385
163	-32.9589	-32.7968	-0.162109	0.1621088
164	-33.0247	-32.7968	-0.227969	0.2279686
165	-32.974	-32.7968	-0.177177	0.1771775
166	-32.941	-32.7968	-0.14423	0.1442297
167	-33.0401	-32.7968	-0.243352	0.2433519
168	-33.1601	-32.7968	-0.363345	0.3633454
169	-33.7179	-32.7968	-0.92115	0.9211498
170	-33.823	-32.7968	-1.02625	1.026249
171	-33.5726	-32.7968	-0.775843	0.7758429
172	-33.5863	-32.7968	-0.789501	0.7895015
173	-33.2733	-32.7968	-0.476487	0.4764873
174	-33.0936	-32.7968	-0.296785	0.2967851
175	-32.9901	-32.7968	-0.1933	0.1933002
176	-33.0732	-32.7968	-0.276413	0.2764134
177	-33.0997	-32.7968	-0.302879	0.3028795
178	-33.0252	-32.7968	-0.22839	0.2283903
179	-33.3286	-32.7968	-0.531864	0.5318639
180	-33.7888	-32.7968	-0.992057	0.9920567
181	-33.5981	-32.7968	-0.801365	0.8013649
182	-33.56	-32.7968	-0.763215	0.763215
183	-33.5565	-32.7968	-0.759742	0.7597418
184	-33.4045	-32.7968	-0.607675	0.607675
185	-33.1613	-32.7968	-0.364559	0.3645588
186	-33.1897	-32.7968	-0.392953	0.3929533
187	-33.559	-32.7968	-0.762172	0.7621716
188	-33.319	-32.7968	-0.522223	0.522223
