Iteration	Posterior	Likelihood	Prior	cw	lb	to
1058	-32.1774	-30.4609	-1.71653	0.8222063	0.3625167	0.5318045
1059	-34.359	-30.3881	-3.97082	1.632687	0.3625167	1.975616
1060	-34.3597	-30.4427	-3.91705	1.632687	0.3087482	1.975616
1061	-35.1352	-30.7222	-4.41301	2.76343	0.4614046	1.188178
1062	-32.8126	-30.7319	-2.08079	0.7756308	0.6270024	0.6781561
1063	-32.2549	-30.7428	-1.51215	0.7756308	0.05835948	0.6781561
1064	-32.1936	-30.5638	-1.6298	0.6427178	0.1166241	0.8704596
1065	-32.1932	-30.5863	-1.60691	0.6198231	0.1166241	0.8704596
1066	-32.7602	-30.3057	-2.45455	1.135605	0.4484862	0.8704596
1067	-32.5988	-30.2306	-2.36818	1.135605	0.2718405	0.9607341
1068	-32.5184	-30.2474	-2.27105	1.135605	0.2444477	0.8909965
1069	-34.1832	-30.8074	-3.37589	1.135605	0.2444477	1.995834
1070	-39.6923	-32.112	-7.58034	1.481485	0.4466308	5.65222
1071	-33.1116	-30.6181	-2.49348	1.481485	0.3305049	0.6814881
1072	-31.8682	-30.7907	-1.07747	0.4243148	0.3305049	0.3226501
1073	-32.3062	-30.7084	-1.59774	0.8528985	0.3305049	0.4143388
1074	-32.8325	-30.4586	-2.37383	0.8528985	0.2837961	1.23714
1075	-33.1574	-30.2652	-2.89221	1.375142	0.4683645	1.048702
1076	-34.4381	-31.5055	-2.93252	1.912915	0.4683645	0.551243
1077	-33.4329	-30.765	-2.66788	0.7558978	0.4683645	1.443619
1078	-33.2027	-30.6711	-2.53154	0.7558978	0.4683645	1.307279
1079	-35.6146	-30.9694	-4.64524	1.768771	1.569194	1.307279
1080	-32.8504	-31.0216	-1.82879	0.4566864	0.462396	0.9097038
1081	-32.5926	-30.4622	-2.13045	0.7583456	0.462396	0.9097038
1082	-32.2465	-30.3173	-1.92924	0.7583456	0.2611904	0.9097038
1083	-31.9477	-30.518	-1.4297	0.7583456	0.2611904	0.410163
1084	-32.5155	-30.8297	-1.68576	1.014409	0.2611904	0.410163
1085	-32.8279	-31.3586	-1.46933	1.014409	0.05329971	0.4016184
1086	-33.6449	-30.5293	-3.11558	1.121917	0.3071236	1.686542
1087	-35.223	-30.9725	-4.25045	1.121917	0.5561131	2.572416
1088	-35.4733	-30.3994	-5.07389	1.945363	0.5561131	2.572416
1089	-35.269	-30.5788	-4.6902	1.561666	0.5561131	2.572416
1090	-34.5484	-30.3757	-4.17276	1.561666	0.5561131	2.054977
1091	-34.7275	-30.422	-4.30555	1.561666	0.5594884	2.184391
1092	-34.9355	-30.3753	-4.56027	1.680927	0.694947	2.184391
1093	-35.4439	-31.0119	-4.43202	1.31104	0.3406262	2.780349
1094	-36.6543	-31.2668	-5.38743	1.188389	1.418692	2.780349
1095	-34.6524	-31.0279	-3.62453	1.423152	1.233447	0.9679284
1096	-32.5284	-31.0928	-1.43553	0.3883392	0.4897666	0.5574258
1097	-32.8611	-30.7104	-2.1507	0.7587031	0.6368726	0.7551269
1098	-32.1408	-30.2956	-1.84519	0.7587031	0.3313589	0.7551269
1099	-32.449	-30.4874	-1.96156	0.7324691	0.4739683	0.7551269
1100	-33.9649	-31.2021	-2.76272	0.6284216	0.4739683	1.660333
1101	-33.9649	-31.2021	-2.76272	0.6284216	0.4739683	1.660333
1102	-33.7166	-30.5366	-3.18006	1.045759	0.4739683	1.660333
1103	-33.1166	-31.1896	-1.92702	1.045759	0.4739683	0.4072884
1104	-32.6791	-30.3739	-2.30518	1.045759	0.4739683	0.785452
1105	-32.1745	-30.2925	-1.88198	0.7678467	0.3286794	0.785452
1106	-36.8926	-32.4061	-4.48651	0.7470397	2.249353	1.490122
1107	-34.1811	-30.3808	-3.80029	2.030578	0.2795927	1.490122
1108	-35.9317	-32.4801	-3.45161	0.9793987	1.827136	0.6450755
1109	-35.9234	-32.7529	-3.1705	0.6982893	1.827136	0.6450755
1110	-32.7959	-30.5255	-2.27042	1.255929	0.3694109	0.6450755
1111	-33.4784	-30.8448	-2.63364	1.384572	0.603995	0.6450755
1112	-32.8555	-30.4767	-2.37875	1.384572	0.2729609	0.7212165
1113	-33.053	-30.2626	-2.79042	1.384572	0.2729609	1.132885
1114	-33.7859	-30.7261	-3.05975	1.006996	0.2729609	1.779791
1115	-35.6297	-31.089	-4.54072	2.643394	0.1175315	1.779791
1116	-35.6614	-31.097	-4.56443	2.667111	0.1175315	1.779791
1117	-37.7702	-30.8467	-6.92342	2.667111	0.338923	3.917387
1118	-33.3547	-30.2505	-3.1042	1.568975	0.338923	1.196304
1119	-33.2385	-30.2708	-2.96773	1.262125	0.509303	1.196304
1120	-34.5554	-30.6148	-3.94059	1.262125	0.509303	2.169167
1121	-32.6179	-30.6425	-1.97542	0.641205	0.509303	0.8249093
1122	-35.0969	-30.3404	-4.7565	1.808082	0.7256607	2.222753
1123	-34.7589	-30.2885	-4.47047	1.808082	0.6125884	2.049804
1124	-34.0535	-30.2676	-3.78597	1.808082	0.6125884	1.365297
1125	-35.6095	-31.7255	-3.88399	0.7415184	1.433273	1.709195
1126	-34.4867	-32.2103	-2.27634	0.4623536	0.1047908	1.709195
1127	-31.5442	-30.3344	-1.20984	0.4623536	0.1964858	0.5510011
1128	-31.1738	-30.2331	-0.940706	0.4623536	0.1111135	0.3672388
1129	-31.8828	-30.5128	-1.37002	0.4623536	0.2921277	0.6155422
1130	-31.714	-30.4147	-1.2993	0.4623536	0.2214089	0.6155422
1131	-32.9396	-30.6411	-2.29856	1.231044	0.4519691	0.6155422
1132	-33.7859	-31.1226	-2.66323	1.231044	0.8166438	0.6155422
1133	-34.4233	-31.421	-3.00236	1.406963	0.9798552	0.6155422
1134	-34.9156	-32.2142	-2.70142	0.4017196	0.4185617	1.881135
1135	-33.6343	-31.0421	-2.59222	1.484109	0.5343876	0.5737261
1136	-32.886	-31.5659	-1.32013	0.2953663	0.5343876	0.4903737
1137	-32.4288	-30.618	-1.81076	0.9722396	0.3481458	0.4903737
1138	-32.1779	-30.5141	-1.66378	0.8252631	0.3481458	0.4903737
1139	-31.9965	-30.4689	-1.52754	0.6890221	0.3481458	0.4903737
1140	-33.6806	-32.0418	-1.63878	0.2532325	0.3481458	1.037399
1141	-32.922	-31.1085	-1.81352	0.4279748	0.3481458	1.037399
1142	-34.3172	-31.7951	-2.52209	0.4824191	1.002277	1.037399
1143	-33.6395	-30.7035	-2.93597	1.754921	0.1436497	1.037399
1144	-35.6374	-30.7543	-4.88311	1.754921	1.496017	1.632168
1145	-32.9306	-31.1684	-1.76225	0.6348992	0.06530423	1.062044
1146	-32.8335	-31.06	-1.77346	0.6348992	0.07651961	1.062044
1147	-33.4052	-30.9991	-2.40613	0.6348992	0.7091905	1.062044
1148	-33.4334	-30.4844	-2.94901	1.258834	0.7091905	0.9809817
1149	-33.5016	-31.0604	-2.44119	0.6570269	0.8031797	0.9809817
1150	-33.4032	-31.0576	-2.34566	0.6570269	0.8031797	0.8854498
1151	-32.3555	-30.5568	-1.79874	0.5776895	0.3355997	0.8854498
1152	-32.7588	-30.7471	-2.01171	0.5776895	0.3355997	1.09842
1153	-32.7588	-30.7471	-2.01171	0.5776895	0.3355997	1.09842
1154	-34.3951	-30.6225	-3.77258	2.323967	0.3501904	1.09842
1155	-37.4713	-31.611	-5.86027	4.058488	0.7033641	1.09842
1156	-33.9565	-30.433	-3.52356	1.721778	0.7033641	1.09842
1157	-33.3694	-30.4999	-2.86952	1.067736	0.7033641	1.09842
1158	-33.797	-30.6363	-3.16071	1.067736	0.8507826	1.242189
1159	-33.9872	-30.4726	-3.51462	1.421652	0.8507826	1.242189
1160	-36.3257	-31.3252	-5.00047	1.421652	2.018684	1.560135
1161	-33.6853	-30.343	-3.3423	1.434057	0.3071762	1.601067
1162	-33.7451	-30.2841	-3.46098	1.434057	0.4258534	1.601067
1163	-36.0322	-31.3611	-4.67118	1.434057	1.919968	1.317158
1164	-33.5161	-30.3902	-3.12592	1.434057	0.2308652	1.460998
1165	-32.1253	-30.8298	-1.29551	0.7807383	0.1994383	0.3153368
1166	-31.4947	-30.8979	-0.596807	0.2059777	0.1994383	0.1913908
1167	-33.0338	-31.6407	-1.39302	0.2722203	0.4887809	0.6320141
1168	-32.6068	-30.7639	-1.84287	1.140956	0.22948	0.4724323
1169	-31.6595	-30.8355	-0.823972	0.3076865	0.04385328	0.4724323
1170	-32.0661	-30.843	-1.22311	0.7068231	0.04385328	0.4724323
1171	-32.1694	-30.8739	-1.29544	0.3840084	0.1261182	0.785311
1172	-36.8975	-33.1089	-3.78852	0.3840084	0.7535786	2.65093
1173	-33.8913	-30.2379	-3.65339	1.813926	0.4616268	1.377835
1174	-33.6402	-30.3845	-3.25565	1.813926	0.2707013	1.171026
1175	-33.64	-30.3833	-3.25672	1.813926	0.2717636	1.171026
1176	-33.9233	-30.3429	-3.58037	1.813926	0.5954226	1.171026
1177	-33.9233	-30.3429	-3.58037	1.813926	0.5954226	1.171026
1178	-34.065	-30.9291	-3.13592	1.813926	0.5954226	0.7265761
1179	-34.0693	-30.2676	-3.80171	1.575284	0.5954226	1.631008
1180	-36.3679	-32.0023	-4.36567	1.575284	0.06199747	2.728393
1181	-36.05	-31.6533	-4.39671	1.575284	0.09302843	2.728393
1182	-33.5509	-30.5124	-3.03848	1.575284	0.1668962	1.2963
1183	-36.2548	-31.3815	-4.87326	1.575284	2.001673	1.2963
1184	-35.2808	-30.5169	-4.76389	1.575284	0.7705317	2.418074
1185	-35.0281	-30.722	-4.30614	1.622831	0.2652383	2.418074
1186	-38.7153	-31.3664	-7.34885	1.960632	2.970144	2.418074
1187	-34.9276	-30.569	-4.35854	1.960632	1.075848	1.322057
1188	-34.4804	-31.4516	-3.02876	0.6606448	1.075848	1.292268
1189	-34.1048	-31.2801	-2.82467	1.043677	1.075848	0.7051478
1190	-37.5043	-30.274	-7.23032	2.959265	1.075848	3.195211
1191	-34.5052	-31.2457	-3.25948	0.7747328	1.075848	1.408896
1192	-32.3199	-30.4828	-1.83705	0.8905467	0.3886094	0.5578919
1193	-31.8089	-30.2577	-1.55119	0.7753956	0.217905	0.5578919
1194	-31.7337	-30.2228	-1.51084	0.6975537	0.2008479	0.6124424
1195	-33.0831	-30.737	-2.3461	0.6975537	0.5887934	1.059751
1196	-35.2303	-30.9124	-4.31787	2.791373	0.4667479	1.059751
1197	-37.0386	-31.4506	-5.58802	3.324082	1.204188	1.059751
1198	-33.6536	-30.2375	-3.4161	1.509431	0.4307227	1.475947
1199	-33.5391	-30.2906	-3.24853	1.509431	0.2979196	1.44118
1200	-33.014	-30.4386	-2.57544	0.9456641	0.2979196	1.331853
1201	-37.9558	-31.3105	-6.64531	4.210108	1.103354	1.331853
1202	-37.8347	-31.932	-5.90268	3.838864	1.103354	0.9604659
1203	-37.2101	-31.9707	-5.2394	3.838864	0.128737	1.271802
1204	-37.2101	-31.9707	-5.2394	3.838864	0.128737	1.271802
1205	-33.662	-31.4055	-2.25655	0.9363775	0.04836688	1.271802
1206	-33.7558	-31.2978	-2.45805	1.134795	0.05144807	1.271802
1207	-34.3931	-31.64	-2.75313	1.835129	0.05144807	0.8665498
1208	-37.99	-31.4326	-6.55737	2.171733	0.2121117	4.173527
1209	-36.2019	-30.8024	-5.39949	2.171733	0.2576228	2.970135
1210	-36.4893	-30.8841	-5.60521	2.171733	0.2576228	3.175857
1211	-35.4886	-30.4344	-5.05421	2.197611	0.3723994	2.484201
1212	-33.6175	-30.2841	-3.33335	1.760144	0.3723994	1.200811
1213	-34.3115	-30.8997	-3.41181	1.760144	0.1064955	1.545167
1214	-33.3739	-30.6547	-2.7192	0.9198428	0.2541946	1.545167
1215	-31.8963	-30.4536	-1.44269	0.7568891	0.2541946	0.43161
1216	-32.6268	-31.3542	-1.27261	0.7568891	0.02439934	0.4913187
1217	-32.1026	-31.2142	-0.888358	0.5671231	0.02439934	0.2968356
1218	-31.5161	-30.8172	-0.698863	0.3776285	0.02439934	0.2968356
1219	-31.3241	-30.3591	-0.964967	0.3776285	0.1939397	0.3933984
1220	-31.3241	-30.3591	-0.964967	0.3776285	0.1939397	0.3933984
1221	-31.2871	-30.29	-0.997033	0.5124809	0.0911541	0.3933984
1222	-32.5678	-30.889	-1.67877	1.088174	0.0911541	0.4994396
1223	-32.4433	-30.2954	-2.14785	1.088174	0.3253	0.7343774
1224	-32.1448	-30.5964	-1.54839	0.4887153	0.3253	0.7343774
1225	-34.1871	-31.7249	-2.46221	0.4438024	0.745094	1.273312
1226	-34.2486	-30.531	-3.71758	1.491221	0.9530499	1.273312
1227	-33.5589	-31.0326	-2.52625	1.181516	0.07141794	1.273312
1228	-35.4439	-30.2591	-5.18479	2.653659	0.6484268	1.882707
1229	-34.9198	-30.9153	-4.00454	1.054492	0.6484268	2.301618
1230	-33.5689	-30.9782	-2.59066	1.726563	0.1667987	0.6973027
1231	-33.1129	-30.7445	-2.36841	1.504313	0.1667987	0.6973027
1232	-34.6591	-31.3657	-3.29332	1.504313	1.091707	0.6973027
1233	-34.1331	-31.2462	-2.88686	1.060215	1.091707	0.7349426
1234	-32.4745	-30.3126	-2.16194	1.060215	0.3667786	0.7349426
1235	-33.8371	-31.1172	-2.71988	1.757184	0.3667786	0.5959155
1236	-32.3573	-30.4424	-1.91483	1.102623	0.2162958	0.5959155
1237	-31.8878	-30.4017	-1.48614	0.8092877	0.2162958	0.460554
1238	-31.9017	-30.2275	-1.67416	0.8092877	0.2162958	0.6485812
1239	-33.0987	-31.5815	-1.51725	0.9123491	0.0226208	0.5822833
1240	-32.2925	-30.7478	-1.54472	0.9123491	0.06725793	0.5651133
1241	-32.6047	-30.782	-1.82263	0.9123491	0.06725793	0.8430254
1242	-32.3186	-30.8874	-1.43119	0.9123491	0.06725793	0.4515867
1243	-31.6907	-30.3668	-1.32394	0.7405413	0.1318141	0.4515867
1244	-32.5415	-30.8533	-1.68822	0.7405413	0.4960949	0.4515867
1245	-32.9726	-31.0093	-1.96337	1.015685	0.4960949	0.4515867
1246	-34.6163	-31.1062	-3.51014	1.687618	0.08836011	1.734162
1247	-33.2994	-31.0279	-2.27152	1.049835	0.06543494	1.156252
1248	-33.9023	-30.5815	-3.3208	1.049835	0.5685602	1.7024
1249	-33.9023	-30.5815	-3.3208	1.049835	0.5685602	1.7024
1250	-33.9905	-30.3033	-3.68712	1.45539	0.5685602	1.663167
1251	-36.3733	-30.4588	-5.91444	2.521356	1.38981	2.003276
1252	-35.7524	-30.2776	-5.47481	2.521356	0.9501755	2.003276
1253	-36.8862	-30.7883	-6.09788	1.723493	0.9501755	3.42421
1254	-36.8626	-30.8755	-5.98711	1.612728	0.9501755	3.42421
1255	-34.9945	-30.3831	-4.61139	1.764464	0.9501755	1.896746
1256	-33.77	-31.2191	-2.55095	1.764464	0.1846968	0.6017889
1257	-31.8681	-30.7708	-1.09724	0.3107562	0.1846968	0.6017889
1258	-32.994	-31.5377	-1.45634	0.3107562	0.5437941	0.6017889
1259	-32.8988	-30.4386	-2.46018	1.113054	0.5437941	0.8033281
1260	-32.9813	-30.6092	-2.3721	1.113054	0.1176556	1.141393
1261	-33.2807	-30.8368	-2.44392	1.113054	0.09128776	1.239578
1262	-34.4681	-30.3622	-4.10592	2.145522	0.6474167	1.312978
1263	-35.8095	-32.3575	-3.45193	0.4660505	0.891789	2.094095
1264	-36.7187	-33.1199	-3.59884	2.287978	0.891789	0.4190727
1265	-34.6428	-31.1269	-3.51588	2.085069	0.6800296	0.7507842
1266	-34.1586	-31.062	-3.0966	2.085069	0.2607514	0.7507842
1267	-32.6737	-30.422	-2.25164	1.116635	0.4333785	0.7016303
1268	-32.3688	-30.362	-2.00673	1.116635	0.1884664	0.7016303
1269	-32.5402	-30.6211	-1.91911	1.116635	0.1008444	0.7016303
1270	-33.5894	-30.4555	-3.13387	1.116635	0.6701802	1.347051
1271	-34.8256	-30.8072	-4.01839	1.116635	0.6701802	2.231576
1272	-35.9626	-31.7289	-4.23378	2.822302	0.6701802	0.7412999
1273	-34.922	-31.3864	-3.53561	0.7321953	0.6701802	2.133239
1274	-35.2837	-31.8962	-3.38758	2.161475	0.6701802	0.5559239
1275	-31.7009	-30.3215	-1.37939	0.6059556	0.1274076	0.6460238
1276	-32.6648	-31.558	-1.10684	0.2106683	0.2501516	0.6460238
1277	-32.9277	-30.8693	-2.0584	1.311886	0.1004892	0.6460238
1278	-33.2857	-30.7391	-2.5466	1.311886	0.0987057	1.136012
1279	-30.8994	-30.2391	-0.660317	0.3123673	0.0987057	0.2492439
1280	-33.2679	-32.4345	-0.833396	0.2552933	0.01045778	0.5676447
1281	-33.0336	-32.7109	-0.322684	0.2552933	0.01045778	0.05693306
1282	-31.7025	-31.2103	-0.492174	0.2552933	0.01045778	0.2264232
1283	-31.2741	-30.5865	-0.687626	0.4110418	0.04389191	0.2326922
1284	-33.8654	-31.6466	-2.21882	0.4110418	0.3982685	1.409513
1285	-35.0352	-30.8741	-4.16102	1.932767	1.163559	1.064694
1286	-37.0911	-32.1906	-4.9005	0.8741778	2.337949	1.688374
1287	-34.0111	-31.1558	-2.85532	0.6621081	0.5048336	1.688374
1288	-34.0111	-31.1558	-2.85532	0.6621081	0.5048336	1.688374
1289	-34.8811	-31.5128	-3.36827	2.228349	0.5048336	0.6350862
1290	-36.9626	-32.4989	-4.46369	2.228349	1.600254	0.6350862
1291	-34.3871	-30.6375	-3.74963	2.228349	0.2051046	1.316181
1292	-36.7714	-31.3957	-5.37568	2.228349	1.961854	1.185479
1293	-35.9873	-31.8941	-4.09317	0.9458374	1.961854	1.185479
1294	-35.947	-32.0015	-3.94546	0.9458374	1.961854	1.037767
1295	-36.2015	-31.2125	-4.98904	2.164236	1.673053	1.151748
1296	-35.4086	-31.4024	-4.00614	1.181334	1.673053	1.151748
1297	-34.1271	-30.6656	-3.46154	1.181334	0.3076183	1.97259
1298	-34.1271	-30.6656	-3.46154	1.181334	0.3076183	1.97259
1299	-34.1271	-30.6656	-3.46154	1.181334	0.3076183	1.97259
1300	-37.7274	-30.5809	-7.14644	4.116219	1.057633	1.97259
1301	-35.435	-31.5055	-3.92954	0.7851248	1.171823	1.97259
1302	-34.3464	-31.7206	-2.62578	0.7851248	1.200758	0.639895
1303	-33.1762	-31.6496	-1.5266	0.8668707	0.01983736	0.639895
1304	-32.2829	-30.447	-1.83586	0.8668707	0.1178206	0.8511672
1305	-35.1968	-31.2092	-3.98761	2.047978	1.088464	0.8511672
1306	-34.1578	-31.1172	-3.04063	2.047978	0.1414894	0.8511672
1307	-33.9918	-31.2751	-2.71664	0.7740455	0.157826	1.784771
1308	-34.0538	-30.4959	-3.5579	1.192826	0.5803052	1.784771
1309	-39.3941	-31.3751	-8.01895	5.653874	0.5803052	1.784771
1310	-40.1356	-32.8337	-7.30183	5.653874	0.6305158	1.017442
1311	-36.5832	-32.2766	-4.30654	0.6425691	0.5627987	3.10117
1312	-32.7277	-30.7176	-2.01012	0.6425691	0.5627987	0.8047477
1313	-32.9436	-30.4587	-2.48485	1.117302	0.5627987	0.8047477
1314	-32.6883	-31.5192	-1.16906	0.2639961	0.1003133	0.8047477
1315	-31.9172	-31.0204	-0.896775	0.2387145	0.1003133	0.5577475
1316	-32.2821	-30.6234	-1.65864	0.6757564	0.1003133	0.8825753
1317	-32.4242	-30.4635	-1.96079	1.056406	0.3241193	0.5802627
1318	-32.936	-30.9188	-2.01719	0.5306698	0.3241193	1.162404
1319	-31.6481	-30.8007	-0.847393	0.5306698	0.1021175	0.2146059
1320	-32.3865	-31.2876	-1.09888	0.2558723	0.1273865	0.7156232
1321	-31.154	-30.6225	-0.531562	0.2558723	0.1255233	0.150166
1322	-32.0979	-30.8419	-1.25601	0.8079033	0.1255233	0.3225792
1323	-33.6332	-31.0467	-2.58649	0.6286304	0.5157213	1.442138
1324	-33.0976	-30.7095	-2.388	1.469678	0.2868252	0.6315002
1325	-39.2762	-31.9101	-7.36612	1.856821	3.584137	1.925164
1326	-34.4793	-30.3944	-4.08488	1.856821	0.3028952	1.925164
1327	-35.3091	-31.0819	-4.22718	2.752257	0.1570681	1.317857
1328	-35.7645	-30.8835	-4.88107	2.455451	0.1570681	2.268546
1329	-33.9043	-30.2941	-3.6102	1.730974	0.3184613	1.560768
1330	-34.3972	-30.237	-4.16023	2.043683	0.5557775	1.560768
1331	-38.4624	-30.9404	-7.52202	1.945379	1.285531	4.291107
1332	-39.9752	-30.593	-9.38213	3.828566	2.513892	3.039672
1333	-37.8904	-30.2611	-7.62925	3.828566	0.7610108	3.039672
1334	-35.9006	-30.8873	-5.01323	1.604402	0.3691606	3.039672
1335	-35.9723	-30.7845	-5.18781	1.778978	0.3691606	3.039672
1336	-36.1865	-30.8853	-5.30127	2.005927	0.2556721	3.039672
1337	-36.1775	-30.5113	-5.66621	2.005927	0.6206114	3.039672
1338	-37.2106	-30.6815	-6.52917	1.976027	1.512342	3.040798
1339	-36.6184	-30.5383	-6.08015	1.976027	1.063329	3.040798
1340	-38.7473	-32.0889	-6.6584	4.54916	1.063329	1.045909
1341	-34.5435	-30.8245	-3.71897	1.65806	1.063329	0.9975826
1342	-33.4624	-30.3574	-3.10499	1.65806	0.4493489	0.9975826
1343	-32.521	-30.8785	-1.64254	0.4891027	0.1558534	0.9975826
1344	-31.8401	-30.4763	-1.36377	0.4891027	0.1558534	0.7188183
1345	-32.4718	-30.6238	-1.84798	1.104755	0.1070975	0.6361287
1346	-34.1402	-30.8532	-3.28695	1.547405	0.8969569	0.8425896
1347	-33.1874	-30.5246	-2.66278	1.171288	0.6489033	0.8425896
1348	-34.1084	-30.5179	-3.59053	1.215813	0.4745308	1.900186
1349	-33.3325	-30.3273	-3.00517	1.215813	0.5811726	1.208187
1350	-34.3201	-30.2683	-4.05181	2.03701	0.5811726	1.433633
1351	-34.0569	-30.2426	-3.81439	1.799585	0.5811726	1.433633
1352	-34.0208	-30.2509	-3.76988	1.799585	0.5811726	1.389121
1353	-33.4828	-30.4275	-3.05526	1.084968	0.5811726	1.389121
1354	-33.2578	-30.3606	-2.8972	1.084968	0.4231163	1.389121
1355	-35.4352	-30.6365	-4.79869	2.192119	1.217452	1.389121
1356	-35.7674	-31.3734	-4.39395	2.192119	1.308991	0.8928429
1357	-35.0871	-32.4667	-2.6204	0.418568	1.308991	0.8928429
1358	-35.8166	-31.3874	-4.42916	2.227325	1.308991	0.8928429
1359	-35.813	-30.5479	-5.2651	2.227325	1.340797	1.696976
1360	-35.124	-31.3783	-3.7457	2.227325	0.06973338	1.44864
1361	-34.8926	-30.231	-4.66158	2.227325	0.5327103	1.90155
1362	-34.8199	-30.2897	-4.53024	2.227325	0.4013623	1.90155
1363	-38.4869	-30.9717	-7.5152	2.227325	0.6134269	4.674449
1364	-32.7616	-30.9833	-1.7783	0.5511273	0.6134269	0.6137508
1365	-40.0726	-32.4624	-7.6102	5.812459	0.6134269	1.184312
1366	-32.9567	-30.3547	-2.60201	1.215144	0.2025551	1.184312
1367	-33.2574	-30.6948	-2.56261	1.215144	0.1110448	1.236419
1368	-33.1836	-30.2664	-2.91721	1.215144	0.4656469	1.236419
1369	-32.6687	-30.3308	-2.33797	1.007503	0.4656469	0.8648247
1370	-33.248	-30.5592	-2.68881	1.619999	0.2039844	0.8648247
1371	-34.2115	-30.824	-3.38744	0.9488143	0.4890687	1.949559
1372	-34.0989	-30.857	-3.24191	0.9488143	0.3435374	1.949559
1373	-37.9403	-32.3967	-5.54361	0.9488143	0.3435374	4.251254
1374	-37.9489	-32.419	-5.52986	0.9488143	0.3297963	4.251254
1375	-38.4784	-30.5454	-7.93301	3.092953	2.066857	2.773198
1376	-34.7509	-31.7378	-3.01313	1.151466	1.249257	0.6124089
1377	-32.6617	-30.5194	-2.14224	1.151466	0.3783628	0.6124089
1378	-34.9561	-31.5903	-3.36584	2.178161	0.5752702	0.6124089
1379	-33.1784	-30.7836	-2.39475	1.207073	0.5752702	0.6124089
1380	-32.8586	-31.0794	-1.7792	1.207073	0.1179076	0.4542233
1381	-32.8643	-30.5423	-2.32198	1.207073	0.4540609	0.6608442
1382	-35.5052	-30.9037	-4.60154	1.207073	0.8447253	2.549739
1383	-35.5052	-30.9037	-4.60154	1.207073	0.8447253	2.549739
1384	-35.5194	-30.6508	-4.8686	1.474134	0.8447253	2.549739
1385	-33.9189	-30.6906	-3.22835	1.474134	0.8447253	0.9094871
1386	-36.0497	-31.4988	-4.55087	1.474134	1.932059	1.144674
1387	-34.5002	-30.5633	-3.93695	1.474134	0.3215782	2.141237
1388	-35.3255	-30.9069	-4.41862	1.199899	1.19672	2.021997
1389	-35.3352	-30.2367	-5.0985	2.503846	0.5726562	2.021997
1390	-31.9331	-30.3964	-1.5367	0.5944543	0.3303112	0.6119341
1391	-32.8787	-30.2242	-2.65458	1.263627	0.3303112	1.060644
1392	-32.0905	-30.3232	-1.76734	0.7044334	0.3303112	0.7325912
1393	-31.9015	-30.2542	-1.64732	0.7044334	0.210295	0.7325912
1394	-32.6558	-30.5289	-2.1269	0.7044334	0.3111812	1.111287
1395	-32.1563	-30.9705	-1.18578	0.7044334	0.2114168	0.2699346
1396	-34.1828	-31.1451	-3.03772	0.9902002	1.145412	0.9021051
1397	-34.8133	-31.0296	-3.78369	0.9902002	1.145412	1.648081
1398	-35.367	-30.6724	-4.6946	1.691808	1.354709	1.648081
1399	-35.5868	-32.6794	-2.90734	1.691808	0.8339133	0.3816225
1400	-33.8488	-32.2729	-1.57593	0.3603961	0.8339133	0.3816225
1401	-33.2965	-30.96	-2.33657	0.7439402	0.1559065	1.436724
1402	-32.0215	-30.3249	-1.69657	0.7439402	0.1559065	0.7967247
1403	-32.6909	-30.8618	-1.82912	1.1912	0.1559065	0.4820124
1404	-32.8232	-31.0501	-1.77317	1.1912	0.15109	0.4308803
1405	-33.58	-30.6999	-2.88012	1.1912	0.1507693	1.53815
1406	-33.6925	-30.3576	-3.33489	1.534007	0.2627362	1.53815
1407	-35.9564	-30.7677	-5.18869	1.534007	0.6504045	3.004279
1408	-33.9962	-30.2896	-3.70668	1.534007	0.4465367	1.726137
1409	-33.5238	-30.6871	-2.83668	1.652437	0.4465367	0.7377082
1410	-34.1083	-30.4463	-3.66204	1.342318	0.4170425	1.902682
1411	-38.0649	-30.8358	-7.22906	1.968012	1.54726	3.713784
1412	-36.0817	-31.5571	-4.52452	1.141738	0.254785	3.127996
1413	-37.655	-31.5085	-6.14655	1.19756	1.466078	3.482908
1414	-38.3075	-32.4565	-5.85105	2.324978	0.04316531	3.482908
1415	-35.3131	-30.7676	-4.54542	2.324978	1.056702	1.163743
1416	-36.5273	-30.269	-6.25831	2.645011	1.056702	2.556594
1417	-34.8892	-31.3833	-3.5059	1.737515	1.056702	0.711682
1418	-34.8861	-30.8303	-4.05577	1.964203	1.056702	1.034869
1419	-34.8785	-30.6053	-4.27322	1.964203	1.056702	1.252313
1420	-34.9242	-30.9474	-3.97682	1.964203	1.056702	0.9559168
1421	-34.4978	-31.7367	-2.7611	0.5335747	1.056702	1.170825
1422	-31.9517	-30.7285	-1.22317	0.4470818	0.3683135	0.4077758
1423	-35.4438	-32.5194	-2.92434	1.545932	0.9706302	0.4077758
1424	-34.4275	-32.7441	-1.68332	0.3236344	0.9706302	0.3890519
1425	-31.4753	-30.2619	-1.21341	0.5563792	0.1241757	0.5328561
1426	-36.5631	-33.5463	-3.01674	0.6516795	0.02673821	2.338324
1427	-37.0337	-31.7129	-5.32086	2.918921	0.06361631	2.338324
1428	-35.4422	-31.5775	-3.86477	1.680708	0.06361631	2.120442
1429	-32.7622	-31.3319	-1.43029	0.4372501	0.06361631	0.9294228
1430	-37.0592	-31.7506	-5.30859	2.832526	1.546644	0.9294228
1431	-37.3836	-30.3992	-6.9844	2.832526	1.546644	2.605231
