Iteration	Posterior	Likelihood	Prior	cw	lb	to
85	-33.1551	-31.2076	-1.94752	0.4449732	0.3134087	1.189134
86	-33.1123	-30.6249	-2.48742	0.7957823	0.3134087	1.378227
87	-34.1401	-31.1108	-3.02938	0.7395547	0.4223382	1.86749
88	-33.853	-30.9097	-2.94326	0.7894539	0.4223382	1.731465
89	-33.6629	-31.228	-2.43494	0.5461009	0.6252141	1.263628
90	-34.8316	-32.2352	-2.59641	0.3932934	1.007176	1.195944
91	-34.4184	-31.635	-2.78338	0.5527216	1.007176	1.223484
92	-35.6396	-32.092	-3.54761	0.6598671	1.664261	1.223484
93	-35.4715	-32.2152	-3.25622	0.5039143	1.302044	1.450266
94	-34.4701	-31.9497	-2.52046	0.4675853	1.084336	0.968537
95	-33.5543	-31.0208	-2.53342	0.6438787	0.6954197	1.194124
96	-32.9447	-30.9073	-2.03736	0.5457238	0.2975161	1.194124
97	-32.286	-30.9699	-1.3161	0.4133312	0.452239	0.4505321
98	-32.8339	-31.0972	-1.73674	0.4133312	0.316691	1.006721
99	-35.4169	-32.3739	-3.043	0.4133312	0.5831548	2.046517
100	-34.6837	-32.1699	-2.5138	0.3738448	0.8049129	1.33504
101	-37.083	-33.3009	-3.78215	0.3738448	1.639395	1.768907
102	-34.6232	-31.8429	-2.78028	0.4929118	0.98916	1.298211
103	-36.5716	-33.7395	-2.83215	0.2235911	0.6478216	1.960741
104	-34.6204	-32.5185	-2.10189	0.2658193	0.5009328	1.335135
105	-32.3584	-31.2514	-1.10692	0.2658193	0.3749368	0.4661679
106	-31.5908	-30.4874	-1.10335	0.3887608	0.2484221	0.4661679
107	-31.5226	-30.6119	-0.910704	0.5099014	0.1547835	0.2460186
108	-31.2346	-30.5724	-0.662162	0.3429573	0.1335708	0.1856335
109	-31.1431	-30.3317	-0.81136	0.3623775	0.1593786	0.2896038
110	-31.2681	-30.4256	-0.842531	0.4772334	0.1042549	0.2610431
111	-31.6213	-30.3178	-1.30351	0.6037983	0.1116241	0.5880907
112	-31.5772	-30.372	-1.20514	0.6741887	0.1116241	0.4193271
113	-31.8874	-30.8223	-1.06507	0.6741887	0.1214471	0.2694377
114	-33.4367	-32.226	-1.21066	0.7638125	0.2671349	0.1797086
115	-33.5197	-32.3008	-1.21882	0.8365864	0.2025262	0.1797086
116	-33.3043	-32.1506	-1.15365	0.8365864	0.1319823	0.1850784
117	-32.8404	-31.6026	-1.23782	0.8365864	0.1729336	0.2282977
118	-32.1291	-31.1753	-0.953887	0.5792073	0.1746411	0.2000382
119	-33.4761	-31.977	-1.49908	1.013934	0.2420911	0.2430585
120	-32.6135	-31.5494	-1.06408	0.7173701	0.146772	0.1999417
121	-31.6752	-30.7478	-0.927345	0.4701534	0.2167365	0.2404552
122	-33.5582	-32.2157	-1.34252	0.4754481	0.6266158	0.2404552
123	-32.5715	-31.0134	-1.55808	0.6863135	0.4846834	0.3870831
124	-33.3328	-32.111	-1.22174	0.6085293	0.4182237	0.1949851
125	-32.7706	-31.8231	-0.947467	0.3367433	0.4157387	0.1949851
126	-33.685	-32.6488	-1.03622	0.3747814	0.5020383	0.1593972
127	-33.1117	-32.0554	-1.05629	0.3747814	0.4816366	0.1998716
128	-32.1768	-31.217	-0.959789	0.3004576	0.3733827	0.285949
129	-31.9082	-30.6744	-1.23377	0.4794192	0.3553462	0.3990047
130	-33.0311	-31.8769	-1.15424	0.20909	0.4504523	0.4946988
131	-33.1718	-31.4323	-1.73948	0.3953053	0.6471562	0.697018
132	-33.5598	-31.628	-1.93174	0.3738689	0.6471562	0.9107124
133	-32.6737	-31.0999	-1.57377	0.3738567	0.2892028	0.9107124
134	-33.9971	-31.9104	-2.08678	0.358847	0.2855672	1.442364
135	-34.0541	-31.76	-2.29413	0.4175495	0.3262935	1.550289
136	-33.4189	-31.213	-2.20595	0.4940874	0.5055018	1.206361
137	-32.4718	-31.0349	-1.43694	0.4307822	0.5055018	0.5006565
138	-32.2688	-31.1026	-1.16615	0.4307822	0.4197435	0.315624
139	-32.402	-31.1936	-1.20844	0.3789836	0.4655731	0.363881
140	-33.6059	-31.6557	-1.95023	0.4830554	0.8733934	0.5937786
141	-34.2912	-32.2093	-2.08192	0.8630704	0.8733934	0.3454538
142	-32.8002	-31.0587	-1.74151	0.8038661	0.5242762	0.4133653
143	-33.4797	-31.1652	-2.3145	0.6389158	0.8480421	0.8275438
144	-34.604	-31.6985	-2.90553	0.5603693	1.062367	1.282795
