Iteration	Posterior	Likelihood	Prior	R
0	-33.7968	-32.7968	-1	1
1	-33.4605	-32.7968	-0.663694	0.6636936
2	-33.3236	-32.7968	-0.526819	0.5268188
3	-33.0598	-32.7968	-0.263028	0.2630277
4	-32.9935	-32.7968	-0.19667	0.1966704
5	-33.0204	-32.7968	-0.223602	0.2236021
6	-33.2167	-32.7968	-0.41988	0.4198803
7	-33.3062	-32.7968	-0.509441	0.5094415
8	-33.9036	-32.7968	-1.10686	1.106861
9	-34.0787	-32.7968	-1.28194	1.281942
10	-34.1222	-32.7968	-1.32546	1.325463
11	-33.9294	-32.7968	-1.13265	1.132652
12	-34.1781	-32.7968	-1.38135	1.381349
13	-33.9071	-32.7968	-1.11028	1.110279
14	-33.5905	-32.7968	-0.793731	0.7937312
15	-33.6532	-32.7968	-0.856456	0.8564564
16	-34.2521	-32.7968	-1.45534	1.455342
17	-33.3869	-32.7968	-0.590163	0.5901631
18	-33.3675	-32.7968	-0.570747	0.5707471
19	-33.4	-32.7968	-0.603184	0.6031835
20	-33.712	-32.7968	-0.915221	0.9152211
21	-33.6095	-32.7968	-0.812681	0.8126814
22	-33.5483	-32.7968	-0.751565	0.7515654
23	-33.1496	-32.7968	-0.35279	0.35279
24	-33.2087	-32.7968	-0.411954	0.4119541
25	-33.1193	-32.7968	-0.32253	0.3225304
26	-33.0136	-32.7968	-0.216829	0.2168294
27	-32.9971	-32.7968	-0.2003	0.2003001
28	-33.0079	-32.7968	-0.211134	0.2111336
29	-32.9909	-32.7968	-0.194096	0.1940961
30	-32.9465	-32.7968	-0.149703	0.1497026
31	-32.9493	-32.7968	-0.152569	0.1525692
32	-32.9042	-32.7968	-0.107392	0.1073924
33	-32.8715	-32.7968	-0.0747491	0.07474915
34	-32.8966	-32.7968	-0.0998681	0.09986811
35	-32.8788	-32.7968	-0.0820406	0.08204062
36	-33	-32.7968	-0.203219	0.203219
37	-32.9297	-32.7968	-0.132933	0.1329325
38	-32.9598	-32.7968	-0.16306	0.1630605
39	-32.9852	-32.7968	-0.188374	0.1883742
40	-32.9772	-32.7968	-0.180383	0.1803831
41	-32.9012	-32.7968	-0.104372	0.1043717
42	-32.8639	-32.7968	-0.0670962	0.06709618
43	-32.87	-32.7968	-0.0732321	0.07323211
44	-32.8429	-32.7968	-0.0460727	0.04607267
45	-32.8177	-32.7968	-0.0209632	0.02096323
46	-32.8203	-32.7968	-0.0235118	0.02351177
47	-32.8164	-32.7968	-0.0196306	0.0196306
48	-32.8127	-32.7968	-0.015966	0.01596602
49	-32.8069	-32.7968	-0.0101098	0.01010976
50	-32.8069	-32.7968	-0.0101098	0.01010976
51	-32.8092	-32.7968	-0.0123917	0.01239168
52	-32.808	-32.7968	-0.0112126	0.01121259
53	-32.8054	-32.7968	-0.00860406	0.008604063
54	-32.8042	-32.7968	-0.00742346	0.007423455
55	-32.8051	-32.7968	-0.00833261	0.008332612
56	-32.8086	-32.7968	-0.0117889	0.01178894
57	-32.814	-32.7968	-0.0171831	0.01718313
58	-32.8054	-32.7968	-0.00865548	0.008655483
59	-32.8049	-32.7968	-0.0081289	0.008128904
60	-32.8	-32.7968	-0.0032625	0.003262503
61	-32.7997	-32.7968	-0.00294511	0.00294511
62	-32.7994	-32.7968	-0.0026116	0.002611603
63	-32.7996	-32.7968	-0.00284559	0.002845593
64	-32.8012	-32.7968	-0.00443033	0.00443033
65	-32.8012	-32.7968	-0.00443033	0.00443033
66	-32.8036	-32.7968	-0.00686214	0.00686214
67	-32.8021	-32.7968	-0.00534326	0.005343262
68	-32.8027	-32.7968	-0.0059016	0.005901597
