Iteration	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
37	-44.531	-31.4501	-13.0809	0.6341142	2.443431	0.282113	0.1054294	0.0986143	1.921037	1.718013	0.4420238	2.306293	0.4375759	2.433421	0.2588512
38	-42.5522	-31.6018	-10.9504	0.4449917	1.328929	0.282113	0.1054294	0.1977393	1.893254	2.100117	0.3678705	1.866076	0.277078	1.629465	0.4572978
39	-43.0751	-31.3031	-11.772	0.4449917	1.542195	0.3084942	0.3781591	0.1595472	2.42368	2.100117	0.4974509	1.866076	0.277078	1.188484	0.5857469
40	-44.5859	-31.7424	-12.8434	0.4449917	1.365558	0.3084942	0.614175	0.08478281	2.703663	1.4887	0.5079056	2.37564	0.2399442	2.276488	0.4331039
41	-46.6897	-32.134	-14.5558	0.4110562	0.619424	0.3442847	0.614175	0.1122944	3.050484	1.643954	0.5882352	3.052762	0.1582841	3.702641	0.25817
42	-46.769	-32.5059	-14.2631	0.7037855	0.3018914	0.3442847	0.7810781	0.06498597	2.220638	3.421619	0.3727779	3.052762	0.1582841	2.618896	0.2221333
43	-49.3723	-33.1548	-16.2175	0.6292275	0.5037494	0.5560629	1.143364	0.04441576	2.955092	3.421619	0.3762337	3.052762	0.2375692	3.159086	0.1382786
44	-51.8617	-33.986	-17.8757	0.9658025	0.309763	0.5427133	1.761915	0.0559584	4.108007	3.330877	0.2804377	3.052762	0.2310049	3.159086	0.07733165
45	-48.2671	-33.7482	-14.5189	0.8024929	0.2424167	0.8945593	1.033607	0.0559584	4.108007	1.603448	0.2161277	2.363951	0.1933459	2.939585	0.06544797
46	-45.6367	-32.7084	-12.9283	0.6783408	0.2636396	0.970678	0.7123992	0.06682889	2.972017	1.481634	0.2409099	2.363951	0.1398167	2.939585	0.0984751
47	-47.8622	-33.1985	-14.6636	1.092568	0.1650502	0.8459705	0.8902788	0.04614138	2.972017	1.977995	0.3009992	2.363951	0.1177897	3.772254	0.1185994
48	-48.1846	-32.6796	-15.505	0.7687939	0.3292568	0.6496263	0.8036807	0.04614138	2.972017	1.977995	0.6684564	3.101279	0.1650477	3.904135	0.1185994
49	-52.3393	-33.3335	-19.0058	1.139773	0.4046588	0.7125619	0.7842111	0.052834	3.781191	2.002565	1.151746	4.833128	0.1347517	3.904135	0.104216
50	-51.3944	-33.8448	-17.5496	1.216257	0.6435139	0.6156662	0.7842111	0.02476556	2.850878	1.790491	1.898502	3.631896	0.08732967	3.904135	0.1019617
51	-49.4094	-33.0059	-16.4035	1.178301	0.5312992	0.5274647	0.6408444	0.03298644	2.533384	1.173348	2.439481	2.242811	0.2006926	4.800927	0.1019617
52	-52.1643	-34.7449	-17.4194	0.9852226	0.3917156	1.185961	0.5567467	0.02163434	2.533384	1.921283	3.80758	0.77929	0.2753847	4.800927	0.1603133
53	-50.3336	-33.8411	-16.4924	1.433367	0.3917156	1.726736	0.3741117	0.0302366	2.533384	1.367798	3.80758	0.5386199	0.1805419	3.795348	0.3129787
54	-46.5835	-33.4736	-13.1098	0.9846474	0.5224304	1.302797	0.3329271	0.03513243	2.283684	1.384527	2.649653	0.5386199	0.141631	2.642204	0.2915907
55	-44.1853	-32.6773	-11.508	1.590912	0.3539658	0.9242944	0.4001668	0.0516515	0.9175477	1.384527	2.337415	0.5129678	0.2048503	2.392662	0.4370546
56	-44.5549	-34.0111	-10.5438	1.901913	0.3506612	0.573547	0.4339267	0.03495084	0.7057239	1.683805	2.130978	0.3493016	0.2414753	1.477189	0.6603583
57	-45.0379	-33.4499	-11.588	1.799059	0.2281865	0.8516018	0.4893314	0.0454425	0.7797848	1.368598	2.518411	0.2672217	0.2414753	1.993452	1.005437
58	-44.7369	-33.6351	-11.1018	1.799059	0.4606371	0.9324267	0.4607305	0.06100317	0.9049328	0.7208577	2.895595	0.1961181	0.2017263	1.463276	1.005437
59	-45.5488	-33.1195	-12.4293	1.788034	0.6741731	0.8160518	0.4607305	0.0686936	1.618283	0.5651582	3.418229	0.1961181	0.244456	1.698266	0.8811419
60	-45.1994	-32.8427	-12.3567	1.128745	0.9764099	0.8351416	0.4482508	0.06118191	1.144287	0.7813665	3.418229	0.1961181	0.4196415	1.698266	1.249033
61	-44.133	-32.6146	-11.5184	1.099788	0.62144	1.181423	0.9685733	0.06189465	1.144287	0.7292544	3.073731	0.361131	0.646485	0.8546275	0.7758093
62	-43.0463	-32.0056	-11.0407	1.050626	0.6641439	1.189639	1.016709	0.07990401	1.144287	0.9930495	2.211522	0.6166988	0.4037341	1.174043	0.4963562
63	-48.3918	-35.2646	-13.1272	1.514459	0.5251104	1.189639	2.118889	0.08243336	0.5197917	2.047509	2.410655	0.7719606	0.3408914	1.159032	0.4468712
64	-50.5003	-36.434	-14.0664	2.301035	0.3575193	0.9179928	2.733211	0.06939528	0.5413659	2.197612	1.449391	1.108619	0.3408914	1.16609	0.8832614
65	-46.2595	-33.61	-12.6495	2.483838	0.3575193	0.8534389	1.930281	0.06939528	1.038512	1.5634	1.477997	0.8097193	0.4548806	1.204061	0.4064443
66	-50.1149	-33.9899	-16.1251	2.483838	0.5764263	1.716873	1.930281	0.06617184	1.411146	2.330901	1.879735	1.196195	0.4548806	1.245918	0.8326934
67	-49.0881	-33.5884	-15.4997	0.8543894	0.7622723	2.15501	1.930281	0.04960142	1.895223	3.00162	1.125685	0.9248535	0.4548806	1.878172	0.4677419
68	-50.1418	-35.1597	-14.9822	0.345372	0.8377839	1.953532	1.930281	0.07210171	2.126641	3.00162	0.8430591	0.7767987	0.4548806	2.172342	0.4677419
69	-50.8786	-34.7594	-16.1191	0.345372	0.8377839	2.193951	1.504325	0.08652585	2.668645	3.393602	0.8615426	0.8794309	0.5151708	2.172342	0.6604473
70	-44.9001	-32.8563	-12.0438	0.345372	0.7324954	1.080643	1.056131	0.08169505	1.834312	2.344329	0.8615426	0.8794309	0.49886	1.631872	0.6971335
71	-43.6274	-31.7173	-11.9102	0.4411295	1.144344	1.080643	1.006188	0.1097494	2.107849	1.662727	1.145878	0.8794309	0.759378	1.001587	0.5712643
72	-41.3856	-31.3111	-10.0745	0.460406	1.068421	1.080643	1.227107	0.1110835	1.417224	0.9935368	1.145878	0.8245628	0.4379196	0.9414015	0.3662899
73	-46.1462	-32.9656	-13.1806	0.460406	1.493344	1.066474	1.880466	0.1110835	1.417224	1.63269	2.830468	0.8245628	0.4941019	0.7269249	0.2428904
74	-47.1137	-32.2131	-14.9006	0.8893179	2.610741	0.9961162	1.880466	0.1260451	2.178785	1.173615	2.37996	1.023752	0.5884748	0.7269249	0.3264059
75	-45.7509	-31.6802	-14.0707	0.7428007	2.643537	0.9961162	1.880466	0.3058058	1.201684	1.215844	2.37996	0.9064658	0.798977	0.7269249	0.2721011
76	-46.3685	-30.6174	-15.7511	0.42994	1.756566	1.499512	1.18393	0.4026678	1.849321	1.876479	2.729386	1.576842	0.9724731	1.178813	0.2951523
77	-43.5748	-30.8427	-12.7321	0.623379	1.365798	2.1016	0.782471	0.2442863	1.212599	1.377861	1.299489	1.340474	0.9035263	1.058893	0.4217288
78	-42.7741	-29.7751	-12.999	0.3129308	1.066745	1.466376	1.168898	0.3943221	1.73123	1.048622	1.299489	1.818867	1.149457	1.058893	0.4831985
79	-45.0028	-29.9375	-15.0653	0.3405181	2.010152	1.292193	1.168898	0.3959849	1.905264	0.9469369	1.002813	1.77986	2.067008	1.697169	0.458533
80	-43.7571	-29.808	-13.9491	0.379169	1.709482	1.292193	1.168898	0.268665	1.889423	0.7038065	0.8908394	1.77986	1.35599	1.77472	0.7361017
81	-43.623	-30.7583	-12.8647	0.4391087	1.150043	0.8512607	1.941006	0.223478	1.767208	0.7862472	1.234731	1.081784	0.8486922	1.805034	0.7361017
82	-45.9774	-31.7825	-14.1949	0.6592292	2.388854	1.131233	2.22971	0.1838532	1.802121	0.9298816	1.467869	1.081784	0.8744122	0.7098449	0.7361017
83	-47.8747	-31.7232	-16.1515	0.6554028	2.388854	0.8275205	1.55087	0.1838532	1.475109	1.693483	1.888811	1.7021	2.546617	0.5027406	0.7361017
84	-48.6703	-32.2073	-16.463	0.6554028	1.746121	1.048787	1.700905	0.1353037	1.778684	2.681765	1.773678	2.217054	0.9482021	0.7684297	1.008666
85	-51.8201	-32.9233	-18.8968	0.6351522	3.354299	1.282466	1.975533	0.09496684	1.778684	2.145655	1.773678	1.505446	2.434523	0.4726301	1.443773
86	-50.5529	-32.969	-17.5839	0.6926024	2.791279	0.9419444	1.975533	0.1384692	2.25203	2.145655	1.680515	1.2812	2.434523	0.34614	0.9040197
87	-47.1223	-32.2539	-14.8684	0.6926024	1.547329	0.9419444	1.680796	0.2933247	1.257315	1.799744	2.043542	1.024222	2.434523	0.3363749	0.8166621
88	-46.3116	-32.5679	-13.7437	0.5697231	1.200574	0.7724361	1.680796	0.2109082	1.789224	1.687037	2.381235	0.4583871	1.666853	0.3363749	0.9901391
89	-49.8809	-34.6555	-15.2254	0.2302293	1.567561	1.012055	1.680796	0.1329062	1.008678	2.300626	2.381235	0.4583871	2.623716	0.2132024	1.615975
90	-46.3296	-33.2606	-13.069	0.1578643	1.816062	0.9779224	1.249697	0.1149538	0.7114311	1.385574	2.381235	0.4583871	2.281265	0.3671641	1.167452
91	-44.7083	-32.016	-12.6923	0.1995854	0.7146766	0.8968049	1.249697	0.2021201	0.7114311	0.9881612	2.381235	0.5401638	2.469773	0.4920508	1.846555
92	-44.7165	-32.0579	-12.6586	0.2919463	0.9028058	0.7086569	1.890748	0.1772448	0.7114311	0.4535493	2.154302	0.9801515	1.985042	0.6002856	1.80244
93	-47.6757	-33.0641	-14.6116	0.4051021	1.526687	1.014375	1.890748	0.172579	0.7114311	0.3226772	2.341165	0.776876	3.243907	0.265307	1.940715
94	-50.2721	-33.5797	-16.6923	0.4865781	3.36807	1.304491	1.890748	0.07954049	0.5114645	0.5120824	1.696423	1.132579	3.243907	0.5257356	1.940715
95	-51.0555	-34.0909	-16.9646	0.5081733	2.185527	0.6810264	1.890748	0.09959589	0.4126586	0.850832	2.484707	0.8488651	4.315364	0.7463906	1.940715
96	-48.7588	-32.3199	-16.4388	0.661666	1.488585	0.6810264	1.777992	0.09711241	0.7371333	0.7265381	2.316188	1.075522	3.131387	1.10968	2.636015
97	-52.2401	-33.3218	-18.9183	0.8191911	1.46537	0.7877295	1.841063	0.09711241	0.537252	0.4802947	2.780258	1.660285	3.696839	1.10968	3.643201
