Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
37	1	-46.9487	-30.5412	-16.4074	1.630068	1.569479	1.185558	0.6096588	2.32689	1.6814	0.4442051	1.717961	0.7859436	1.302477	2.739332	0.4144756
38	0	-46.3823	-30.3534	-16.0289	0.9367977	1.757795	0.8067579	0.739525	1.238623	1.919106	0.9750873	2.112639	0.868926	3.022588	0.842138	0.8089367
39	1	-50.6605	-31.7411	-18.9194	1.630068	3.816026	1.185558	0.6096588	1.823308	1.248062	0.3847732	1.470682	1.457553	2.072842	2.606487	0.6143772
40	0	-45.7554	-30.2458	-15.5095	0.8452255	1.075038	1.134326	0.8113518	1.219725	1.808849	0.4969007	1.602233	0.868926	3.916699	1.39356	0.3366855
41	1	-47.3803	-31.2838	-16.0965	0.7868403	3.495417	0.7351475	0.3871277	0.8431636	1.597512	0.3099306	1.17886	1.457553	2.072842	2.485128	0.746968
42	0	-46.8411	-29.9687	-16.8724	1.537722	1.075038	1.153293	1.07101	1.526749	1.808849	0.4382852	1.101189	1.830864	3.459946	1.635664	0.2337591
43	1	-44.7492	-30.6284	-14.1208	1.15508	2.377391	0.8835873	0.3871277	0.5131097	1.597512	0.2575802	0.7748022	2.132852	1.24305	2.151104	0.647635
44	0	-49.3916	-30.8062	-18.5854	1.258456	0.7141841	1.84476	1.749087	1.127988	0.8404723	0.630626	1.67867	3.073536	3.459946	2.033253	0.1744637
45	1	-43.7058	-30.4888	-13.217	1.15508	1.513227	0.8700881	0.288127	0.9339476	1.425813	0.3419406	0.6625513	2.132852	1.49105	1.658212	0.7441087
46	0	-45.3492	-29.788	-15.5612	1.268117	0.9325235	2.766579	1.103428	1.127988	1.303683	0.5160473	1.318583	2.617241	1.682532	0.8239789	0.100474
47	1	-44.8273	-30.84	-13.9873	0.9831871	1.764725	0.9578773	0.288127	0.9916463	1.425813	0.677303	0.5916794	2.587111	1.051457	2.161026	0.5073621
48	0	-43.9057	-30.5476	-13.3582	1.259408	0.9325235	2.766579	1.241575	0.9584164	0.8451193	0.5160473	0.9105321	1.682022	1.168526	0.9733593	0.1040606
49	1	-42.82	-30.6678	-12.1522	1.064358	1.810893	0.4217402	0.288127	0.6225205	2.069767	0.677303	0.5216825	1.346611	1.051457	1.77038	0.5073621
50	0	-46.0497	-31.2506	-14.7991	1.259408	1.219709	2.766579	1.241575	0.8181818	0.8447471	0.8366228	1.358602	1.51085	0.912546	1.902289	0.1279731
51	1	-43.1199	-30.7781	-12.3418	1.064358	1.753429	0.3972764	0.288127	0.5997296	2.085013	0.6424834	0.631251	1.504541	1.292221	1.77038	0.3129812
52	0	-48.9638	-33.0751	-15.8888	1.007182	2.375301	1.434573	0.7750402	0.8956731	1.251261	0.8576989	0.9084427	1.51085	1.878731	2.903894	0.09011866
53	1	-42.7543	-30.5485	-12.2058	1.021524	1.263366	0.3972764	0.2874127	0.5997296	1.32201	0.445054	0.631251	1.383216	1.742496	2.23981	0.8726708
54	0	-51.5535	-32.4727	-19.0808	0.4411255	2.92629	5.867578	0.7750402	0.8029966	0.8651898	0.5829959	1.261624	1.51085	1.746963	2.108272	0.1918419
55	1	-42.199	-29.8981	-12.3008	0.5474414	1.05535	0.3386924	0.2238917	0.3976393	1.786617	0.4940222	1.098115	1.720596	2.040392	1.993557	0.6045272
56	0	-52.497	-32.478	-20.019	0.5865607	3.257402	6.378736	0.7864646	0.8073247	1.173666	0.6182521	0.6078084	1.879383	1.629646	2.108272	0.185467
57	1	-41.2131	-29.5403	-11.6728	0.3501478	1.099883	0.1413276	0.2977926	0.3674038	1.786617	0.4436258	1.293818	1.487776	2.507509	1.292336	0.6045272
