Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
1472	0	-44.6863	-30.6762	-14.0101	0.1450832	1.070782	0.2707844	0.4646585	0.5394708	1.217401	1.229127	0.2115477	1.011091	1.812307	2.314601	3.723205
1473	1	-47.7769	-31.7968	-15.98	1.13901	1.701027	2.669899	0.2813328	0.3972609	2.75544	0.1153934	0.4357264	3.993138	1.141289	0.3229558	1.027558
1474	0	-44.1425	-32.8795	-11.263	1.242726	0.833467	0.2390357	0.4646585	0.7776388	3.278192	0.3657981	0.0345551	1.011091	1.812307	0.7298196	0.4736745
1475	1	-43.5621	-30.1062	-13.4559	0.275665	1.905436	1.97194	0.6505085	0.8536422	2.976748	0.5420218	0.6203656	1.116999	1.287174	0.5087118	0.7466525
1476	0	-44.8931	-31.6553	-13.2378	0.3655212	0.833467	1.434724	1.225999	0.7776388	1.249662	0.3657981	0.0345551	2.28746	0.6907731	3.498487	0.4736745
1477	1	-44.4026	-31.0038	-13.3988	0.275665	4.195285	0.5275565	0.6505085	1.869452	1.502565	0.5420218	0.5391265	0.5628442	0.4738323	0.3294533	1.930468
1478	0	-38.7134	-29.5909	-9.12245	1.219908	0.6203647	0.3666737	0.3769502	0.7776388	1.249662	0.3657981	0.704286	0.5699897	0.7623934	1.731493	0.3772947
1479	1	-39.7297	-29.2987	-10.4309	0.275665	1.231302	0.1553924	0.6505085	1.869452	1.502565	0.5420218	0.5391265	0.986761	0.4502705	1.737124	0.4907595
1480	0	-41.2858	-31.7694	-9.5164	0.7933868	0.6203647	0.3666737	0.3769502	1.491773	2.28041	0.3657981	0.5714264	0.1518456	1.285445	0.2884613	0.9238669
1481	1	-39.501	-30.2916	-9.20938	0.275665	0.9433721	0.1553924	0.6245017	0.8094666	1.502565	0.5420218	0.5391265	1.556883	0.03250442	1.737124	0.4907595
1482	0	-46.4236	-31.5512	-14.8724	0.283748	3.811503	1.08647	0.3769502	0.6912312	2.721562	0.4836156	1.969827	0.2305045	1.337429	0.9556602	0.9238669
1483	1	-39.6192	-31.4547	-8.16453	0.2261039	1.42657	0.2847865	0.6245017	1.300642	0.7611411	0.5420218	0.5391265	1.556883	0.03250442	0.7236316	0.1466226
1484	0	-45.0657	-31.7195	-13.3462	0.283748	3.811503	0.4799403	1.697672	0.3864204	2.399702	0.8420477	0.9196478	0.4168123	0.3439069	1.417965	0.3468384
1485	1	-41.8714	-32.0069	-9.86446	0.334376	1.42657	1.112992	0.6417389	1.300642	1.784769	0.165097	1.790513	0.7238123	0.03250442	0.5101654	0.04127769
1486	0	-48.8487	-31.6198	-17.2289	1.446395	3.811503	0.7493757	1.697672	0.3864204	2.399702	0.1012348	1.777094	0.4170654	0.5631555	1.417965	2.461321
1487	1	-38.6928	-29.7988	-8.894	0.05830692	0.241551	1.112992	0.6417389	1.25983	1.516154	0.3502298	0.7566351	0.7238123	0.4879969	0.5101654	1.234592
1488	0	-44.4246	-31.2641	-13.1605	0.220579	0.4893727	0.7493757	1.697672	1.1626	2.242225	1.290303	1.777094	0.4170654	0.6160428	1.417965	1.080225
1489	1	-46.1489	-28.869	-17.28	0.05830692	1.309234	2.511828	0.8330143	2.133925	2.409575	0.3158487	2.064001	2.440711	1.542142	1.198192	0.4631837
1490	0	-43.2777	-31.4735	-11.8042	0.220579	0.4893727	0.7493757	1.396867	2.055022	1.296843	0.3297143	0.6533172	0.09533248	1.711352	1.417965	1.388428
1491	1	-42.3213	-29.881	-12.4403	0.2595243	0.484308	1.561103	0.8330143	0.5694133	0.4935941	0.7169065	2.096324	2.440711	1.324046	1.198192	0.4631837
1492	0	-45.8606	-30.665	-15.1956	1.489573	0.8993245	1.507794	1.878488	1.875919	1.596727	0.3297143	0.4349435	1.082581	1.294149	1.417965	1.388428
1493	1	-39.2654	-31.3266	-7.93881	0.2595243	0.680146	0.990989	0.805319	0.5694133	0.4935941	0.2576445	0.1794039	0.4882526	0.9404501	0.8674392	1.406629
1494	0	-41.6818	-29.6893	-11.9925	0.164277	0.8993245	1.313793	0.4980491	1.576415	1.596727	0.4864569	0.4349435	0.9219946	1.294149	1.417965	1.388428
1495	1	-35.9769	-30.1293	-5.84762	0.462558	0.2218334	0.2492117	0.805319	0.3709883	0.4935941	0.2391587	0.4397383	0.278477	0.9404501	0.8674392	0.4788563
1496	0	-39.5159	-30.6805	-8.83537	0.6720418	0.8993245	0.2318214	0.4980491	0.4395788	1.596727	0.4864569	0.1507093	1.033522	0.8965845	1.417965	0.5125907
1497	1	-35.8012	-29.7858	-6.01547	0.462558	0.1926051	0.4466153	0.4866147	0.8301501	0.4308969	0.2391587	0.4397383	0.3408747	0.7688236	0.8985815	0.4788563
1498	0	-44.8811	-34.6891	-10.192	0.6720418	1.272323	0.402213	2.577634	0.4395788	0.4726831	0.4864569	0.1507093	1.033522	0.565336	0.4087509	1.71079
1499	1	-39.0988	-31.6723	-7.42648	0.462558	0.3677308	1.100889	0.08667948	0.8301501	0.4306631	0.2391587	1.474391	0.3408747	0.5664817	1.049619	0.4772827
1500	0	-45.2659	-34.7466	-10.5193	0.6720418	0.8068225	0.9085872	2.577634	0.4395788	0.7693807	0.4864569	0.05870402	0.7305273	0.9499953	0.4087509	1.71079
1501	1	-38.3207	-28.26	-10.0606	0.1685728	1.414292	0.06235611	0.2562068	0.8301501	1.085776	0.03549104	1.558824	1.75994	1.625205	1.049619	0.2142155
1502	0	-45.2427	-32.4262	-12.8166	0.6786959	0.8068225	0.2047753	2.577634	0.8379578	2.596463	0.0575524	0.3708876	1.571715	0.3455731	0.4087509	2.359744
1503	1	-40.8154	-29.1962	-11.6191	0.5573273	1.414292	0.0847189	0.2562068	0.8301501	2.622856	0.0737913	0.5213932	2.856538	1.138024	1.049619	0.2142155
1504	0	-40.3495	-30.7895	-9.55996	0.6786959	0.3032393	0.4485118	1.413994	0.5237522	2.101841	0.6566462	0.3708876	1.571715	0.3455731	0.7433176	0.4017823
1505	1	-40.5733	-29.4971	-11.0763	2.097489	0.5156943	0.0847189	0.4278162	0.8301501	2.622856	0.1450502	0.5213932	1.893307	0.265807	1.049619	0.6223687
1506	0	-43	-31.1548	-11.8451	0.9303129	0.1409466	0.4485118	0.08552831	0.5237522	2.818159	0.6566462	2.033829	3.218144	0.3455731	0.482199	0.161541
1507	1	-42.4538	-30.5553	-11.8985	1.614458	0.2487787	0.0847189	0.4367289	0.8301501	2.622856	0.3662129	1.216413	1.893307	0.2349752	1.049619	1.300288
1508	0	-45.7293	-30.8813	-14.848	2.155507	0.6899755	1.166783	0.1221307	0.5149823	2.075501	0.6566462	0.7364641	3.218144	0.3455731	2.973577	0.1926818
1509	1	-38.7365	-30.1755	-8.56094	1.614458	0.2487787	0.0847189	0.09845728	0.5842232	0.7596661	0.3662129	0.3262332	1.893307	0.2349752	1.049619	1.300288
1510	0	-42.9406	-30.3324	-12.6082	2.155507	0.2267837	0.3777709	0.534763	0.5149823	1.12449	0.3283518	2.9048	1.052357	0.2221376	2.973577	0.1926818
1511	1	-39.8436	-29.1219	-10.7217	1.614458	1.588183	0.1757552	0.40849	0.6353622	0.7596661	0.1800784	0.9155497	1.893307	0.7146095	1.049619	0.7865946
1512	0	-44.8682	-30.5537	-14.3145	0.2678176	0.2267837	0.3777709	0.1265389	1.280264	0.8995832	1.525501	2.9048	3.197544	0.2221376	2.231975	1.053825
1513	1	-42.5066	-29.4249	-13.0817	0.8819908	1.588183	0.2723352	1.236902	0.6353622	2.002907	0.1800784	0.8245359	1.415833	0.3423542	2.914615	0.7865946
1514	0	-45.4582	-30.8296	-14.6287	3.078307	0.4118439	0.4720642	0.1265389	1.526552	1.767082	0.8278571	0.8119967	0.9002773	1.420335	2.231975	1.053825
1515	1	-47.9972	-30.7935	-17.2037	0.6706211	5.451242	0.2723352	0.7395729	0.6353622	2.002907	0.3124347	1.568591	0.242295	0.5924814	1.163574	3.552319
1516	0	-44.3522	-30.4466	-13.9056	2.462391	0.4118439	0.5402796	0.6358088	0.3688629	1.455933	0.3635693	0.9918102	3.500614	0.3806767	2.231975	0.5618219
1517	1	-50.7485	-31.2249	-19.5237	0.3726614	4.636519	0.6956685	1.253558	0.8414684	1.131781	0.3124347	1.568591	0.3852857	2.500346	2.273022	3.552319
1518	0	-41.9482	-29.7717	-12.1765	0.5292884	1.55607	0.5402796	0.6358088	1.229219	0.5443838	0.1241633	0.7522546	3.500614	0.3806767	2.231975	0.1517284
1519	1	-54.8452	-31.6457	-23.1995	0.3726614	4.636519	0.6956685	1.190001	0.8414684	1.131781	0.3275087	6.280772	0.3852857	0.432097	2.273022	4.632682
1520	0	-50.2828	-31.4463	-18.8365	0.6220145	0.485125	0.5402796	0.6358088	1.708655	0.8392088	0.1241633	0.5298751	5.74718	0.3806767	0.5681851	6.655301
1521	1	-52.4881	-31.9639	-20.5243	0.6163196	4.636519	1.052511	1.190001	0.689664	1.131781	0.3275087	6.280772	0.3852857	1.30215	1.895045	1.016712
1522	0	-46.9949	-29.5971	-17.3978	0.3157439	0.08090006	0.6163942	0.6210218	2.691557	0.8392088	0.01724004	2.007397	5.74718	0.498147	1.577196	2.385798
1523	1	-52.3412	-30.9152	-21.4261	1.965894	1.558679	0.7261047	1.190001	0.5959082	3.463936	0.1268864	6.280772	0.7898364	2.331503	1.895045	0.5014864
1524	0	-47.4567	-29.8678	-17.589	0.1897646	0.08090006	0.6163942	0.6210218	2.771225	3.038829	0.01724004	2.007397	5.74718	1.143205	0.7552908	0.6005299
1525	1	-51.926	-31.0494	-20.8766	0.3139787	0.434	3.659344	1.441763	0.5991802	3.463936	0.1268864	6.280772	0.7898364	2.331503	0.9339136	0.5014864
1526	0	-49.0389	-30.402	-18.6369	0.1897646	0.1372019	0.6163942	0.6210218	4.221798	2.93486	0.06114678	2.543718	5.74718	0.2079788	0.7552908	0.6005299
1527	1	-47.4702	-29.696	-17.7741	0.323431	0.6281304	2.65813	0.3992398	0.5991802	1.810538	0.03022374	5.350062	2.031937	2.331503	1.110261	0.5014864
1528	0	-50.8033	-31.2832	-19.5201	1.349475	0.1372019	2.318084	0.1681972	4.221798	2.93486	0.1026796	0.9767461	5.74718	0.5853803	0.7552908	0.2232164
1529	1	-47.6751	-30.8266	-16.8485	0.1390725	3.111492	0.9822792	1.857399	0.883238	0.6828513	0.1384432	3.299412	2.031937	2.331503	1.110261	0.2806476
1530	0	-49.8867	-31.3769	-18.5097	2.356956	0.1372019	0.4086663	0.6647404	4.221798	3.05997	0.464053	0.9767461	2.805533	0.1422386	2.833495	0.4383289
1531	1	-44.3573	-30.7238	-13.6335	0.4314762	1.284129	0.9822792	1.857399	0.4020013	1.573431	0.1384432	1.395593	1.846376	2.331503	1.110261	0.2806476
1532	0	-51.0989	-31.3562	-19.7427	2.356956	1.056221	2.536744	0.3692668	4.221798	1.694355	0.1397258	0.3411094	2.805533	0.5623625	2.833495	0.8251477
1533	1	-43.2983	-29.239	-14.0593	0.6066129	1.003296	0.9822792	0.8497894	1.911745	1.573431	0.7280372	1.430648	2.818496	0.888108	1.110261	0.1565537
1534	0	-42.4496	-28.7418	-13.7078	0.2387221	0.6337172	0.5451748	0.7211148	0.8675942	1.871883	0.1728645	0.3411094	4.118495	0.5623625	2.977184	0.6575785
1535	1	-42.923	-31.4383	-11.4847	1.860082	0.9547438	0.9822792	0.8044158	1.416515	1.226399	0.9410113	0.97651	0.6666281	0.888108	0.691306	0.0766663
1536	0	-43.8042	-31.1036	-12.7007	2.216714	0.6919888	0.5451748	1.794784	0.8675942	0.7577155	0.2560552	0.6054518	0.3311436	0.5623625	2.977184	1.094483
1537	1	-42.9156	-31.6678	-11.2478	1.759102	0.9547438	0.515055	0.8044158	0.3364759	1.226399	0.9410113	1.8189	0.6666281	1.457101	0.691306	0.0766663
1538	0	-43.4431	-31.0724	-12.3707	0.5990452	0.6919888	2.000377	1.177035	0.8675942	0.8211755	0.2560552	0.7779559	0.3311436	0.5623625	1.810917	2.475083
1539	1	-41.6905	-32.0057	-9.68482	1.759102	0.3129562	0.515055	0.7661019	0.2560316	0.5245636	1.039187	1.8189	0.6666281	0.2724323	1.167469	0.586395
1540	0	-43.354	-30.208	-13.1461	0.5990452	0.4257125	2.000377	0.3214336	0.3783245	0.7958466	0.5146225	0.7779559	0.661629	0.3188074	4.722441	1.629899
1541	1	-42.7603	-33.852	-8.90836	1.759102	0.3129562	0.515055	0.9320042	0.1104649	0.3524159	1.062759	0.6228304	0.6666281	0.2724323	1.167469	1.134243
1542	0	-45.4969	-30.894	-14.603	0.5990452	0.4257125	1.036491	0.3993919	2.813135	0.7958466	0.02886886	0.4774756	0.398258	1.276389	4.722441	1.629899
1543	1	-41.6463	-30.6719	-10.9744	0.3384469	0.7770188	0.4852243	0.9320042	0.8029368	1.347601	1.062759	1.327606	0.5061723	0.2417767	1.167469	1.985366
1544	0	-42.9419	-29.9192	-13.0227	2.601867	0.4257125	0.5730774	0.3993919	1.522696	1.627045	0.03009081	0.4774756	0.398258	1.276389	2.06081	1.629899
1545	1	-42.3599	-29.5071	-12.8528	2.786901	0.1231856	0.7722721	0.9320042	0.4659831	1.347601	0.3079879	1.327606	1.687249	1.337368	1.167469	0.5971715
1546	0	-42.979	-29.4785	-13.5004	0.8203848	0.8021017	0.3239046	0.3383506	1.522696	1.627045	0.3505457	2.350044	0.398258	1.276389	2.06081	1.629899
1547	1	-38.2024	-29.5674	-8.63498	0.30911	0.1508175	0.47627	0.5150321	0.2866121	1.347601	0.4992522	0.3912175	1.706312	1.188112	1.167469	0.5971715
1548	0	-42.9105	-30.3342	-12.5763	1.307794	0.8021017	0.5818926	0.4924633	1.522696	1.334146	0.3505457	2.350044	0.981281	1.276389	0.3306974	1.246267
1549	1	-38.5056	-29.7344	-8.77127	0.30911	0.283475	2.424516	0.1624112	0.2866121	1.096946	0.2095455	0.8944398	0.439659	0.8999136	1.167469	0.5971715
1550	0	-42.6432	-30.4656	-12.1776	1.307794	2.467046	0.5818926	0.3689572	1.333292	1.334146	0.08077479	2.350044	0.981281	0.4820978	0.3306974	0.5595356
1551	1	-42.6012	-29.6964	-12.9048	0.120755	0.7138302	0.7881225	0.5461838	1.236748	1.096946	0.3838437	0.4636885	0.439659	0.2266042	5.906351	0.9820641
1552	0	-41.7039	-30.2844	-11.4195	1.236285	2.467046	0.5818926	0.3689572	1.333292	1.019783	0.2321809	1.354596	1.854197	0.4756614	0.3004511	0.195163
1553	1	-40.8808	-29.7019	-11.1789	0.5592157	0.280677	0.7881225	0.5461838	0.4667127	0.817288	0.2039772	0.4636885	0.6119867	0.1952865	5.906351	0.3394431
1554	0	-44.2892	-31.9641	-12.3251	2.305347	1.254007	1.922828	0.2696309	1.333292	1.019783	0.7071052	1.102872	1.854197	0.2158582	0.2681917	0.07202403
1555	1	-36.8121	-28.9279	-7.88416	0.1505126	0.280677	0.6023548	0.2531668	0.4667127	0.817288	0.3165202	0.5835064	0.6119867	0.1952865	2.158311	1.447835
1556	0	-42.8016	-30.5904	-12.2112	0.3157891	0.4169216	1.922828	0.6225345	1.333292	1.019783	1.371002	0.7365146	1.743076	0.2158582	2.44158	0.07202403
1557	1	-39.3504	-29.9294	-9.42102	0.3943565	1.488442	0.6013187	0.4000804	0.4667127	0.817288	0.3165202	0.428098	0.6119867	0.2900704	2.158311	1.447835
1558	0	-45.9909	-31.329	-14.6619	1.385375	1.333847	3.420459	0.6225345	0.8544067	3.423151	0.5160758	0.3066801	1.588238	0.4240357	0.7150237	0.07202403
1559	1	-39.4027	-29.3149	-10.0878	0.3943565	1.488442	0.3372855	0.2844724	1.442026	1.576747	0.08401388	1.120737	0.6201322	0.123702	2.158311	0.4575717
1560	0	-42.4044	-31.9097	-10.4947	0.8442661	2.636602	2.2429	0.6225345	0.8544067	0.5096868	0.07036618	0.3066801	1.588238	0.1695836	0.365432	0.2839897
1561	1	-38.8581	-29.2597	-9.59834	0.3943565	0.9446703	0.3372855	0.7521679	0.6290467	1.521802	0.03574161	1.120737	0.6201322	0.123702	2.661122	0.4575717
1562	0	-49.2736	-32.5044	-16.7691	0.8442661	5.559404	2.2429	0.5700054	0.8544067	1.555981	1.376777	0.4636911	0.7546311	0.5201741	0.365432	1.66147
1563	1	-38.8321	-30.5694	-8.26265	1.184651	0.1533163	0.3372855	0.2285697	1.355699	0.4401042	0.1415367	1.031319	0.3420768	0.3543417	1.16318	1.530571
1564	0	-44.0336	-30.9819	-13.0517	0.8442661	5.559404	0.6596728	0.6103259	0.435189	1.555981	0.6556648	0.4636911	0.7546311	0.9338211	0.365432	0.2136009
1565	1	-37.9573	-29.1324	-8.82486	0.5245317	0.1533163	1.396362	0.2285697	0.5744155	1.529521	0.3034141	0.990864	1.96109	0.3543417	0.5546377	0.2537956
1566	0	-42.5845	-29.9875	-12.597	0.3019642	3.781745	0.6356994	0.4930715	0.435189	1.555981	0.8744487	0.4035052	0.7546311	0.2807378	1.759745	1.320286
1567	1	-41.5831	-30.1798	-11.4033	0.5245317	0.3534583	1.396362	1.246971	0.5744155	1.978231	0.3034141	0.2264319	1.96109	0.3543417	1.966539	0.517494
1568	0	-44.6706	-30.4127	-14.2579	2.458082	3.781745	0.3400888	0.4930715	0.435189	1.555981	0.03675764	1.697213	0.4115896	0.3366424	1.294336	1.41723
1569	1	-38.1496	-29.4349	-8.71471	0.5245317	0.03928112	1.396362	0.2240256	0.5744155	1.74431	0.3209846	0.182565	1.96109	0.3543417	0.8394138	0.5533897
1570	0	-46.6403	-30.4724	-16.1679	1.270468	7.213132	0.3400888	0.4930715	1.548071	0.9946204	0.02136229	0.4945955	1.294589	0.4611609	0.6195485	1.41723
1571	1	-46.6208	-33.3859	-13.2349	2.457886	0.03928112	0.5599919	0.2240256	0.5744155	2.919077	0.3089977	0.182565	1.262918	1.106244	1.515699	2.083794
1572	0	-52.7396	-29.6556	-23.084	0.04482514	7.213132	1.606209	0.4930715	0.9184506	0.74145	1.193935	2.816943	1.567905	0.8197539	4.251117	1.41723
1573	1	-42.7543	-29.3498	-13.4045	0.8292845	0.1428927	0.5599919	0.3139536	0.7154683	2.919077	0.3089977	0.9832648	1.262918	1.106244	1.15453	3.10791
1574	0	-37.8313	-28.5349	-9.29644	0.08325004	0.9911399	0.295058	0.1678207	0.9184506	1.329648	0.2093328	0.7644144	1.567905	0.8197539	0.7324408	1.41723
1575	1	-46.9201	-30.0939	-16.8262	0.8648276	0.2102887	0.4134759	0.3139536	1.107028	1.259363	0.6975275	0.6380382	0.6406484	2.10635	4.509785	4.06488
1576	0	-39.6747	-29.4197	-10.255	0.4957745	0.8083061	0.2868793	0.1678207	0.9184506	1.616047	0.6331551	0.7590356	1.545939	0.8197539	1.826196	0.3776803
1577	1	-46.1231	-30.2845	-15.8387	2.813399	0.441405	0.4134759	1.087444	1.107028	1.259363	0.4817871	0.6380382	1.170323	0.5670425	1.794491	4.06488
1578	0	-39.1993	-28.4467	-10.7526	0.4957745	0.8642734	0.3426258	0.3173418	1.25178	1.616047	0.1043706	1.052322	1.545939	0.8197539	1.814522	0.5278453
1579	1	-49.3118	-30.5325	-18.7793	2.451604	1.053673	0.4134759	0.9535757	2.234213	2.293597	0.4817871	1.822123	2.049706	0.5670425	0.3936183	4.06488
1580	0	-44.3206	-30.6595	-13.6611	0.08175183	0.8642734	0.3426258	0.3173418	0.7084858	1.919278	2.403906	2.183683	1.545939	0.8197539	1.814522	0.6595499
1581	1	-51.7652	-29.0859	-22.6793	2.451604	1.322003	0.4134759	0.9535757	1.743045	2.293597	0.9066167	1.601142	2.049706	2.514761	2.364904	4.06488
1582	0	-47.5665	-30.6717	-16.8947	0.07028412	0.4468943	1.366756	0.2398683	2.688089	1.919278	2.053218	2.183683	1.708553	1.176058	2.382515	0.6595499
1583	1	-43.2995	-29.5052	-13.7943	0.3920467	1.322003	0.4134759	0.9535757	1.743045	2.293597	0.462367	1.437891	0.3298063	0.8349891	2.364904	1.246632
1584	0	-47.797	-29.7507	-18.0463	0.07028412	1.159573	0.50553	0.7790523	2.688089	1.919278	1.293305	2.183683	2.695368	1.966636	2.594322	0.1911888
1585	1	-40.4493	-30.843	-9.60629	0.7124848	0.3519028	0.4134759	1.08056	1.743045	1.036442	0.298011	1.437891	0.6019882	0.2799457	0.403912	1.246632
1586	0	-46.2561	-31.6152	-14.6409	0.2843082	1.159573	1.134191	0.7790523	0.9868343	0.7256502	0.4285766	2.183683	0.6635396	3.36253	2.594322	0.3385926
1587	1	-38.522	-30.5195	-8.00259	0.9616648	0.02526503	0.4134759	0.4683029	0.6878402	1.138639	0.298011	1.676579	0.40957	0.2799457	0.3966645	1.246632
1588	0	-42.3897	-29.8392	-12.5505	0.2843323	0.5028149	0.669596	0.4306483	0.6888508	2.607696	0.4285766	2.183683	0.4232116	1.767531	1.445982	1.117615
1589	1	-40.2083	-29.3055	-10.9028	0.9616648	0.1486066	2.813668	0.658603	0.6878402	1.418332	0.1638279	0.4667995	0.3965531	0.5016327	1.453115	1.232118
1590	0	-38.5016	-28.9306	-9.57102	0.2843323	0.741157	0.8547814	0.4306483	0.6888508	1.578677	0.0944575	0.5226123	1.835374	0.6901154	0.8275299	1.022486
1591	1	-37.6732	-28.5669	-9.10627	0.2828033	0.173889	0.8187893	0.119003	0.6878402	1.741727	0.1024985	0.4667995	1.972965	0.5016327	1.453115	0.7852073
1592	0	-39.0855	-29.6404	-9.44515	0.2997611	0.741157	0.8547814	0.4306483	0.1377996	0.9371378	0.4058441	0.70882	2.131428	0.9926554	1.277707	0.5274093
1593	1	-42.6837	-30.8241	-11.8596	0.2828033	0.2581478	1.663746	0.119003	0.6878402	0.5912035	0.1024985	0.2303345	1.42175	1.21721	1.354315	3.9307
1594	0	-39.5192	-29.5139	-10.0053	0.1067597	0.741157	1.744067	0.2563406	0.08979292	0.6497093	0.4058441	1.77609	1.624595	0.805839	1.277707	0.5274093
1595	1	-41.4322	-31.429	-10.0032	0.217152	0.2581478	1.663746	0.1529799	0.6241094	0.5912035	0.9276075	0.1947946	0.9283825	1.21721	1.420341	1.807521
1596	0	-40.9231	-30.4079	-10.5152	0.4877475	0.741157	0.5111208	0.2563406	0.1411041	1.385045	0.8668789	0.4391403	2.432671	1.448874	1.277707	0.5274093
1597	1	-43.6738	-30.3096	-13.3642	0.217152	0.4355107	4.560398	0.1529799	0.5378132	1.839781	0.9276075	0.3314995	1.996178	0.7667419	1.420341	0.1781779
1598	0	-39.0695	-30.2779	-8.79166	0.07568265	0.741157	0.1988876	0.2563406	0.1411041	0.4571982	0.1953851	0.8400338	1.679977	1.448874	0.3605167	2.396502
1599	1	-38.5866	-29.6433	-8.94324	0.217152	0.4355107	1.506156	0.1667862	0.5378132	1.652642	0.101405	0.4031686	1.996178	0.1467997	1.420341	0.3592854
1600	0	-43.1951	-28.8787	-14.3164	0.04287529	5.515832	0.1988876	0.2563406	0.7365527	0.6856013	0.5383539	0.8400338	1.679977	0.5229828	0.9024995	2.396502
1601	1	-36.6718	-29.919	-6.7528	0.1064063	0.4355107	0.1021086	0.03314988	0.1075908	0.3958437	0.101405	0.4031686	1.104422	0.622722	1.420341	1.920135
1602	0	-42.9827	-29.1988	-13.7839	0.4085062	5.515832	0.1988876	0.2563406	0.2984073	0.501575	0.2721744	0.8400338	1.470194	0.5229828	1.850137	1.648808
1603	1	-39.9133	-32.2945	-7.6188	0.3961152	0.4355107	0.9282553	0.03314988	0.1075908	0.4297898	0.3212233	0.7748135	1.545514	0.4761419	0.2505633	1.920135
1604	0	-44.8585	-29.1896	-15.6689	0.4085062	5.515832	0.2405582	0.2563406	0.2984073	2.11891	0.2721744	0.8400338	1.835566	0.5229828	2.043201	1.316349
1605	1	-41.2693	-30.3116	-10.9578	0.209943	0.826528	0.9282553	0.2934139	0.1521502	0.6349316	0.3212233	0.5590846	1.545514	1.404424	3.386992	0.6953235
1606	0	-44.8529	-30.9409	-13.912	1.350904	5.515832	0.2405582	0.1894761	0.2984073	2.11891	0.2721744	0.8400338	0.3251077	0.5480238	1.15632	1.056248
1607	1	-42.5248	-31.2181	-11.3067	0.209943	0.636998	0.4962186	0.2934139	0.07508435	1.919977	0.3212233	0.6216009	0.5869949	0.8847438	3.386992	1.873555
1608	0	-48.3965	-31.2097	-17.1868	1.350904	4.095823	0.6216772	0.1894761	0.6792717	2.11891	0.8737109	3.547151	0.6777896	1.084872	0.9293912	1.017778
1609	1	-46.5245	-33.1548	-13.3697	2.094831	0.8989729	0.4962186	0.03520544	0.05163862	1.499032	0.3212233	0.7328773	0.5869949	0.8847438	3.894404	1.873555
1610	0	-44.7936	-31.5007	-13.2929	1.350904	0.5542821	0.7689485	0.2993606	0.6792717	2.11891	0.5891766	3.547151	0.6777896	1.084872	0.3296905	1.292525
1611	1	-41.6426	-32.0748	-9.5678	0.2555777	0.8989729	0.9466087	0.09966132	0.4818267	0.5628816	0.3212233	0.7328773	0.5869949	0.8847438	2.799071	0.9973581
1612	0	-47.9325	-34.0209	-13.9116	1.350904	1.42701	0.7689485	0.2993606	0.6748684	0.9439296	2.412804	3.547151	1.02319	0.1148171	1.246285	0.1023642
1613	1	-39.9109	-30.0722	-9.83873	1.430474	0.2651076	0.7794272	0.09966132	0.4818267	0.5718464	0.2576587	1.022322	0.5869949	0.8847438	2.799071	0.6595923
1614	0	-49.8644	-34.7051	-15.1593	1.350904	1.42701	0.7689485	2.873414	2.364283	0.9439296	2.412804	0.5323629	1.02319	0.1148171	1.246285	0.1013118
1615	1	-38.0361	-30.5959	-7.44014	1.05728	0.2485914	0.1600508	0.09966132	0.4818267	0.5718464	0.2576587	0.4973359	0.5869949	0.03145095	2.799071	0.6483729
1616	0	-47.0766	-33.1565	-13.9201	0.3299901	1.42701	0.7689485	2.258752	1.11496	1.775369	2.902219	0.3525572	1.02319	0.3099598	1.246285	0.4108607
1617	1	-39.6114	-31.6907	-7.9207	1.05728	0.2485914	1.057832	0.08619153	0.2395697	0.5718464	0.1594412	0.4973359	0.5167804	0.03838999	2.799071	0.6483729
1618	0	-44.3088	-30.7657	-13.5431	0.2468645	1.42701	0.7689485	2.13164	1.11496	1.775369	0.2372373	0.3525572	2.308646	0.3099598	2.459077	0.4108607
1619	1	-37.4863	-30.8292	-6.65711	0.08854425	0.3052579	0.2040145	0.08619153	0.1281151	0.9427623	0.1594412	0.1644044	1.092547	0.03838999	2.799071	0.6483729
1620	0	-40.0638	-29.1527	-10.9112	0.2468645	1.42701	0.7689485	0.76541	1.11496	1.775369	0.1943491	0.3525572	1.293059	0.9572022	1.076787	0.9386429
1621	1	-39.9991	-31.6936	-8.30551	0.08854425	0.09570134	0.6574812	0.2764023	1.162909	0.9427623	0.9763075	0.1018464	1.092547	0.03838999	2.224248	0.6483729
1622	0	-39.6257	-30.0662	-9.55959	0.2468645	0.2573674	0.7689485	0.76541	1.11496	0.6718957	0.1641028	0.1395299	1.293059	0.9572022	1.076787	2.103459
1623	1	-43.044	-32.8983	-10.1457	0.4685586	0.09570134	2.623132	0.08183744	1.162909	0.9427623	0.9763075	0.04702823	1.092547	0.09081377	1.842422	0.7216814
1624	0	-43.029	-30.7304	-12.2986	0.1922153	0.0363462	0.7689485	0.6700069	0.7136314	2.033461	1.034943	1.148704	0.9646224	0.3026469	1.076787	3.356285
1625	1	-35.5608	-29.2272	-6.3336	0.2076228	0.09570134	0.2440665	0.142294	0.2535046	0.9427623	0.08600068	0.3631935	0.9392783	0.06204198	2.275455	0.7216814
1626	0	-43.0552	-32.2188	-10.8364	0.1922153	0.4192718	0.7689485	0.6700069	0.8489085	0.2685909	0.9139694	0.6906634	0.9199053	0.7108846	1.076787	3.356285
