Filename,STEREO?,"Video name (or master, or left)",Secondary,Species,Architecture,Zooid number,optics,Speed range,Fluorescein?,Jet frames,Frontal CSA frame,DVZS frame,Scale Length mm,FPS,What was done,Comment,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0166_20210709184051_0001.MOV,Yes,A001C0166_20210709184051_0001_1,B003C0162_20210709184051_0001,Iasis cylindrica,Linear,94,,6-14s with white particle on right side,No,No,No,No,,120,Speeds uploaded to Drive,Weelia chain (x3); nice sequence; chaetognath party,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0166_20210709184051_0001.MOV,Yes,A001C0166_20210709184051_0001_2,B003C0162_20210709184051_0001,Iasis cylindrica,Linear,37,,No,No,No,21s,No,,120,,Weelia chain (x3); nice sequence; chaetognath party,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0167_20210709184129_0001.MOV,Yes,A001C0167_20210709184129_0001,B003C0163_20210709184129_0001,Iasis cylindrica,Linear,19,,14-18s with yellow string ,No,No,8s,0-4s,,120,Speeds uploaded to Drive,Weelia chain; larger zooids; missing some individuals; slow swimming,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0168_20210709184211_0001.MOV,Yes,A001C0168_20210709184211_0001,B003C0164_20210709184211_0001,Iasis cylindrica,Linear,44,,No,No,No,No,No,,120,,Weelia chain,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0169_20210709184226_0001.MOV,Yes,A001C0169_20210709184226_0001,B003C0165_20210709184226_0001,Iasis cylindrica,Linear,13,, 0-3s with yellow stick on right side,No,No,No,1s,,120,Speeds uploaded to Drive,,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0170_20210709184247_0001.MOV,Yes,A001C0170_20210709184247_0001_1,B003C0166_20210709184247_0001,Iasis cylindrica,Linear,14,,1-5s with tiny yellow line,No,No,No,2s,,120,Speeds uploaded to Drive,Weelia chain (X2),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0170_20210709184247_0001.MOV,Yes,A001C0170_20210709184247_0001_2,B003C0166_20210709184247_0001,Iasis cylindrica,Linear,46,,6-15s with yellow line in center of screen,No,No,No,10-17s,,120,Speeds uploaded to Drive,Weelia chain (X2),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0171_20210709184313_0001.MOV,Yes,A001C0171_20210709184313_0001_1,B003C0167_20210709184313_0001,Iasis cylindrica,Linear,9,,No,No,No,Maybe 7-8s?,No,,120,,Weelia chain x3; Chaetognath party,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0171_20210709184313_0001.MOV,Yes,A001C0171_20210709184313_0001_2,B003C0167_20210709184313_0001,Iasis cylindrica,Linear,153,,7-13s with white particle on right side,No,No,No,No,,120,Speeds uploaded to Drive,Weelia chain x3; Chaetognath party,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0171_20210709184313_0001.MOV,Yes,A001C0171_20210709184313_0001_3,B003C0167_20210709184313_0001,Iasis cylindrica,Linear,72,,19-22s ,No,No,No,No,,120,Speeds uploaded to Drive,Weelia chain x3; Chaetognath party,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0172_20210709184345_0001.MOV,Yes,A001C0172_20210709184345_0001_1,B003C0168_20210709184345_0001,Iasis cylindrica,Linear,14,,No,No,No,No,0s,,120,Speeds uploaded to Drive,"Weelia chain (x2); short chains, larger individuals",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0172_20210709184345_0002.MOV,Yes,A001C0172_20210709184345_0001_2,B003C0168_20210709184345_0001,Iasis cylindrica,Linear,10,,6-11s with white string in left side,No,No,No,No,,120,Speeds uploaded to Drive,"Weelia chain (x2); short chains, larger individuals",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0173_20210709184408_0001.MOV,Yes,A001C0173_20210709184408_0001,B003C0169_20210709184408_0001,Iasis cylindrica,Linear,25,,3-5s with yellow star on right side,No,No,No,No,,120,Speeds uploaded to Drive,Weelia chain (x2),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0173_20210709184408_0001.MOV,Yes,A001C0173_20210709184408_0001,B003C0169_20210709184408_0001,Iasis cylindrica,Linear,9,,No,No,No,No,5-6s,,120,,Weelia chain (x2),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0177_20210709184827_0001.MOV,Yes,A001C0177_20210709184827_0001,B003C0173_20210709184827_0001,Iasis cylindrica,Linear,16,,0-6s with small yellow star thing,No,No,No,3s,,120,Speeds uploaded to Drive,Weelia chain (sm); Dyphid-? Comes into view,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0178_20210709184853_0001.MOV,Yes,A001C0178_20210709184853_0001,B003C0174_20210709184853_0001,Iasis cylindrica,Linear,47,,10-13s with yellow circle in middle,No,No,No,3s,,120,Speeds uploaded to Drive,Weelia chain; nice sequence,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0179_20210709184957_0001.MOV,Yes,A001C0179_20210709184957_0001,B003C0175_20210709184957_0001,Iasis cylindrica,Linear,11,,"47-50s with white circle in middle, 142-147s with yellow circle, 155-159s with yellow stick",No,No,Maybe 73s,"8s, 128s-133s",,120,Speeds uploaded to Drive,"multiple individuals, yellowtail (?)",
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0189_20210710130016_0001.MOV,Yes,A001C0189_20210710130016_0001,B003C0185_20210710130016_0001,Iasis cylindrica,Linear,38,,"8-13s, particle yellow below animal",No,No,"Maybe 23-37s, where its twirling","Maybe 23-37s, where its twirling",,120,Speeds uploaded to Drive,Can't confidently take zooid width & length; given to Anneliese,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0192_20210710135057_0001.MOV,Yes,A001C0192_20210710135057_0001,B003C0188_20210710135057_0001,Iasis cylindrica,Linear,3,,"22-26s, particle hooked yellow at top left",No,No,7-9s,No,,120,Speeds uploaded to Drive; zooid length & width,Weelia chain (3 zooids); given to Anneliese,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0195_20210710135319_0001.MOV,Yes,A001C0195_20210710135319_0001,,Iasis cylindrica,Linear,,,,No,,,,,120,,weelia chain (3 zooids); wrong master video?,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0204_20210710141055_0001.MOV,Yes,A001C0204_20210710141055_0001,B003C0200_20210710141055_0001,Salpa chain,Linear,46,,No,No,No,Maybe 35s,"44s, 47s",,120,,,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0205_20210710141212_0001.MOV,Yes,A001C0205_20210710141212_0001_2,B003C0201_20210710141212_0001,Cyclosalpa bakeri,Whorl,4,,No,No,No,No,No,,120,,,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0205_20210710141212_0001.MOV,Yes,A001C0205_20210710141212_0001_1,B003C0201_20210710141212_0001,Salpa fusiformis,Linear,15,,"1-14s, white circle speck next to chain",No,No,No,35s,,120,Speeds uploaded to Drive,,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0207_20210710141533_0001.MOV,Yes,A001C0207_20210710141533_0001,B003C0203_20210710141533_0001,Cyclosalpa bakeri,Whorl,4,,"1-9s, particle string with yellow attached above animal",No,No,9-14s,No,,120,"Speeds uploaded to Drive,  CSA Done moved to completed",,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0209_20210710141857_0001.MOV,Yes,A001C0209_20210710141857_0001,B003C0205_20210710141857_0001,Cyclosalpa bakeri,Whorl,4,,"0-14s, white particle behind animal",No,No,14s,No,,120,"Speeds uploaded to Drive, CSA Done moved to completed",,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0210_20210710142059_0001.MOV,Yes,A001C0210_20210710142059_0001_1,B003C0206_20210710142059_0001,Cyclosalpa bakeri,Whorl,6,,"9-12s, white clump ",No,No,No,No,,120,Speeds uploaded to Drive; zooid length & width,,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0211_20210710142218_0001.MOV,Yes,A001C0211_20210710142218_0001,B003C0207_20210710142218_0001,Cyclosalpa bakeri,Whorl,6,,"1-5s, white clump above animal",No,No,No,Maybe 2-4s,,120,Speeds uploaded to Drive,,
D:\WestPalmBeach2021\10July2021\Field\Z_stereo\master\A001C0214_20210710142543_0001.MOV,Yes,A001C0214_20210710142543_0001,B003C0210_20210710142543_0001,Cyclosalpa bakeri,Whorl,6,,"1-12s, particle as white string below animal",No,No,Maybe 18s,No,,120,"Speeds uploaded to Drive, CSA Done moved to completed",,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Z_stereo\Master,Yes,A001C0223_20210917230616_0001,B003C0220_20210917230617_0001,Brooksia rostrata,Bipinnate,35,darkfield,Whole video,No,No,around 0:04,No,,120,"Speeds uploaded to Drive, CSA Done moved to completed",Can't confidently take zooid length & width,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Z_stereo\Master,Yes,A001C0225_20210917231024_0001,B003C0222_20210917231025_0001,Salpa fusiformis,Linear,7,darkfield,Yes,No,No,No,yes,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0230_20210918220927_0001,B003C0227_20210918220928_0001,Salpa fusiformis,Linear,27,darkfield,1-10s,No,No,yes,,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0237_20210918221904_0001,B003C0234_20210918221905_0001,Cyclosalpa sewelli,Cluster,3,darkfield,No,No,No,around 0:37,41s,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0241_20210918222417_0001,B003C0238_20210918222417_0001,Salpa maxima,Linear,1,darkfield,,No,No,,,,,,single zooid,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0247_20210918223147_0001_1,B003C0244_20210918223148_0001,Cyclosalpa sewelli,Cluster,7,darkfield,"0-14s, 60s",No,No,,,,120,Speeds uploaded to Drive; zooid length & width,2 specimen video,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0247_20210918223147_0001_2,B003C0244_20210918223148_0001,Soestia zonaria,Linear,8,,15s-,No,No,30s,Yes,,120,Speeds uploaded to Drive; zooid length & width,2 specimen video,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0252_20210918223920_0001,B003C0249_20210918223921_0001,Soestia zonaria,Linear,8,darkfield,1-17s,No,No,,,,120,Speeds uploaded to Drive; zooid length & width,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Z_stereo\Master,Yes,A001C0253_20210918223933_0001,B003C0250_20210918223934_0001,Soestia zonaria,Linear,8,darkfield,No,No,No,,,,,,same specimen as A001C0252_20210918223920_0001,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0256_20210919201321_0001,might be missing,Cyclosalpa affinis,Whorl,2,darkfield,No,No,No,No,No,,,,"2 zooids; corresponding secondary by name, but videos show different individuals",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0262_20210919202019_0001,B003C0255_20210919202020_0001,Cyclosalpa sewelli,Cluster,7,darkfield,Yes,No,No,,,,120,Speeds uploaded to Drive; zooid length & width,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0274_20210919203457_0001,B003C0267_20210919203458_0001,Cyclosalpa sewelli,Cluster,7,darkfield,10-13,No,No,,,,120,Speeds uploaded to Drive; zooid length & width,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0275_20210919203805_0001,B003C0268_20210919203807_0001,Cyclosalpa affinis,Whorl chain,62,darkfield,"20-23s, particle stringy below animal",No,No,Maybe 40s,No,,120,"Speeds uploaded to Drive; zooid length & width, CSA Done moved to completed",many conjoined whorls,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0276_20210919221503_0001,B003C0269_20210919221504_0001,Cyclosalpa sewelli,Cluster,6,darkfield,310-510,No,No,No,secondary 0:38,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0277_20210919221557_0001,B003C0270_20210919221559_0001,Iasis cylindrica,Linear,120,darkfield,1-3s,No,No,No,2s,,120,Speeds uploaded to Drive; zooid length & width,Helix but no dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0279_20210919221855_0001,B003C0272_20210919221857_0001,Iasis cylindrica,Linear,12,darkfield,1-10s,No,No,,1-10s,,120,Speeds uploaded to Drive; zooid length & width,"Linear, no dye, included embryo in length morph.",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0283_20210919222440_0001,B003C0276_20210919222441_0001,Cyclosalpa sewelli,Cluster,6,darkfield,1-4s,No,No,No,,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0284_20210919222752_0001,B003C0277_20210919222753_0001,Ritteriella amboinensis,Bipinnate,47,darkfield,42-47s,No,No,No,No,,120,Speeds uploaded to Drive,avoid 9-16s where it's reverse swimming,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\19Sept2021\Field\Z_stereo,Yes,A001C0288_20210919223646_0001,B003C0281_20210919223647_0001,Ritteriella amboinensis,Bipinnate,6,darkfield,Yes,No,No,No,Yes,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\z_stereo\master,Yes,A001C0292_20210920202155_0001,B003C0285_20210920202156_0001,Cyclosalpa affinis,Whorl chain,32,darkfield,"5-11s, particle chunky yellow behind animal",No,No,27s,9-14s,,120,Speeds uploaded to Drive,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\z_stereo\master,Yes,A001C0294_20210920202610_0001,A001C0294_20210920202610_0001,Brooksia rostrata,Bipinnate,17,darkfield,6-10s,No,No,"4s, 22s",,,120,"Speeds uploaded to Drive, CSA Done moved to completed",Can't confidently take zooid length & width,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\z_stereo\master,Yes,A001C0296_20210920203035_0001,B003C0289_20210920203036_0001,Cyclosalpa sewelli,Cluster,8,darkfield,No,No,No,22s,,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\z_stereo\master,Yes,A001C0300_20210920203636_0001,might be missing,Brooksia rostrata,Bipinnate,49,darkfield,0-3,No,No,No,No,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\20Sept2021\Field\z_stereo\master,Yes,A001C0302_20210920222903_0001,might be missing,Pegea sp.,Transversal,9,darkfield,No,No,No,No,2-3s,,,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0320_20210921215927_0001,B003C0296_20210921215927_0001,Salpa maxima,Linear,2,darkfield,9-12,Yes,12s,NA,,,120,Speeds uploaded to Drive; zooid length & width,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0321_20210921220020_0001,B003C0297_20210921220021_0001,Ritteriella amboinensis,Bipinnate,2,darkfield,2-6s,Yes,No,6s,10s,,120,Speeds uploaded to Drive,"bubbles, no dye",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0322_20210921220127_0001,B003C0298_20210921220128_0001,Ritteriella amboinensis,Bipinnate,21,darkfield,7-11s,Yes,No,No,1-16s,,120,"Done, Lengths of Colony and three zooids, Speeds in csv file",dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0323_20210921220235_0001,B003C0299_20210921220236_0001,Ritteriella amboinensis,Bipinnate,21,darkfield,1-5S,Yes,15-18s,No,20s,,120,Lengths of colony and zooids; speeds in txt file & spreadsheet',dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0326_20210921220800_0001,B003C0302_20210921220801_0001,Cyclosalpa sewelli,Cluster,2,darkfield,8-12s,Yes,No,No,,,120,Speeds uploaded to Drive; zooid length & width,dye. 2 zooids,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0330_20210921221301_0001,B003C0306_20210921221301_0001,Cyclosalpa bakeri,Whorl,11,darkfield,"1-6s, particle to left of animal",Yes,No,No, 6s,,120,Speeds uploaded to Drive; zooid length & width,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0331_20210921221849_0001,B003C0307_20210921221850_0001,Ritteriella amboinensis,Bipinnate,19,darkfield,,Yes,25s,1min 45s,25s,,120,Speeds uploaded to Drive,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0332_20210921222049_0001_2,B003C0308_20210921222050_0001,Ritteriella amboinensis,Bipinnate,19,darkfield,30-34s,Yes,3500-4500,No,No,,120,Speeds uploaded to Drive,"dye, same specimen as A001C0331_20210921221849_0001",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0332_20210921222049_0001_1,B003C0308_20210921222050_0001_b,Ritteriella amboinensis,Bipinnate,19,darkfield,30-34s,Yes,3500-4500,No,No,,120,Speeds uploaded to Drive,"dye, same specimen as A001C0331_20210921221849_0001",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0333_20210921222157_0001,B003C0309_20210921222157_0001,Ritteriella amboinensis,Bipinnate,20,darkfield,,Yes,30s! Good!,No,No,,120,Speeds uploaded to Drive,"dye, same specimen as A001C0331_20210921221849_0001",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0334_20210921222327_0001,B003C0310_20210921222328_0001,Salpa aspera,Linear,8,darkfield,Maybe 6s-12s,Yes,18s, Maybe 6s,2s,,120,Speeds uploaded to Drive; zooid length & width,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0335_20210921222656_0001,B003C0311_20210921222657_0001,Salpa aspera,Linear,8,darkfield,"8-17s, 40s-45s",Yes,"8-10s, 46s", maybe around 18s,13s,,120,Speeds uploaded to Drive,dye. lots of good jet frames. 2 specimen video (2nd at 8-12s--maybe a ctenophore?),
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0336_20210921222915_0001,B003C0312_20210921222916_0001,Iasis cylindrica,Linear,17,darkfield,20s-26s ,Yes,12s,No,19s,,120,"Speeds uploaded to Drive; zooid length & width, Jet done","dye, linear axis; given to Anneliese",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0339_20210921223812_0001,B003C0315_20210921223812_0001,Iasis cylindrica,Linear,12,darkfield,9-11s,Yes,6s,7s,9s,,120,"Speeds uploaded to Drive; zooid length & width, CSA Done moved to completed, Jet done","dye, linear axis; given to Anneliese",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\21Sept2021\Field\z_stereo\master,Yes,A001C0341_20210921224426_0001,B003C0317_20210921224427_0001,Pegea sp.,Transversal,20,darkfield,"1-11s, particle to the left, looks like white string",Yes,16s,No,"4s, 30s",,120,Speeds taken & uploaded; measurements NOT done,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0344_20210922220308_0001,B003C0320_20210922220309_0001,Cyclosalpa polae,Cluster,7,darkfield,frame 2250-end,Yes,No,1-3s,No,,120,,"dye, 2 specimen",
