Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)
29	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1		Plastic	Intact			9/19/2021	2	60	P1	5.88	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.	
30	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1		Plastic	MgCl2			9/19/2021	2	60	P2	5.89	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.	
31	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	2	0	P1	5.63	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
32	NA	NA	NA	NA	NA		Plastic	MgCl2	NA		9/19/2021	2	0	P2	5.7	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
33	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	2	15	P1	5.79	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
34	NA	NA	NA	NA	NA		Plastic	MgCl2	NA		9/19/2021	2	15	P2	5.8	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
35	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	2	30	P1	5.79	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
36	NA	NA	NA	NA	NA		Plastic	MgCl2	NA		9/19/2021	2	30	P2	5.78	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
37	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	2	45	P1	5.8	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
38	NA	NA	NA	NA	NA		Plastic	MgCl2	NA		9/19/2021	2	45	P2	5.73	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
39	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	2	60	P1	5.8	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
40	NA	NA	NA	NA	NA		Plastic	MgCl2	NA		9/19/2021	2	60	P2	5.73	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	
41	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	0	P1	6.35	NA	Sapphirina included	No temperature measured.	
42	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	0	P2	6.42	NA	Control local seawater	No temperature measured.	
43	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	15	P1	6.34	NA	Sapphirina included	No temperature measured.	
44	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	15	P2	6.48	NA	Control local seawater	No temperature measured.	
45	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	30	P1	6.25	NA	Sapphirina included	No temperature measured.	
46	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	30	P2	6.42	NA	Control local seawater	No temperature measured.	
47	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	45	P1	6.21	NA	Sapphirina included	No temperature measured.	
48	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	45	P2	6.42	NA	Control local seawater	No temperature measured.	
49	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	60	P1	6.18	NA	Sapphirina included	No temperature measured.	
50	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	60	P2	6.42	NA	Control local seawater	No temperature measured.	
51	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	90	P1	6.12	NA	Sapphirina included	No temperature measured.	
52	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	90	P2	6.42	NA	Control local seawater	No temperature measured.	
53	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	120	P1	6.04	NA	Sapphirina included	No temperature measured.	
54	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	120	P2	6.42	NA	Control local seawater	No temperature measured.	
55	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	150	P1	5.98	NA	Sapphirina included	No temperature measured.	
56	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	150	P2	6.42	NA	Control local seawater	No temperature measured.	
57	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	180	P1	5.95	NA	Sapphirina included	No temperature measured.	
58	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	180	P2	6.42	NA	Control local seawater	No temperature measured.	
59	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5		Plastic	Intact	Moderate		9/19/2021	3	259	P1	5.84	NA	Sapphirina included	No temperature measured.	
