Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)	Injection time	Start time
252	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20		Plastic	Intact	Very active	0.0418	9/23/2021	7	180	P2	5.04	29.5	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	208		
253	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28		Plastic	Intact	Very active	0.0314	9/23/2021	7	180	P4	4.21	29.5	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	208		
254	D14-WC-B-4	Iasis (Weelia) cylindrica	Blastozooid	10	34		Plastic	Intact	Very active	0.0314	9/23/2021	7	180	P5	4	29.5	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	208		
255	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/23/2021	7	180	P3 control	6.23	29.5	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	72		
256	D13-CA-B-3	Cyclosalpa affinis	Blastozooid	35	6		Plastic	Intact	Active		9/23/2021	7	246	P1	4.14	29.5	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	208		
257	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20		Plastic	Intact	Very active	0.0418	9/23/2021	7	246	P2	4.71	29.5	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	208		
258	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28		Plastic	Intact	Very active	0.0314	9/23/2021	7	246	P4	3.84	29.5	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	208		
259	D14-WC-B-4	Iasis (Weelia) cylindrica	Blastozooid	10	34		Plastic	Intact	Very active	0.0314	9/23/2021	7	246	P5	3.43	29.5	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	208		
260	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/23/2021	7	246	P3 control	6.11	29.5	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	72		
261	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	0	P1	6.41	25	Pregnant	Temperature measured in surface water	208	NA	17:44
262	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	0	P2	6.39	25	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208	NA	17:44
263	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	0	P4	5.47	25	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208	NA	17:44
264	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	0	P5	6.53	25	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208	NA	17:44
265	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	0	P3 control	6.55	25	Control local seawater	Temperature measured in surface water	72	NA	17:44
266	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	15	P1	6.52	24.7	Pregnant	Temperature measured in surface water	208	NA	17:44
267	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	15	P2	6.49	24.7	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
268	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	15	P4	4.95	24.7	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
269	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	15	P5	6.64	24.7	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
270	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	15	P3 control	6.69	24.7	Control local seawater	Temperature measured in surface water	72		
271	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	30	P1	6.55	24.3	Pregnant	Temperature measured in surface water	208		
272	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	30	P2	6.52	24.3	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
273	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	30	P4	4.3	24.3	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
274	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	30	P5	6.72	24.3	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
275	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	30	P3 control	6.78	24.3	Control local seawater	Temperature measured in surface water	72		
276	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	45	P1	6.57	24.3	Pregnant	Temperature measured in surface water	208		
277	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	45	P2	6.52	24.3	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
278	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	45	P4	3.64	24.3	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
279	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	45	P5	6.73	24.3	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
280	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	45	P3 control	6.77	24.3	Control local seawater	Temperature measured in surface water	72		
281	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	63	P1	6.6	24	Pregnant	Temperature measured in surface water	208		
282	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	63	P2	6.52	24	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
283	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	63	P4	3.07	24	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
284	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	63	P5	6.79	24	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
285	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	63	P3 control	6.82	24	Control local seawater	Temperature measured in surface water	72		
286	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	93	P1	6.64	23.5	Pregnant	Temperature measured in surface water	208		
287	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	93	P2	6.49	23.5	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
288	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	93	P4	2.16	23.5	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
289	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	93	P5	6.84	23.5	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
290	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	93	P3 control	6.82	23.5	Control local seawater	Temperature measured in surface water	72		
291	D15-BR-B-1	Brooksia rostrata	Blastozooid	10	8	0.8	Plastic	Intact	Moderate		4/19/2022	8	123	P1	6.56	23.6	Pregnant	Temperature measured in surface water	208		
292	D15-CPol-B-1	Cyclosalpa sewelli	Blastozooid	15	7	4.4	Plastic	Intact	Moderate		4/19/2022	8	123	P2	6.39	23.6	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	208		
293	D15-CAff-B-1	Cyclosalpa affinis	Blastozooid	50	6	42	Plastic	Intact	Active		4/19/2022	8	123	P4	1.43	23.6	Pregnant, occupies most of the jar space.	Temperature measured in surface water	208		
294	D15-BR-B-2	Brooksia rostrata	Blastozooid	3	14		Plastic	Intact	Moderate		4/19/2022	8	123	P5	6.77	23.6	Broken from a towed chain form an oozoid.	Temperature measured in surface water	208		
295	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/19/2022	8	123	P3 control	6.76	23.6	Control local seawater	Temperature measured in surface water	72		
296	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	0	P4	5.99	25.1	2 whorls		208	NA	17:53
297	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	0	P5	6.37	25.1	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208	NA	17:53
298	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	0	P7	6.33	25.1		In 980 ml jar	980	NA	17:53
299	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	0	P3 control	6.44	25.1	Control local seawater		72	NA	17:53
300	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	15	P4	5.61	24.9	2 whorls		208		
301	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	15	P5	6.47	24.9	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
302	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	15	P7	6.29	24.9		In 980 ml jar	980		
303	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	15	P3 control	6.54	24.9	Control local seawater		72		
304	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	30	P4	5.27	24.8	2 whorls		208		
305	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	30	P5	6.5	24.8	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
306	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	30	P7	6.2	24.8		In 980 ml jar	980		
307	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	30	P3 control	6.57	24.8	Control local seawater		72		
308	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	45	P4	4.94	24.4	2 whorls		208		
309	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	45	P5	6.54	24.4	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
310	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	45	P7	6.17	24.4		In 980 ml jar	980		
311	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	45	P3 control	6.64	24.4	Control local seawater		72		
312	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	60	P4	4.58	24.2	2 whorls		208		
313	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	60	P5	6.53	24.2	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
314	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	60	P7	6.11	24.2		In 980 ml jar	980		
315	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	60	P3 control	6.64	24.2	Control local seawater		72		
316	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	90	P4	3.87	23.8	2 whorls		208		
317	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	90	P5	6.56	23.8	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
318	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	90	P7	6	23.8		In 980 ml jar	980		
319	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	90	P3 control	6.65	23.8	Control local seawater		72		
320	D17-Caff-B-1	Cyclosalpa affinis	Blastozooid	35	11	27.5	Plastic	Intact	Moderate		4/20/2022	9	120	P4	3.32	23.7	2 whorls		208		
321	D17-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	61	0.5	Plastic	Intact	Active		4/20/2022	9	120	P5	6.53	23.7	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		208		
322	D17-Caff-B-2	Cyclosalpa affinis	Blastozooid	40	8	48	Plastic	Intact	Active		4/20/2022	9	120	P7	5.86	23.7		In 980 ml jar	980		
323	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/20/2022	9	120	P3 control	6.61	23.7	Control local seawater		72		
324	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	0	P1	6.05	25	Single blastozooid		208	NA	17:40
325	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	0	P2	6.41	25	Control local seawater		208	NA	17:40
326	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	0	P4	6.44	25	Control local seawater		208	NA	17:40
327	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	0	P5	6.41	25	Pregnant, deep collected		208	NA	17:40
328	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	0	P6	5.99	25	Deep collected	In 980 ml jar	980	NA	17:40
329	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	0	P7	6.22	25		In 980 ml jar	980	NA	17:40
330	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	0	P3 control	6.32	25	Control local seawater		72	NA	17:40
331	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	15	P1	6.02	24.7	Single blastozooid		208		
332	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	15	P2	6.49	24.7	Control local seawater		208		
333	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	15	P4	6.52	24.7	Control local seawater		208		
334	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	15	P5	6.49	24.7	Pregnant, deep collected		208		
335	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	15	P6	5.92	24.7	Deep collected	In 980 ml jar	980		
336	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	15	P7	6.14	24.7		In 980 ml jar	980		
337	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	15	P3 control	6.49	24.7	Control local seawater		72		
338	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	30	P1	5.95	24.4	Single blastozooid		208		
339	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	30	P2	6.57	24.4	Control local seawater		208		
340	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	30	P4	6.57	24.4	Control local seawater		208		
341	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	30	P5	6.52	24.4	Pregnant, deep collected		208		
342	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	30	P6	5.73	24.4	Deep collected	In 980 ml jar	980		
343	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	30	P7	5.94	24.4		In 980 ml jar	980		
344	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	30	P3 control	6.57	24.4	Control local seawater		72		
345	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	45	P1	5.82	24.1	Single blastozooid		208		
346	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	45	P2	6.6	24.1	Control local seawater		208		
347	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	45	P4	6.63	24.1	Control local seawater		208		
348	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	45	P5	6.57	24.1	Pregnant, deep collected		208		
349	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	45	P6	5.57	24.1	Deep collected	In 980 ml jar	980		
350	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	45	P7	5.83	24.1		In 980 ml jar	980		
351	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	45	P3 control	6.63	24.1	Control local seawater		72		
352	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	62	P1	5.7	23.8	Single blastozooid		208		
353	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	62	P2	6.65	23.8	Control local seawater		208		
354	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	62	P4	6.68	23.8	Control local seawater		208		
355	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	62	P5	6.58	23.8	Pregnant, deep collected		208		
356	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	62	P6	5.35	23.8	Deep collected	In 980 ml jar	980		
357	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	62	P7	5.57	23.8		In 980 ml jar	980		
358	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	62	P3 control	6.63	23.8	Control local seawater		72		
359	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	90	P1	5.47	23.8	Single blastozooid		208		
360	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	90	P2	6.74	23.8	Control local seawater		208		
361	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	90	P4	6.78	23.8	Control local seawater		208		
362	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	90	P5	6.61	23.8	Pregnant, deep collected		208		
363	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	90	P6	4.89	23.8	Deep collected	In 980 ml jar	980		
364	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	90	P7	5.24	23.8		In 980 ml jar	980		
365	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	90	P3 control	6.63	23.8	Control local seawater		72		
366	D19-Pso-B-3	Pegea socia	Blastozooid	65	1	18	Plastic	Intact	Moderate		4/21/2022	10	120	P1	5.08	23.8	Single blastozooid		208		
367	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	120	P2	6.5	23.8	Control local seawater		208		
368	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	120	P4	6.52	23.8	Control local seawater		208		
369	D19-Cbak-B-1	Cyclosalpa bakeri	Blastozooid	12	6	3.6	Plastic	Intact	Moderate		4/21/2022	10	120	P5	6.34	23.8	Pregnant, deep collected		208		
370	D19-Pso-B-1	Pegea socia	Blastozooid	80	5	65	Plastic	Intact	Moderate		4/21/2022	10	120	P6	4.43	23.8	Deep collected	In 980 ml jar	980		
371	D19-Pso-B-2	Pegea socia	Blastozooid	65	5	50	Plastic	Intact	Moderate		4/21/2022	10	120	P7	4.9	23.8		In 980 ml jar	980		
372	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/21/2022	10	120	P3 control	6.46	23.8	Control local seawater		72		
373	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	0	P1	6.29	25.3	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208	NA	18:05
374	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	0	P2	6.34	25.3	Colony disintegrated into loose zooids after refresh during safety stop		208	NA	18:05
375	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	0	P4	6.31	25.3			208	NA	18:05
376	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	0	P5	6.35	25.3			208	NA	18:05
377	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	0	P6	6.43	25.3	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980	NA	18:05
378	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	0	P7	6.44	25.3	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980	NA	18:05
379	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	0	P3 control	6.38	25.3	Control local seawater		72		
380	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	15	P1	6.3	25.1	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
381	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	15	P2	6.35	25.1	Colony disintegrated into loose zooids after refresh during safety stop		208		
382	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	15	P4	6.3	25.1			208		
383	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	15	P5	6.36	25.1			208		
384	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	15	P6	6.44	25.1	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
385	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	15	P7	6.44	25.1	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
386	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	15	P3 control	6.44	25.1	Control local seawater		72		
387	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	30	P1	6.3	24.8	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
388	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	30	P2	6.4	24.8	Colony disintegrated into loose zooids after refresh during safety stop		208		
389	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	30	P4	6.3	24.8			208		
390	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	30	P5	6.4	24.8			208		
391	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	30	P6	6.43	24.8	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
392	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	30	P7	6.5	24.8	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
393	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	30	P3 control	6.48	24.8	Control local seawater		72		
394	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	45	P1	6.31	24.6	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
395	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	45	P2	6.42	24.6	Colony disintegrated into loose zooids after refresh during safety stop		208		
396	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	45	P4	6.29	24.6			208		
397	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	45	P5	6.42	24.6			208		
398	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	45	P6	6.43	24.6	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
399	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	45	P7	6.49	24.6	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
400	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	45	P3 control	6.51	24.6	Control local seawater		72		
401	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	60	P1	6.38	24.2	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
402	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	60	P2	6.5	24.2	Colony disintegrated into loose zooids after refresh during safety stop		208		
403	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	60	P4	6.35	24.2			208		
