"","Filename","Species","Architecture","Speed_mm_s","Zooid.number","Speed_mms_abs","Zooid_length_mm","Pulses_per_second","BLperSecond","BLperPulse"
"88","CPOaggDye53_30","Cyclosalpa polae","Cluster",12.0684302808239,NA,12.0684302808239,8.967,NA,1.34587156025693,NA
"89","CsewAgg24_29","Cyclosalpa sewelli","Cluster",17.5130981530119,3,17.5130981530119,NA,1.2,NA,NA
"90","CsewAggDye19_50","Cyclosalpa sewelli","Cluster",23.1224907570425,11,23.1224907570425,NA,0.92,NA,NA
"91","CsewAggDye24_25","Cyclosalpa sewelli","Cluster",7.38418217161918,3,7.38418217161918,NA,1,NA,NA
"92","CsewAggs8_51","Cyclosalpa sewelli","Cluster",7.13741643496649,7,7.13741643496649,NA,1.21,NA,NA
"93","GX010177_Helicosalpa_1","Helicosalpa virgula","Helical",50.8313568618382,60,50.8313568618382,11.5,3.33,4.42011798798593,1.32736275915493
"94","pco agg 24_37","Pegea confoederata","Transversal",5.1420343461703,2,5.1420343461703,NA,0.7,NA,NA
"95","PCO aggs dye","Pegea confoederata","Transversal",15.2213582132183,4,15.2213582132183,NA,1.33,NA,NA
"96","Ritteriella amboinensis Aggs26_40","Ritteriella amboinensis","Bipinnate",21.3968338754176,15,21.3968338754176,NA,1,NA,NA
"97","SLCaggs25_25","Iasis cylindrica","Linear",33.3001143504657,20,33.3001143504657,NA,2,NA,NA
"98","SLCaggsDye25_11","Iasis cylindrica","Linear",33.633997697839,20,33.633997697839,NA,1,NA,NA
"99","SLCaggsDye25_19","Iasis cylindrica","Linear",34.8168362891413,30,34.8168362891413,NA,2.6,NA,NA
"100","SLCaggsDye3_55(good)","Iasis cylindrica","Linear",45.6653915021683,42,45.6653915021683,NA,2.29,NA,NA
"101","SLCaggsDye4_07","Iasis cylindrica","Linear",58.0101807722455,70,58.0101807722455,NA,3,NA,NA
