Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Container	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes
45	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	30	P1	6.25	NA	Sapphirina included	No temperature measured.
46	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	30	P2	6.42	NA	Control local seawater	No temperature measured.
47	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	45	P1	6.21	NA	Sapphirina included	No temperature measured.
48	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	45	P2	6.42	NA	Control local seawater	No temperature measured.
49	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	60	P1	6.18	NA	Sapphirina included	No temperature measured.
50	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	60	P2	6.42	NA	Control local seawater	No temperature measured.
51	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	90	P1	6.12	NA	Sapphirina included	No temperature measured.
52	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	90	P2	6.42	NA	Control local seawater	No temperature measured.
53	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	120	P1	6.04	NA	Sapphirina included	No temperature measured.
54	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	120	P2	6.42	NA	Control local seawater	No temperature measured.
55	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	150	P1	5.98	NA	Sapphirina included	No temperature measured.
56	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	150	P2	6.42	NA	Control local seawater	No temperature measured.
57	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	180	P1	5.95	NA	Sapphirina included	No temperature measured.
58	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	180	P2	6.42	NA	Control local seawater	No temperature measured.
59	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	259	P1	5.84	NA	Sapphirina included	No temperature measured.
60	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	259	P2	6.44	NA	Control local seawater	No temperature measured.
61	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	0	P1	6.63	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
62	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	0	P2	6.27	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
63	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	0	P4	6.63	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
64	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	0	P5	6.63	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
65	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	0	P3 control	6.71	NA	Control local seawater	"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
66	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	15	P1	6.5	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
67	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	15	P2	5.81	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
68	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	15	P4	6.49	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
69	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	15	P5	6.53	NA		"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
70	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	15	P3 control	6.66	NA	Control local seawater	"No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes"
71	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	30	P1	6.5	NA		No temperature measured.
72	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	30	P2	5.58	NA		No temperature measured.
73	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	30	P4	6.48	NA		No temperature measured.
74	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	30	P5	6.53	NA		No temperature measured.
75	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	30	P3 control	6.66	NA	Control local seawater	No temperature measured.
76	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	45	P1	6.48	NA		No temperature measured.
77	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	45	P2	5.36	NA		No temperature measured.
78	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	45	P4	6.46	NA		No temperature measured.
79	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	45	P5	6.51	NA		No temperature measured.
80	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	45	P3 control	6.66	NA	Control local seawater	No temperature measured.
81	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	60	P1	6.45	NA		No temperature measured.
82	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	60	P2	5.12	NA		No temperature measured.
83	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	60	P4	6.38	NA		No temperature measured.
84	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	60	P5	6.46	NA		No temperature measured.
85	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	60	P3 control	6.61	NA	Control local seawater	No temperature measured.
86	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	90	P1	6.36	NA		No temperature measured.
87	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	90	P2	4.66	NA		No temperature measured.
88	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	90	P4	6.36	NA		No temperature measured.
89	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	90	P5	6.44	NA		No temperature measured.
90	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	90	P3 control	6.57	NA	Control local seawater	No temperature measured.
91	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	120	P1	6.3	NA		No temperature measured.
92	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	120	P2	4.31	NA		No temperature measured.
93	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	120	P4	6.3	NA		No temperature measured.
94	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	120	P5	6.38	NA		No temperature measured.
95	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	120	P3 control	6.53	NA	Control local seawater	No temperature measured.
96	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	150	P1	6.28	NA		No temperature measured.
97	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	150	P2	4	NA		No temperature measured.
98	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	150	P4	6.23	NA		No temperature measured.
99	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	150	P5	6.33	NA		No temperature measured.
100	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	150	P3 control	6.52	NA	Control local seawater	No temperature measured.
101	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	180	P1	6.27	NA		No temperature measured.
102	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	180	P2	3.79	NA		No temperature measured.
103	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	180	P4	6.22	NA		No temperature measured.
104	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	180	P5	6.33	NA		No temperature measured.
105	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	180	P3 control	6.52	NA	Control local seawater	No temperature measured.
106	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28	Plastic	Intact	Very active		09/20	4	300	P1	5.99	NA		No temperature measured.
107	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4	Plastic	Intact	Moderate		09/20	4	300	P2	2.61	NA		No temperature measured.
108	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24	Plastic	Intact	Very active		09/20	4	300	P4	5.86	NA		No temperature measured.
109	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19	Plastic	Intact	Very active		09/20	4	300	P5	6.01	NA		No temperature measured.
110	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/20	4	300	P3 control	6.31	NA	Control local seawater	No temperature measured.
111	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	0	P1	6.41	26.6	1 zooid popped off. Pregnant with large embryos.	
112	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	0	P2	6.32	26.6	Pregnant with small embryos	
113	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	0	P4	6.42	26.6		
114	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	0	P5	6.48	26.6	Pregnant with big embryos	
115	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	0	P3 control	6.54	26.6	Control local seawater	
116	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	15	P1	6.47	26.2	1 zooid popped off. Pregnant with large embryos.	
117	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	15	P2	6.36	26.2	Pregnant with small embryos	
118	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	15	P4	6.51	26.2		
119	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	15	P5	6.57	26.2	Pregnant with big embryos	
120	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	15	P3 control	6.62	26.2	Control local seawater	
121	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	30	P1	6.44	26.2	1 zooid popped off. Pregnant with large embryos.	
122	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	30	P2	6.32	26.2	Pregnant with small embryos	
123	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	30	P4	6.51	26.2		
124	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	30	P5	6.57	26.2	Pregnant with big embryos	
125	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	30	P3 control	6.62	26.2	Control local seawater	
126	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	45	P1	6.39	26.2	1 zooid popped off. Pregnant with large embryos.	
127	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	45	P2	6.29	26.2	Pregnant with small embryos	
128	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	45	P4	6.5	26.2		
129	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	45	P5	6.56	26.2	Pregnant with big embryos	
130	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	45	P3 control	6.6	26.2	Control local seawater	
131	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	60	P1	6.33	26.2	1 zooid popped off. Pregnant with large embryos.	
132	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	60	P2	6.2	26.2	Pregnant with small embryos	
133	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	60	P4	6.49	26.2		
134	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	60	P5	6.55	26.2	Pregnant with big embryos	
135	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	60	P3 control	6.58	26.2	Control local seawater	
136	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	90	P1	6.33	25.7	1 zooid popped off. Pregnant with large embryos.	
137	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	90	P2	6.18	25.7	Pregnant with small embryos	
138	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	90	P4	6.53	25.7		
139	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	90	P5	6.59	25.7	Pregnant with big embryos	
140	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	90	P3 control	6.63	25.7	Control local seawater	
141	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	120	P1	6.26	25.7	1 zooid popped off. Pregnant with large embryos.	
142	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	120	P2	6.09	25.7	Pregnant with small embryos	
143	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	120	P4	6.47	25.7		
144	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	120	P5	6.54	25.7	Pregnant with big embryos	
145	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	120	P3 control	6.63	25.7	Control local seawater	
146	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	150	P1	6.16	25.6	1 zooid popped off. Pregnant with large embryos.	
147	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	150	P2	5.98	25.6	Pregnant with small embryos	
148	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	150	P4	6.45	25.6		
149	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	150	P5	6.52	25.6	Pregnant with big embryos	
150	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	150	P3 control	6.61	25.6	Control local seawater	
151	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	180	P1	5.81	27.1	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air
152	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	180	P2	5.62	27.1	Pregnant with small embryos	Temperature measured in air
153	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	180	P4	6.1	27.1		Temperature measured in air
154	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	180	P5	6.18	27.1	Pregnant with big embryos	Temperature measured in air
155	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	180	P3 control	6.28	27.1	Control local seawater	Temperature measured in air
156	D9-CP-B-1	Cyclosalpa polae	Blastozooid	25	4	Plastic	Intact	Moderate		09/21	5	360	P1	5.53	27.2	1 zooid popped off. Pregnant with large embryos.	Temperature measured in air
157	D9-CP-B-2	Cyclosalpa polae	Blastozooid	25	6	Plastic	Intact	Moderate		09/21	5	360	P2	5.24	27.2	Pregnant with small embryos	Temperature measured in air
158	D9-CP-B-3	Cyclosalpa polae	Blastozooid	20	2	Plastic	Intact	Moderate		09/21	5	360	P4	6.07	27.2		Temperature measured in air
159	D9-CP-B-4	Cyclosalpa polae	Blastozooid	25	1	Plastic	Intact	Moderate		09/21	5	360	P5	6.17	27.2	Pregnant with big embryos	Temperature measured in air
160	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/21	5	360	P3 control	6.32	27.2	Control local seawater	Temperature measured in air
161	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	0	P1	6.34	26.6	Broken zooids on one side	
162	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	0	P2	5.73	26.6	"Gunky surface, pooping a lot"	
163	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	0	P4	6.27	26.6	"Yellow cloudy hue, lost by the end of incubation"	
164	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	0	P5	6.3	26.6	Gradation from 5-10mm length zooids	
165	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	0	P3 control	6.41	26.6	Control local seawater	
166	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	15	P1	6.42	26.2	Broken zooids on one side	
167	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	15	P2	5.49	26.2	"Gunky surface, pooping a lot"	
168	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	15	P4	6.25	26.2	"Yellow cloudy hue, lost by the end of incubation"	
169	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	15	P5	6.34	26.2	Gradation from 5-10mm length zooids	
170	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	15	P3 control	6.47	26.2	Control local seawater	
171	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	30	P1	6.41	26.1	Broken zooids on one side	
172	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	30	P2	5.22	26.1	"Gunky surface, pooping a lot"	
173	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	30	P4	6.17	26.1	"Yellow cloudy hue, lost by the end of incubation"	
