Filename	File.type	Source	Authorship	Species	Specimen_type	Specimen	Architecture	Trait	State	Notes
Thetys vagina - Salp Chain / Carmel River - 9/14/14 00:24	WEB	https://vimeo.com/106143426	Patrick Anders Webster	Thetys vagina	UWvideo	16	Oblique	DV_Zooid.stolon.angle	43.27	
Thetys vagina - Salp Chain / Carmel River - 9/14/14 00:24	WEB	https://vimeo.com/106143426	Patrick Anders Webster	Thetys vagina	UWvideo	16	Oblique	DV_Zooid.stolon.angle	40.96	
Thetys vagina - Salp Chain / Carmel River - 9/14/14 00:24	WEB	https://vimeo.com/106143426	Patrick Anders Webster	Thetys vagina	UWvideo	16	Oblique	DV_Zooid.stolon.angle	37.23	
Shale_Thalia_democratica_1	JPG	https://www.naturepl.com/stock-photo--thalia-democratica-salp-chain-deep-sea-atlantic-image01126842.html	David Shale	Thalia democratica	UWphoto	3	Oblique	DV_Zooid.stolon.angle	64.25	
Shale_Thalia_democratica_1	JPG	https://www.naturepl.com/stock-photo--thalia-democratica-salp-chain-deep-sea-atlantic-image01126842.html	David Shale	Thalia democratica	UWphoto	3	Oblique	DV_Zooid.stolon.angle	63.93	
Shale_Thalia_democratica_1	JPG	https://www.naturepl.com/stock-photo--thalia-democratica-salp-chain-deep-sea-atlantic-image01126842.html	David Shale	Thalia democratica	UWphoto	3	Oblique	DV_Zooid.stolon.angle	56.16	
https://scontent.fhio3-1.fna.fbcdn.net/v/t1.6435-9/97992579_2458196494426958_3526566602721984512_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=axtnPRePZpoAX9flyaX&_nc_ht=scontent.fhio3-1.fna&oh=00_AfDleilkU4rH0gAz1rw9hmNopKKBt-K3ny7iOWimVWtqKw&oe=64987DC8	JPG	https://www.facebook.com/blackwaterdive/posts/seacam1970-aggregate-zooid-of-pegea-bicaudata-its-common-species-off-shore-of-ki/2457547687825172/	Ryu Minemizu	Pegea bicaudata	UWphoto	17	Transversal	DV_Zooid.stolon.angle	88.64	
https://scontent.fhio3-1.fna.fbcdn.net/v/t1.6435-9/97992579_2458196494426958_3526566602721984512_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=axtnPRePZpoAX9flyaX&_nc_ht=scontent.fhio3-1.fna&oh=00_AfDleilkU4rH0gAz1rw9hmNopKKBt-K3ny7iOWimVWtqKw&oe=64987DC8	JPG	https://www.facebook.com/blackwaterdive/posts/seacam1970-aggregate-zooid-of-pegea-bicaudata-its-common-species-off-shore-of-ki/2457547687825172/	Ryu Minemizu	Pegea bicaudata	UWphoto	17	Transversal	DV_Zooid.stolon.angle	87.50	
https://scontent.fhio3-1.fna.fbcdn.net/v/t1.6435-9/97992579_2458196494426958_3526566602721984512_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=axtnPRePZpoAX9flyaX&_nc_ht=scontent.fhio3-1.fna&oh=00_AfDleilkU4rH0gAz1rw9hmNopKKBt-K3ny7iOWimVWtqKw&oe=64987DC8	JPG	https://www.facebook.com/blackwaterdive/posts/seacam1970-aggregate-zooid-of-pegea-bicaudata-its-common-species-off-shore-of-ki/2457547687825172/	Ryu Minemizu	Pegea bicaudata	UWphoto	17	Transversal	DV_Zooid.stolon.angle	89.43	
DSC_0482.jpg	JPG	SSW22-NH5-MOC4-Net3-Pegea socia	Kevin DuClos	Pegea socia	FreshSpecimen	SSW22-NH5-MOC4-Net3	Transversal	DV_Zooid.stolon.angle	87.90	
DSC_0482.jpg	JPG	SSW22-NH5-MOC4-Net3-Pegea socia	Kevin DuClos	Pegea socia	FreshSpecimen	SSW22-NH5-MOC4-Net3	Transversal	DV_Zooid.stolon.angle	89.22	
DSC_0482.jpg	JPG	SSW22-NH5-MOC4-Net3-Pegea socia	Kevin DuClos	Pegea socia	FreshSpecimen	SSW22-NH5-MOC4-Net3	Transversal	DV_Zooid.stolon.angle	87.5	
