Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D37-Pcon-B-1	Pegea sp.	22	9/13/2022	Anesthetized	60	12	80	980	Symbiotic fish and amphipods	No	180	0.299999999999997	Anesthetized	-0.00920101092450675	3.26067410495882e-05	-0.00923361766555634	-115.012636556334	-115.420220819454
D37-Rsp-B-1	Ritteriella sp.	22	9/13/2022	Anesthetized	57	8	63	980	Amphipods, poop	No	180	0.299999999999997	Anesthetized	-0.00456318278167292	3.26067410495882e-05	-0.00459578952272251	-72.431472724967	-72.9490400432144
D37-Smax-B-1	Salpa maxima	22	9/13/2022	Anesthetized	70	1	7	208		No	180	0.299999999999997	Anesthetized	0.000991719736321071	3.26067410495882e-05	0.000959112995271483	141.674248045867	137.01614218164
D37-Szon-B-1	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D37-Szon-B-2	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D37-Szon-B-3	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D37-Szon-B-4	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D37-Szon-B-5	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D37-Szon-B-6	Soestia zonaria	22	9/13/2022	Active	21	9	5.4	208	Kind of stuck by length and rigidity, 1 zooid popped off	No	0	0	Intact	NA	NA	NA	NA	NA
D39-Bros-B-2	Brooksia rostrata	23	9/14/2022	Anesthetized	4	12	0.2	208	Dropped 2 zooids	No	240	0.800000000000001	Anesthetized	0.000201024579710992	8.97251998513412e-05	0.000111299379859651	1005.12289855496	556.496899298255
D39-Cbak-B-1	Cyclosalpa bakeri	23	9/14/2022	Anesthetized	9	4	0.2	208	Colony fell apart to single zooids	No	240	0.800000000000001	Anesthetized	0.000193764200922558	8.97251998513412e-05	0.000104039001071217	968.821004612792	520.195005356086
D39-Csew-B-1	Cyclosalpa sewelli	23	9/14/2022	Anesthetized	9	15	1.3	208		No	240	0.800000000000001	Anesthetized	0.000130755026343214	8.97251998513412e-05	4.10298264918725e-05	100.58078949478	31.5614049937481
D39-Mhex-B-1	Metcalfina hexagona	23	9/14/2022	Anesthetized	28	16	22	980	Poop	No	240	0.800000000000001	Anesthetized	-0.001035439089975	0.00076709904027633	-0.00180253813025133	-47.065413180682	-81.9335513750607
D39-Sfus-B-1	Salpa fusiformis	23	9/14/2022	Anesthetized	13	16	1	208	Bycatch shrimp <1cm	No	240	0.800000000000001	Anesthetized	0.000111990206009021	8.97251998513412e-05	2.22650061576793e-05	111.990206009021	22.2650061576793
D4-Csew-B-1	Cyclosalpa sewelli	2	9/19/2021	Low	20	1	10.5437188445854	208	Different blatozooids from same colony	No	60	NA	Intact	-1.38666666666637e-05	0.000485333333333331	-0.000499199999999995	-1.31515899381031	-47.3457237771807
D41-Bros-B-1	Brooksia rostrata	24	9/15/2022	Anesthetized	11	37	11.5376865074556	208	Colony volume not recorded	No	270	0.5	Anesthetized	-0.000109838274252551	1.53500693831269e-06	-0.000111373281190864	-9.51995655121798	-9.65299942227543
D41-Cqua-B-1	Cyclosalpa quadriluminis	24	9/15/2022	Moderate	17	11	5.5	208	Two zooids broke off	No	270	0.5	Intact	-0.00109764803834994	1.53500693831269e-06	-0.00109918304528826	-199.572370609081	-199.851462779683
D41-Icyl-B-1	Iasis (Weelia) cylindrica	24	9/15/2022	Active	10	10	1.5	208		Yes	105	0.199999999999999	Intact	-0.000550918918918923	4.28108108108091e-05	-0.000593729729729732	-367.279279279282	-395.819819819821
D41-Icyl-B-1	Iasis (Weelia) cylindrica	24	9/15/2022	Active	10	10	1.5	208		Yes	115	0.199999999999999	Anesthetized	-0.000299030976965846	-1.29245432883242e-05	-0.000286106433677522	-199.353984643897	-190.737622451681
D41-Smax-B-1	Salpa maxima	24	9/15/2022	Anesthetized	65	3	17	980	Tiny bubble, amphipods	No	270	0.5	Anesthetized	-0.00263822379210293	1.53500693831269e-06	-0.00263975879904124	-155.189634829584	-155.279929355367
D41-Smax-B-2	Salpa maxima	24	9/15/2022	Moderate	110	1	20	980	Tiny bubble	No	270	0.5	Intact	-0.00567465371515074	1.53500693831269e-06	-0.00567618872208905	-283.732685757537	-283.809436104453
D42-Cqua-B-1	Cyclosalpa quadriluminis	25	9/16/2022	Anesthetized	28	5	28	208	Disagregated zooids	No	424	1	Anesthetized	-0.0011056529204187	-5.09626000665529e-05	-0.00105469032035215	-39.4876043006679	-37.6675114411482
D42-Tlon-B-1	Thalia sp.	25	9/16/2022	Low	9	7	0.8	208		No	424	1	Intact	-4.73872681562203e-05	-5.09626000665529e-05	3.57533191033261e-06	-59.2340851952754	4.46916488791576
D43-Hvir-B-1	Helicosalpa virgula	26	9/16/2022	Moderate	12	68	13	980		No	312	0.5	Intact	-0.00327911769315154	-4.13258110014105e-05	-0.00323779188215013	-252.239822550119	-249.060914011549
D44-Cbak-B-1	Cyclosalpa bakeri	27	05/06/2023	Moderate	20	9	7	208		Yes	264	2.3	Intact	-0.000634820666643779	-4.31671041666024e-05	-0.000591653562477176	-90.688666663397	-84.5219374967395
D44-Cbak-B-1	Cyclosalpa bakeri	27	05/06/2023	Moderate	20	9	7	208		Yes	155	0.699999999999999	Anesthetized	-4.05723878807258e-05	6.92557358701724e-05	-0.000109828123750898	-5.79605541153226	-15.689731964414
D44-Cbak-B-2	Cyclosalpa bakeri	27	05/06/2023	Moderate	17	11	5.1	208	Two colonies	Yes	264	2.3	Intact	-0.000582142386720813	-4.31671041666024e-05	-0.00053897528255421	-114.145566023689	-105.681427951806
D44-Cbak-B-2	Cyclosalpa bakeri	27	05/06/2023	Moderate	17	11	5.1	208	Two colonies	Yes	155	0.699999999999999	Anesthetized	-4.19026301063244e-05	6.92557358701724e-05	-0.000111158365976497	-8.21620198163223	-21.7957580346072
D44-Cbak-B-3	Cyclosalpa bakeri	27	05/06/2023	Moderate	22	5	2	208		Yes	264	2.3	Intact	-0.000474318764221349	-4.31671041666024e-05	-0.000431151660054747	-237.159382110675	-215.575830027374
D44-Cbak-B-3	Cyclosalpa bakeri	27	05/06/2023	Moderate	22	5	2	208		Yes	155	0.699999999999999	Anesthetized	-2.93484691022442e-05	6.92557358701724e-05	-9.86042049724167e-05	-14.6742345511221	-49.3021024862083
D44-Cpol-B-1	Cyclosalpa polae	27	05/06/2023	Anesthetized	23	7	9	980	Injection killed one of the zooids	No	352	2.3	Anesthetized	-0.000375229997594195	-3.21337016137125e-05	-0.000343096295980483	-41.6922219549106	-38.1218106644981
D45-Cqua-B-1	Cyclosalpa quadriluminis	27	05/06/2023	Active	35	6	15	490	Used for fluorescein, one zooid broke off	No	228	1.4	Intact	-0.00495027105076502	-0.000287899483230315	-0.0046623715675347	-330.018070051001	-310.82477116898
D45-Smax-B-1	Salpa maxima	27	05/06/2023	Anesthetized	47	9	18	980	Broken up, Vibilia amphipod x1	No	228	1.4	Anesthetized	-0.00211759043469449	-0.000287899483230315	-0.00182969095146418	-117.643913038583	-101.649497303565
D46-Psp-B-1	Pegea sp.	28	05/07/2023	Moderate	12	87	4.9	490		Yes	243	1.3	Intact	-0.0017004083165157	0.000147584127282111	-0.00184799244379781	-347.022105411368	-377.141315060778
D46-Psp-B-1	Pegea sp.	28	05/07/2023	Moderate	12	87	4.9	490		Yes	74	0.400000000000002	Anesthetized	-0.000732170356111656	0.000172136669874869	-0.000904307025986525	-149.42252165544	-184.552454282964
D46-Tlon-B-1	Thalia sp.	28	05/07/2023	Low	5	20	0.3	208	Two colonies, zooids disaggregated	Yes	243	1.3	Intact	-0.000113959731543624	0.000147584127282111	-0.000261543858825735	-379.865771812081	-871.812862752451
D46-Tlon-B-1	Thalia sp.	28	05/07/2023	Low	5	20	0.3	208	Two colonies, zooids disaggregated	Yes	74	0.400000000000002	Anesthetized	-5.45980743487153e-18	0.000172136669874869	-0.000172136669874874	-1.81993581162384e-11	-573.788899582914
D46-Tlon-B-2	Thalia sp.	28	05/07/2023	Low	4	20	0.2	208	Zooids disaggregated	Yes	243	1.3	Intact	-3.57535082367305e-05	0.000147584127282111	-0.000183337635518841	-178.767541183652	-916.688177594207
D46-Tlon-B-2	Thalia sp.	28	05/07/2023	Low	4	20	0.2	208	Zooids disaggregated	Yes	74	0.400000000000002	Anesthetized	-7.80750721847981e-05	0.000172136669874869	-0.000250211742059667	-390.37536092399	-1251.05871029833
D47-Rret-B-1	Ritteriella retracta	28	05/07/2023	Moderate	31	2	1.2	208		Yes	133	0.600000000000001	Intact	-0.000947895227771193	-0.00133558877656491	0.000387693548793713	-789.912689809328	323.077957328094
D47-Rret-B-1	Ritteriella retracta	28	05/07/2023	Moderate	31	2	1.2	208		Yes	115	0.400000000000002	Anesthetized	-0.000115126436781607	-0.000509496021220138	0.000394369584438531	-95.938697318006	328.641320365443
D47-Szon-B-1	Soestia zonaria	28	05/07/2023	Active	24	10	4	490	Used for fluorescein	Yes	133	0.600000000000001	Intact	-0.00277889429500593	-0.00133558877656491	-0.00144330551844102	-694.723573751482	-360.826379610256
D47-Szon-B-1	Soestia zonaria	28	05/07/2023	Active	24	10	4	490	Used for fluorescein	Yes	115	0.400000000000002	Anesthetized	-0.000407250221043321	-0.000509496021220138	0.000102245800176817	-101.81255526083	25.5614500442043
D48-Cpol-B-1	Cyclosalpa polae	29	05/08/2023	Moderate	21	1	1	208	No peduncle	Yes	147	2.1	Intact	-9.55525266293081e-05	0.000566954414660008	-0.000662506941289316	-95.5525266293081	-662.506941289316
D48-Cpol-B-1	Cyclosalpa polae	29	05/08/2023	Moderate	21	1	1	208	No peduncle	Yes	103	0.599999999999998	Anesthetized	0.000263601647323096	0.000665930363159852	-0.000402328715836756	263.601647323096	-402.328715836756
D48-Ipun-B-1	Ihlea punctata	29	05/08/2023	Moderate	12	68	3.7	980	Some zooids broke off	Yes	147	2.1	Intact	-0.00520846080064616	0.000566954414660008	-0.00577541521530617	-1407.69210828275	-1560.92303116383
D48-Ipun-B-1	Ihlea punctata	29	05/08/2023	Moderate	12	68	3.7	980	Some zooids broke off	Yes	103	0.599999999999998	Anesthetized	0.000350393111194283	0.000665930363159852	-0.000315537251965569	94.7008408633196	-85.2803383690728
D48-Tlon-B-1	Thalia sp.	29	05/08/2023	Low	5	19	0.3	208		Yes	147	2.1	Intact	6.85668130647694e-05	0.000566954414660008	-0.000498387601595238	228.556043549231	-1661.29200531746
D48-Tlon-B-1	Thalia sp.	29	05/08/2023	Low	5	19	0.3	208		Yes	103	0.599999999999998	Anesthetized	0.000364837139648064	0.000665930363159852	-0.000301093223511788	1216.12379882688	-1003.64407837263
