"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0211_20210710142218_0001",40,0.0056,41.649,-3.915,-396.973,"0",35.432,10.504,-388.607,-0.1283,6.217,-14.419,-8.36599999999999,36.258,-45.119,108.337,122.830258055579,-95.7367560838492,"Cyclosalpa bakeri","Whorl",6,"",95.7367560838492,15.9561260139749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0358_20210922222944_0001",40,0.0056,38.595,-47.864,-700.255,"0",37.539,-35.434,-468.309,-0.8657,1.056,-12.43,-231.946,79.984,-112.398,-104.476,173.049083314532,-19.9894978993338,"Cyclosalpa sewelli","Cluster",10,"Unable to measure zooid length & width",19.9894978993338,1.99894978993338,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",40,0.0111,18.392,-1.11,-369.982,"0",57.572,15.186,-538.622,0.0055,-39.18,-16.296,168.64,-49.236,1.527,397.048,400.092026575137,7274.4004831843,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",7274.4004831843,427.905910775547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",45,0.0063,28.647,48.393,-434.502,"0",9.142,39.088,-544.497,-0.0048,19.505,9.305,109.995,-26.708,24.273,-68.584,77.5000699935168,-1614.5847915316,"Iasis cylindrica","Linear",44,"Weelia agg- nice sequence (3 separate chains)",1614.5847915316,36.6951088984454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",45,0.0063,28.647,48.393,-434.502,"0",9.142,39.088,-544.497,-0.0048,19.505,9.305,109.995,-26.708,24.273,-68.584,77.5000699935168,-1614.5847915316,"Iasis cylindrica","Linear",9,"Weelia agg- nice sequence (3 separate chains)",1614.5847915316,179.398310170178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",45,0.0063,28.647,48.393,-434.502,"0",9.142,39.088,-544.497,-0.0048,19.505,9.305,109.995,-26.708,24.273,-68.584,77.5000699935168,-1614.5847915316,"Iasis cylindrica","Linear",134,"Weelia agg- nice sequence (3 separate chains)",1614.5847915316,12.0491402353104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0122_20210709171630_0001",50,0.007,-151.629,11.442,-1902.892,"0",-139.303,8.492,-889.168,7e-04,-12.326,2.95,-1013.724,19.698,-52.676,-933.179,934.872086555696,133553.155222242,"Iasis cylindrica","Linear",9,"weelia agg",133553.155222242,14839.239469138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",50,0.0139,18.76,0.396,-364.078,"0",56.93,13.5,-530.456,0.0069,-38.17,-13.104,166.378,-83.227,-47.689,228.168,247.5108290035,3587.11346381885,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",3587.11346381885,211.006674342285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0114_20210709170545_0001",60,0.0083,-14.869,1.876,-279.531,"0",97.857,5.52,-337.919,-0.0056,-112.726,-3.644,58.388,-127.645,-64.995,-25.3430000000001,145.464303865244,-2597.5768547365,"Brooksia rostrata","Bipinnate",33,"",2597.5768547365,78.7144501435303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",60,0.1367,11.276,-36.52,-490.514,"0",79.463,23.915,-413.971,0.1284,-68.187,-60.435,-76.543,112.578,-69.432,281.044,310.612843655893,241.910314373748,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",241.910314373748,17.2793081695534,NA,NA,NA,NA,NA,NA,NA,NA,NA
