Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
132	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	15	P3 control	NA	NA	6.62	26.2	72	Control local seawater		NA	NA
133	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	30	P3 control	NA	NA	6.62	26.2	72	Control local seawater		NA	NA
134	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	45	P3 control	NA	NA	6.6	26.2	72	Control local seawater		NA	NA
135	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	60	P3 control	NA	NA	6.58	26.2	72	Control local seawater		NA	NA
136	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	90	P3 control	NA	NA	6.63	25.7	72	Control local seawater		NA	NA
137	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	120	P3 control	NA	NA	6.63	25.7	72	Control local seawater		NA	NA
138	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	150	P3 control	NA	NA	6.61	25.6	72	Control local seawater		NA	NA
139	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	180	P3 control	NA	NA	6.28	27.1	72	Control local seawater	Temperature measured in air	NA	NA
140	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/21/2021	5	360	P3 control	NA	NA	6.32	27.2	72	Control local seawater	Temperature measured in air	NA	NA
141	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	0	P4	NA	NA	6.42	26.6	208			NA	131
142	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	15	P4	NA	NA	6.51	26.2	208			NA	132
143	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	30	P4	NA	NA	6.51	26.2	208			NA	133
144	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	45	P4	NA	NA	6.5	26.2	208			NA	134
145	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	60	P4	NA	NA	6.49	26.2	208			NA	135
146	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	90	P4	NA	NA	6.53	25.7	208			NA	136
147	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	120	P4	NA	NA	6.47	25.7	208			NA	137
148	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	150	P4	NA	NA	6.45	25.6	208			NA	138
149	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	180	P4	NA	NA	6.1	27.1	208		Temperature measured in air	NA	139
150	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-3	Blastozooid	Moderate	20	2	NA	9/21/2021	5	360	P4	NA	NA	6.07	27.2	208		Temperature measured in air	NA	140
151	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	0	P5	NA	NA	6.48	26.6	208	Pregnant with big embryos		NA	131
152	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	15	P5	NA	NA	6.57	26.2	208	Pregnant with big embryos		NA	132
153	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	30	P5	NA	NA	6.57	26.2	208	Pregnant with big embryos		NA	133
154	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	45	P5	NA	NA	6.56	26.2	208	Pregnant with big embryos		NA	134
155	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	60	P5	NA	NA	6.55	26.2	208	Pregnant with big embryos		NA	135
156	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	90	P5	NA	NA	6.59	25.7	208	Pregnant with big embryos		NA	136
157	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	120	P5	NA	NA	6.54	25.7	208	Pregnant with big embryos		NA	137
158	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	150	P5	NA	NA	6.52	25.6	208	Pregnant with big embryos		NA	138
159	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	180	P5	NA	NA	6.18	27.1	208	Pregnant with big embryos	Temperature measured in air	NA	139
160	Plastic	Intact	Cyclosalpa sewelli	D9-Csew-B-4	Blastozooid	Moderate	25	1	NA	9/21/2021	5	360	P5	NA	NA	6.17	27.2	208	Pregnant with big embryos	Temperature measured in air	NA	140
161	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	0	P1	NA	NA	6.34	26.6	208	Broken zooids on one side		NA	181
162	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	15	P1	NA	NA	6.42	26.2	208	Broken zooids on one side		NA	182
163	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	30	P1	NA	NA	6.41	26.1	208	Broken zooids on one side		NA	183
164	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	45	P1	NA	NA	6.41	25.9	208	Broken zooids on one side		NA	184
165	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	60	P1	NA	NA	6.42	25.8	208	Broken zooids on one side		NA	185
166	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	90	P1	NA	NA	6.42	25.4	208	Broken zooids on one side		NA	186
167	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	120	P1	NA	NA	6.36	25.3	208	Broken zooids on one side		NA	187
168	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	150	P1	NA	NA	6.38	25	208	Broken zooids on one side		NA	188
169	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	180	P1	NA	NA	6.46	24.7	208	Broken zooids on one side		NA	189
170	Plastic	Intact	Brooksia rostrata	D11-BR-B-1	Blastozooid	Moderate	10	14	NA	9/22/2021	6	295	P1	NA	NA	5.95	27	208	Broken zooids on one side	Temperature measured in air	NA	190
171	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	0	P2	NA	NA	5.73	26.6	208	Gunky surface, pooping a lot		NA	181
172	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	15	P2	NA	NA	5.49	26.2	208	Gunky surface, pooping a lot		NA	182
173	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	30	P2	NA	NA	5.22	26.1	208	Gunky surface, pooping a lot		NA	183
174	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	45	P2	NA	NA	4.94	25.9	208	Gunky surface, pooping a lot		NA	184
175	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	60	P2	NA	NA	4.71	25.8	208	Gunky surface, pooping a lot		NA	185
176	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	90	P2	NA	NA	4.3	25.4	208	Gunky surface, pooping a lot		NA	186
177	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	120	P2	NA	NA	3.81	25.3	208	Gunky surface, pooping a lot		NA	187
178	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	150	P2	NA	NA	3.53	25	208	Gunky surface, pooping a lot		NA	188
179	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	180	P2	NA	NA	3.14	24.7	208	Gunky surface, pooping a lot		NA	189
180	Plastic	Intact	Cyclosalpa affinis	D11-CA-B-1	Blastozooid	Active	45	6	NA	9/22/2021	6	295	P2	NA	NA	1.84	27	208	Gunky surface, pooping a lot	Temperature measured in air	NA	190
181	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	0	P3 control	NA	NA	6.41	26.6	72	Control local seawater		NA	NA
182	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	15	P3 control	NA	NA	6.47	26.2	72	Control local seawater		NA	NA
183	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	30	P3 control	NA	NA	6.47	26.1	72	Control local seawater		NA	NA
184	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	45	P3 control	NA	NA	6.48	25.9	72	Control local seawater		NA	NA
185	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	60	P3 control	NA	NA	6.54	25.8	72	Control local seawater		NA	NA
186	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	90	P3 control	NA	NA	6.56	25.3	72	Control local seawater		NA	NA
187	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	120	P3 control	NA	NA	6.56	25.3	72	Control local seawater		NA	NA
188	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	150	P3 control	NA	NA	6.6	25	72	Control local seawater		NA	NA
189	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	180	P3 control	NA	NA	6.69	24.7	72	Control local seawater		NA	NA
190	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/22/2021	6	295	P3 control	NA	NA	6.22	27	72	Control local seawater	Temperature measured in air	NA	NA
191	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	0	P4	NA	NA	6.27	26.6	208	Yellow cloudy hue, lost by the end of incubation		NA	181
192	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	15	P4	NA	NA	6.25	26.2	208	Yellow cloudy hue, lost by the end of incubation		NA	182
193	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	30	P4	NA	NA	6.17	26.1	208	Yellow cloudy hue, lost by the end of incubation		NA	183
194	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	45	P4	NA	NA	6.09	25.9	208	Yellow cloudy hue, lost by the end of incubation		NA	184
195	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	60	P4	NA	NA	6.02	25.8	208	Yellow cloudy hue, lost by the end of incubation		NA	185
196	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	90	P4	NA	NA	5.88	25.4	208	Yellow cloudy hue, lost by the end of incubation		NA	186
197	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	120	P4	NA	NA	5.69	25.3	208	Yellow cloudy hue, lost by the end of incubation		NA	187
198	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	150	P4	NA	NA	5.58	25	208	Yellow cloudy hue, lost by the end of incubation		NA	188
199	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	180	P4	NA	NA	5.47	24.7	208	Yellow cloudy hue, lost by the end of incubation		NA	189
200	Plastic	Intact	Iasis (Weelia) cylindrica	D11-WC-B-1	Blastozooid	Very active	15	12	NA	9/22/2021	6	295	P4	NA	NA	4.64	27	208	Yellow cloudy hue, lost by the end of incubation	Temperature measured in air	NA	190
201	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	0	P5	NA	NA	6.3	26.6	208	Gradation from 5-10mm length zooids		NA	181
202	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	15	P5	NA	NA	6.34	26.2	208	Gradation from 5-10mm length zooids		NA	182
203	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	30	P5	NA	NA	6.37	26.1	208	Gradation from 5-10mm length zooids		NA	183
204	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	45	P5	NA	NA	6.36	25.9	208	Gradation from 5-10mm length zooids		NA	184
205	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	60	P5	NA	NA	6.37	25.8	208	Gradation from 5-10mm length zooids		NA	185
206	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	90	P5	NA	NA	6.39	25.4	208	Gradation from 5-10mm length zooids		NA	186
207	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	120	P5	NA	NA	6.33	25.3	208	Gradation from 5-10mm length zooids		NA	187
208	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	150	P5	NA	NA	6.35	25	208	Gradation from 5-10mm length zooids		NA	188
209	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	180	P5	NA	NA	6.35	24.7	208	Gradation from 5-10mm length zooids		NA	189
210	Plastic	Intact	Brooksia rostrata	D11-BR-B-2	Blastozooid	Moderate	7.5	32	NA	9/22/2021	6	295	P5	NA	NA	5.82	27	208	Gradation from 5-10mm length zooids	Temperature measured in air	NA	190
211	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-1	Blastozooid	Active	35	6	NA	9/23/2021	7	0	P1	NA	NA	6.25	27.2	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	231
212	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-1	Blastozooid	Active	35	6	NA	9/23/2021	7	15	P1	NA	NA	6.11	28.2	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	232
213	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-1	Blastozooid	Active	35	6	NA	9/23/2021	7	30	P1	NA	NA	5.95	29.2	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	233
214	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-2	Blastozooid	Active	35	6	NA	9/23/2021	7	45	P1	NA	NA	5.78	29.5	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	234
215	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-2	Blastozooid	Active	35	6	NA	9/23/2021	7	60	P1	NA	NA	5.53	30	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	235
216	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-3	Blastozooid	Active	35	6	NA	9/23/2021	7	90	P1	NA	NA	5.17	31.1	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	236
217	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-2	Blastozooid	Active	35	6	NA	9/23/2021	7	120	P1	NA	NA	5.06	30.3	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	237
218	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-2	Blastozooid	Active	35	6	NA	9/23/2021	7	150	P1	NA	NA	4.78	29.9	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	238
219	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-3	Blastozooid	Active	35	6	NA	9/23/2021	7	180	P1	NA	NA	4.62	29.5	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	239
220	Plastic	Intact	Cyclosalpa affinis	D13-CA-B-3	Blastozooid	Active	35	6	NA	9/23/2021	7	246	P1	NA	NA	4.14	29.5	208	Found in D13, released-recaptured in D14.	Temperature measured in D13 jar water (same dive computer value 81F)	NA	240
221	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	0	P2	NA	NA	6.3	27.2	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	231
222	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	15	P2	NA	NA	6.19	28.2	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	232
223	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	30	P2	NA	NA	6.11	29.2	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	233
224	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	45	P2	NA	NA	6.04	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	234
225	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	60	P2	NA	NA	5.8	30	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	235
226	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	90	P2	NA	NA	5.45	31.1	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	236
227	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	120	P2	NA	NA	5.36	30.3	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	237
228	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	150	P2	NA	NA	5.18	29.9	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	238
229	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	180	P2	NA	NA	5.04	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	239
230	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1A	Blastozooid	Very active	10	20	NA	9/23/2021	7	246	P2	NA	NA	4.71	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0418	240
231	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	0	P3 control	NA	NA	6.48	27.2	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
232	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	15	P3 control	NA	NA	6.53	28.2	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
233	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	30	P3 control	NA	NA	6.52	29.2	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
234	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	45	P3 control	NA	NA	6.64	29.5	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
235	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	60	P3 control	NA	NA	6.45	30	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
236	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	90	P3 control	NA	NA	6.25	31.1	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
237	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	120	P3 control	NA	NA	6.26	30.3	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
238	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	150	P3 control	NA	NA	6.25	29.9	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
239	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	180	P3 control	NA	NA	6.23	29.5	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
240	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/23/2021	7	246	P3 control	NA	NA	6.11	29.5	72	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)	NA	NA
241	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	0	P4	NA	NA	6.16	27.2	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	231
242	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	15	P4	NA	NA	6.02	28.2	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	232
243	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	30	P4	NA	NA	5.94	29.2	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	233
244	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	45	P4	NA	NA	5.76	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	234
245	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	60	P4	NA	NA	5.46	30	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	235
246	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	90	P4	NA	NA	4.99	31.1	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	236
247	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	120	P4	NA	NA	4.74	30.3	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	237
248	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	150	P4	NA	NA	4.45	29.9	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	238
249	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	180	P4	NA	NA	4.21	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	239
250	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-1B	Blastozooid	Very active	10	28	NA	9/23/2021	7	246	P4	NA	NA	3.84	29.5	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	240
251	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-2	Blastozooid	Very active	10	34	NA	9/23/2021	7	0	P5	NA	NA	6.14	27.2	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	231
252	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-2	Blastozooid	Very active	10	34	NA	9/23/2021	7	15	P5	NA	NA	5.9	28.2	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	232
253	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-2	Blastozooid	Very active	10	34	NA	9/23/2021	7	30	P5	NA	NA	5.69	29.2	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	233
254	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-3	Blastozooid	Very active	10	34	NA	9/23/2021	7	45	P5	NA	NA	5.58	29.5	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	234
255	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-3	Blastozooid	Very active	10	34	NA	9/23/2021	7	60	P5	NA	NA	5.29	30	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	235
256	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-4	Blastozooid	Very active	10	34	NA	9/23/2021	7	90	P5	NA	NA	4.81	31.1	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	236
257	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-3	Blastozooid	Very active	10	34	NA	9/23/2021	7	120	P5	NA	NA	4.53	30.3	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	237
258	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-3	Blastozooid	Very active	10	34	NA	9/23/2021	7	150	P5	NA	NA	4.25	29.9	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	238
