Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
28	Plastic	MgCl2	Cyclosalpa sewelli	D4-Csew-B-1	Blastozooid	Very low	20	1	NA	9/19/2021	2	30	P2	NA	NA	6.01	NA	208	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.	NA	23
29	Plastic	MgCl2	Cyclosalpa sewelli	D4-Csew-B-1	Blastozooid	Very low	20	1	NA	9/19/2021	2	45	P2	NA	NA	5.98	NA	208	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.	NA	24
30	Plastic	MgCl2	Cyclosalpa sewelli	D4-Csew-B-1	Blastozooid	Very low	20	1	NA	9/19/2021	2	60	P2	NA	NA	5.89	NA	208	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.	NA	25
31	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	0	P1	NA	NA	5.63	NA	208	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	31
32	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	15	P1	NA	NA	5.79	NA	208	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	32
33	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	30	P1	NA	NA	5.79	NA	208	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	33
34	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	45	P1	NA	NA	5.8	NA	208	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	34
35	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	60	P1	NA	NA	5.8	NA	208	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	35
36	Plastic	MgCl2	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	0	P2	NA	NA	5.7	NA	208	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	36
37	Plastic	MgCl2	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	15	P2	NA	NA	5.8	NA	208	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	37
38	Plastic	MgCl2	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	30	P2	NA	NA	5.78	NA	208	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	38
39	Plastic	MgCl2	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	45	P2	NA	NA	5.73	NA	208	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	39
40	Plastic	MgCl2	NA	NA	NA	NA	NA	NA	NA	9/19/2021	2	60	P2	NA	NA	5.73	NA	208	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.	NA	40
41	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	0	P1	NA	NA	6.35	NA	208	Sapphirina included	No temperature measured.	NA	51
42	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	15	P1	NA	NA	6.34	NA	208	Sapphirina included	No temperature measured.	NA	52
43	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	30	P1	NA	NA	6.25	NA	208	Sapphirina included	No temperature measured.	NA	53
44	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	45	P1	NA	NA	6.21	NA	208	Sapphirina included	No temperature measured.	NA	54
45	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	60	P1	NA	NA	6.18	NA	208	Sapphirina included	No temperature measured.	NA	55
46	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	90	P1	NA	NA	6.12	NA	208	Sapphirina included	No temperature measured.	NA	56
47	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	120	P1	NA	NA	6.04	NA	208	Sapphirina included	No temperature measured.	NA	57
48	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	150	P1	NA	NA	5.98	NA	208	Sapphirina included	No temperature measured.	NA	58
49	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	180	P1	NA	NA	5.95	NA	208	Sapphirina included	No temperature measured.	NA	59
50	Plastic	Intact	Pegea sp.	D5-PC-B-1	Blastozooid	Moderate	25	5	NA	9/19/2021	3	259	P1	NA	NA	5.84	NA	208	Sapphirina included	No temperature measured.	NA	60
51	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	0	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
52	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	15	P2	NA	NA	6.48	NA	208	Control local seawater	No temperature measured.	NA	NA
53	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	30	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
54	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	45	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
55	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	60	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
56	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	90	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
57	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	120	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
58	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	150	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
59	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	180	P2	NA	NA	6.42	NA	208	Control local seawater	No temperature measured.	NA	NA
