state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
6300	0.002	2734.530	11.155	5	0	0.000	0.031	7.445	-48.29	-284.46	-0.00	0.00
6400	0.002	2319.861	6.136	5	0	0.000	0.029	6.549	-51.71	-282.57	0.00	-5.75
6500	0.004	1167.352	0.038	4	0	0.000	0.029	6.255	-53.79	-282.97	-0.00	0.00
6600	0.003	3666.097	0.050	5	0	0.000	0.021	5.980	-35.24	-285.89	3.43	0.00
6700	0.003	2062.011	0.450	4	0	0.000	0.011	5.755	-45.28	-280.54	-0.00	0.00
6800	0.004	3713.334	0.723	6	0	0.000	0.016	5.966	-37.83	-289.57	0.00	0.00
6900	0.002	2038.509	0.664	6	0	0.000	0.016	5.799	-45.11	-285.25	-0.00	0.00
7000	0.002	2387.860	0.385	5	0	0.000	0.013	5.070	-39.67	-289.76	0.00	0.00
7100	0.001	2119.664	0.288	5	0	0.000	0.012	3.487	-41.30	-283.97	5.69	0.00
7200	0.003	3380.017	0.005	6	0	0.000	0.014	3.132	-34.28	-290.57	0.00	-1.10
7300	0.003	3074.343	0.004	4	0	0.000	0.013	8.415	-34.37	-284.17	-0.00	0.00
7400	0.002	3300.413	0.003	4	0	0.000	0.013	12.098	-32.32	-286.84	-0.00	0.00
7500	0.001	2174.302	0.001	5	0	0.000	0.006	11.136	-30.15	-285.48	4.59	-0.69
7600	0.001	1971.919	0.002	4	0	0.000	0.005	11.136	-35.74	-278.88	2.48	-0.38
7700	0.001	4179.977	0.004	5	0	0.000	0.007	11.068	-26.77	-288.22	-0.00	0.00
7800	0.001	3361.723	0.004	4	0	0.000	0.005	10.701	-30.92	-282.89	0.00	0.00
7900	0.001	2942.088	0.001	4	0	0.000	0.003	14.136	-27.47	-281.65	0.00	-1.60
8000	0.000	4567.328	0.001	5	0	0.000	0.002	14.262	-19.55	-288.95	0.00	-0.41
8100	0.000	5483.855	0.001	3	0	0.000	0.004	6.239	-23.88	-284.83	-0.00	0.48
8200	0.000	4835.364	0.001	4	0	0.000	0.004	8.406	-23.75	-285.11	0.00	10.29
8300	0.000	2345.698	0.000	4	0	0.000	0.004	8.242	-30.98	-279.22	2.35	0.69
8400	0.000	3379.650	0.000	3	0	0.000	0.002	9.327	-22.79	-281.44	0.00	-14.24
8500	0.000	4405.229	0.000	5	0	0.000	0.002	9.644	-14.72	-292.90	0.00	-15.52
8600	0.000	2897.829	0.001	4	0	0.000	0.002	3.392	-22.37	-283.81	0.00	11.98
8700	0.000	2974.990	0.001	4	0	0.000	0.001	3.163	-21.99	-282.62	0.00	0.00
8800	0.000	2901.257	0.001	3	0	0.000	0.001	2.808	-25.82	-278.64	0.00	0.00
8900	0.000	4044.169	0.001	4	0	0.000	0.000	1.519	-16.76	-284.87	-48.53	-0.69
9000	0.000	3647.218	0.001	4	0	0.000	0.000	2.379	-16.63	-282.73	-2.22	-0.69
9100	0.000	3017.315	0.001	4	0	0.000	0.001	2.669	-20.95	-281.94	0.00	0.00
9200	0.000	3802.594	0.001	4	0	0.000	0.001	1.805	-14.96	-281.43	0.76	-0.32
9300	0.000	5865.736	0.002	4	0	0.000	0.001	1.829	-5.83	-288.08	-0.01	0.00
9400	0.000	2868.806	0.001	5	0	0.000	0.001	0.922	-8.40	-283.24	-0.02	0.01
9500	0.000	4203.878	0.002	5	0	0.000	0.001	1.766	-5.67	-288.55	0.00	-4.09
9600	0.000	4449.567	0.002	5	0	0.000	0.001	0.915	-4.81	-289.55	-0.00	0.00
9700	0.000	3112.231	0.002	6	0	0.000	0.001	1.734	-6.50	-286.47	-0.00	0.00
9800	0.000	2937.493	0.002	5	0	0.000	0.001	1.765	-8.30	-283.53	-0.00	0.00
9900	0.000	2693.369	0.002	6	0	0.000	0.001	1.624	-6.03	-286.60	-32.32	-0.69
10000	0.000	2932.946	0.001	4	0	0.000	0.001	2.175	-7.93	-281.42	5.44	0.00
