 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,146,146,146,69.424,20.006,3253
2,0.000,70,70,70,73.056,1.351,3253
3,0.000,159,159,159,72.635,25.990,3268
4,0.000,99,99,99,85.692,16.022,3268
5,0.000,141,141,141,73.372,29.044,3283
6,0.000,105,105,105,96.747,27.359,3283
7,0.000,195,195,195,70.108,18.304,3298
8,0.000,108,108,108,101.802,29.570,3298
9,0.000,189,189,189,67.792,4.089,3313
10,0.000,119,119,119,107.172,29.781,3313
11,0.000,164,164,164,75.794,5.879,3328
12,0.000,99,99,99,121.176,40.415,3328
13,0.000,133,133,133,76.110,20.725,3343
14,0.000,156,156,156,126.546,60.526,3343
