 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,126,126,126,61.472,38.524,1
2,0.000,59,59,59,52.894,56.488,1
3,0.000,139,139,139,59.398,36.293,15
4,0.000,138,138,138,52.590,52.118,15
5,0.000,151,151,151,52.885,32.385,30
6,0.000,148,148,148,46.548,44.881,30
7,0.000,137,137,137,61.846,28.367,45
8,0.000,152,152,152,56.556,37.090,45
9,0.000,129,129,129,63.620,20.440,60
10,0.000,144,144,144,60.793,25.595,60
11,0.000,140,140,140,63.121,27.129,75
12,0.000,142,142,142,61.874,29.096,75
13,0.000,135,135,135,65.200,35.656,90
14,0.000,136,136,136,65.671,33.452,90
15,0.000,136,136,136,64.369,29.586,105
16,0.000,84,84,84,65.948,23.932,105
