 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,156,156,156,46.340,19.637,2325
2,0.000,137,137,137,34.810,23.937,2325
3,0.000,141,141,141,47.806,28.497,2340
4,0.000,157,157,157,39.877,42.663,2340
5,0.000,142,142,142,55.775,18.144,2355
6,0.000,141,141,141,55.830,39.617,2355
7,0.000,123,123,123,56.515,23.978,2370
8,0.000,124,124,124,69.716,48.472,2370
9,0.000,153,153,153,45.834,29.565,2385
10,0.000,94,94,94,83.711,48.052,2385
