state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
8100	9.520	1723.315	178.002	5	2	1521.065	5.197	28.746	-95.76	-341.22	-0.24	0.00
8200	17.795	1526.118	78.407	5	2	2048.527	3.439	28.567	-90.22	-340.89	-10.37	-0.69
8300	14.046	1168.336	87.553	8	2	2100.847	3.490	28.093	-90.56	-346.75	0.00	-5.81
8400	10.432	427.382	56.507	6	2	2287.697	3.749	29.016	-90.87	-343.02	0.00	0.00
8500	10.925	370.874	171.166	7	2	2251.799	3.409	29.016	-90.97	-344.56	0.00	0.00
8600	8.549	410.486	103.799	5	2	2106.233	4.113	28.557	-97.35	-337.82	0.00	0.00
8700	28.089	652.540	208.578	6	2	1560.529	4.453	21.313	-98.58	-339.61	0.20	-0.69
8800	16.233	377.102	23.749	8	2	1560.587	4.355	31.787	-96.54	-343.30	0.00	0.00
8900	48.765	350.690	48.765	7	2	1829.722	4.340	38.709	-96.13	-342.02	0.00	0.00
9000	29.938	354.075	50.292	5	2	3815.069	3.980	47.173	-92.41	-343.28	-0.00	0.00
9100	61.127	718.590	81.737	6	2	3706.770	4.419	47.773	-90.38	-348.51	-5.92	0.69
9200	65.243	631.366	106.696	7	2	2954.868	5.074	48.247	-91.81	-350.73	0.00	-3.13
9300	120.330	691.595	120.330	4	2	3383.526	8.511	32.350	-94.50	-340.82	0.00	0.00
9400	4.418	1489.165	90.881	6	2	2151.758	8.390	32.593	-98.31	-339.30	0.17	-0.69
9500	22.054	1619.235	24.690	6	2	2615.810	7.948	32.593	-95.68	-341.55	0.00	0.00
9600	51.855	1197.172	109.418	3	2	4501.367	7.043	25.674	-94.17	-340.79	0.00	0.00
9700	88.686	172.799	122.049	3	2	4501.472	6.716	25.972	-94.94	-341.01	-1.12	0.00
9800	105.370	462.603	117.462	3	2	4501.299	6.559	33.941	-92.59	-342.35	-0.01	0.00
9900	39.278	418.506	39.278	5	2	4501.502	6.797	23.991	-97.11	-343.08	0.36	-0.69
10000	8.912	537.284	18.780	7	2	4501.596	7.242	23.991	-95.98	-346.40	0.00	0.00
