Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	branch_rates[127]	branch_rates[128]	branch_rates[129]	branch_rates[130]	branch_rates[131]	branch_rates[132]	branch_rates[133]	branch_rates[134]	branch_rates[135]	branch_rates[136]	branch_rates[137]	branch_rates[138]	branch_rates[139]	branch_rates[140]	branch_rates[141]	branch_rates[142]	branch_rates[143]	branch_rates[144]	branch_rates[145]	branch_rates[146]	branch_rates[147]	branch_rates[148]	branch_rates[149]	branch_rates[150]	branch_rates[151]	branch_rates[152]	branch_rates[153]	branch_rates[154]	branch_rates[155]	branch_rates[156]	branch_rates[157]	branch_rates[158]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
1850	-16842.3	-16835.5	-6.76237	0.1710562	0.107532	0.0095165	0.003236	0.0945843	0.0832122	1.00088	0.0061229	0.0855089	0.00754025	0.0439358	0.0132162	0.0911658	0.0856445	0.555913	0.0973202	0.0222913	0.0206515	0.299892	0.0606591	0.018138	0.023385	0.00427098	0.0804591	0.120599	0.0630027	0.0201246	0.220755	0.360844	0.0420001	0.0372636	0.0086302	0.0236885	0.294561	0.0355003	0.0180782	0.0448049	0.00998806	0.0108333	0.0509781	0.0493705	0.057157	0.0286279	0.0139503	0.0396459	0.222097	0.0191799	0.0210178	0.00261898	0.0623701	0.0171221	1.22403	0.0147235	0.043085	0.101838	0.0308624	0.0358658	0.0672325	0.0234984	0.0219453	0.126652	0.00725255	0.0249737	0.0244776	0.102053	0.0157446	0.00203598	0.244352	0.0264531	0.987257	0.0621147	0.00706242	0.0142265	0.0140561	0.22819	0.0201684	0.0883234	0.00511125	0.0301375	0.032927	0.0143801	0.0539811	0.0200977	0.0157211	0.276331	0.039848	0.0141756	0.013723	0.646442	0.100267	0.00216677	0.0212959	0.0456804	0.0227478	0.0278219	0.00288376	0.0487442	0.0326167	0.0340805	0.0298255	0.328273	0.0102081	0.0169204	0.00352401	0.0174221	0.0216355	0.00713715	1.94084	0.135869	0.0920598	0.186229	0.0950401	0.0260906	0.0589526	0.0339584	0.0129676	0.0719399	0.154894	0.00485335	0.0280013	0.00688035	0.0235685	0.0068196	0.0731331	0.0190881	0.00624767	0.00805677	0.0139693	0.0114828	0.0148066	0.00742201	0.165965	0.041259	0.140092	0.0619938	0.0570451	0.157341	0.041683	0.0965829	0.0261052	0.00442186	0.0106232	0.021447	0.0636088	0.109798	0.0193433	0.0323653	0.01727	0.0192315	0.00563362	0.0191211	0.0461623	0.128601	0.0908481	0.122356	0.0160893	0.0144881	0.0423765	0.0502462	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.09404911	0.27557	0.211793	0.267107	0.245531	2.000349	0.4641799	0.0785759	-3.254446	1.192272	1.421512
1860	-16846.7	-16849.5	2.77678	0.1710562	0.152102	0.00876539	0.00298059	0.087119	0.0766445	0.921888	0.00563964	0.07876	0.0127356	0.0404681	0.0121731	0.0839703	0.0788848	0.512036	0.089639	0.0205319	0.0190215	0.276222	0.0558714	0.0167064	0.0215393	0.00393388	0.0741087	0.111081	0.0580301	0.0185362	0.203331	0.332364	0.0386852	0.0343224	0.0543442	0.0218188	0.271312	0.0326984	0.0166513	0.0412686	0.00919973	0.00997822	0.0469545	0.0454738	0.0526458	0.0263684	0.0128492	0.0365168	0.204568	0.0176661	0.0193589	0.00032584	0.0574474	0.0157707	1.12742	0.0135614	0.0396844	0.0938003	0.0284266	0.033035	0.061926	0.0216437	0.0202132	0.116656	0.00668012	0.0230026	0.0225456	0.0939984	0.0145019	0.00187528	0.225066	0.0243652	0.909336	0.0572122	0.00650501	0.0131037	0.0129467	0.210179	0.0185766	0.0813523	0.00470784	0.0277589	0.0166089	0.0132452	0.0497205	0.0185114	0.0144803	0.254521	0.0367029	0.0130568	0.0126399	0.595421	0.0923535	0.00199575	0.0196151	0.042075	0.0209524	0.025626	0.00265615	0.0448969	0.0300424	0.0313906	0.0274714	0.302363	0.0094024	0.0155849	0.00324587	0.0160471	0.0199279	0.00657383	1.78766	0.125145	0.0847937	0.171531	0.0875389	0.0240314	0.0542996	0.0312782	0.0119441	0.0662619	0.142669	0.00447029	0.0257912	0.0063373	0.0217083	0.00628134	0.0673609	0.0175815	0.00575456	0.00742088	0.0128667	0.0105765	0.013638	0.00683621	0.152866	0.0380026	0.129035	0.0571008	0.0525426	0.144923	0.038393	0.0889599	0.0240448	0.00407285	0.00978472	0.0197542	0.0640938	0.101132	0.0178167	0.0298108	0.0159069	0.0177137	0.00518898	0.0176119	0.0425188	0.0473705	0.083536	0.112699	0.0597514	0.0115678	0.0288374	0.0563251	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.0870484	0.27557	0.211793	0.267107	0.245531	2.000132	0.4641799	0.08659613	-3.418259	1.394101	1.943518
1870	-16853.5	-16842.8	-10.6833	0.1710562	0.134201	0.00973821	0.00331139	0.0967878	0.0851508	1.0242	0.00626555	0.0875011	0.0141491	0.0449594	0.0135241	0.0932897	0.0876397	0.568864	0.0995875	0.0228106	0.0211326	0.306879	0.0620723	0.0185606	0.0239298	0.00437048	0.0823335	0.123409	0.0644705	0.0205934	0.225898	0.369251	0.0429786	0.0381317	0.0603755	0.0242403	0.133106	0.0363274	0.0184994	0.0458487	0.0102208	0.0110856	0.0521657	0.0505207	0.0584886	0.0292949	0.0142753	0.0405696	0.227271	0.0196268	0.0215074	0.000362003	0.0638232	0.017521	1.25254	0.0150665	0.0440888	0.104211	0.0315815	0.0367013	0.0687988	0.0240458	0.0224565	0.129603	0.00742151	0.0255555	0.0250478	0.104431	0.0161114	0.00208341	0.250045	0.0270694	1.01026	0.0635618	0.00722696	0.014558	0.0143836	0.233506	0.0206383	0.0903811	0.00523033	0.0308397	0.0184523	0.0147152	0.0552387	0.0205659	0.0160874	0.282769	0.0407763	0.0145059	0.0140427	2.28485	0.102603	0.00221725	0.021792	0.0041001	0.0232778	0.02847	0.00295094	0.0498798	0.0333766	0.0348745	0.0305203	0.335921	0.0104459	0.0173146	0.00360611	0.063303	0.0221395	0.00730342	1.98606	0.139034	0.0942045	0.190568	0.0972543	0.0266985	0.060326	0.0347495	0.0132697	0.0736159	0.158502	0.00496642	0.0286536	0.00704064	0.0241176	0.00697847	0.0346338	0.0195328	0.00639323	0.00824448	0.0142947	0.0117503	0.0151516	0.00759492	0.169832	0.0422203	0.143356	0.00676795	0.058374	0.161007	0.0426541	0.098833	0.0267133	0.00452487	0.0108707	0.0219466	0.0712072	0.112357	0.0197941	0.0331193	0.0176724	0.0196796	0.00576487	0.0195666	0.0472378	0.0526276	0.0917464	0.125207	0.00849151	0.0140282	0.0277423	0.0498411	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.1046296	0.27557	0.211793	0.267107	0.245531	1.999733	0.4641799	0.08616472	-3.404065	1.380269	1.905142
1880	-16873.7	-16837.4	-36.304	0.1710562	0.115762	0.0111801	0.00380167	0.111118	0.0977583	1.17585	0.00719323	0.100457	0.016244	0.0516161	0.0155265	0.107102	0.100616	0.653091	0.114332	0.026188	0.0242615	0.352315	0.0712627	0.0213087	0.0274728	0.00501758	0.0945239	0.141681	0.074016	0.0236425	0.259345	0.423922	0.0493421	0.0437775	0.0693148	0.0278294	0.152814	0.041706	0.0212384	0.0526371	0.0117341	0.012727	0.0598894	0.0580008	0.0671485	0.0336323	0.0163889	0.0465763	0.260921	0.0225327	0.0246918	0.000415602	0.0732729	0.0201151	1.438	0.0172973	0.0506166	0.11964	0.0362574	0.0421354	0.0789852	0.0276061	0.0257815	0.148792	0.00852035	0.0293393	0.0287564	0.119893	0.0184969	0.00239188	0.287066	0.0310773	1.15984	0.0729728	0.00829699	0.101494	0.0165133	0.268079	0.023694	0.103763	0.00600474	0.0354058	0.0211843	0.0168939	0.0634174	0.0236109	0.0184693	0.324636	0.0468137	0.0166536	0.0161219	2.62314	0.117795	0.00254553	0.0250186	0.00470716	0.0267243	0.0326853	0.00338786	0.057265	0.0383184	0.040038	0.0350392	0.385657	0.0119926	0.0198782	0.00414003	0.0726757	0.0254175	0.00838477	2.28012	0.159619	0.108152	0.13958	0.111654	0.0306515	0.0692579	0.0398946	0.0152344	0.0845155	0.18197	0.00570175	0.0328961	0.00808308	0.0276885	0.00801171	0.0397617	0.0224248	0.00733981	0.00946516	0.0164112	0.0134901	0.0173949	0.00871943	0.194977	0.0484714	0.164581	0.00777002	0.0670169	0.184846	0.0489695	0.113466	0.0306685	0.00519483	0.0124802	0.025196	0.0817502	0.128992	0.0227249	0.038023	0.0202889	0.0225934	0.00661842	0.0224636	0.0542318	0.0604195	0.104219	0.143745	0.0131234	0.0275352	0.030334	0.0587048	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.1200004	0.27557	0.211793	0.267107	0.245531	1.998381	0.4641799	0.07490246	-3.3946	1.267306	1.606064
1890	-16880.3	-16836.7	-43.5994	0.1710562	0.13595	0.0116235	0.00395247	0.115526	0.101636	1.22249	0.00747856	0.104441	0.0168884	0.0536636	0.0161424	0.111351	0.104607	0.678997	0.118868	0.0272268	0.0252239	0.36629	0.0740895	0.0221539	0.0285626	0.00521661	0.0982733	0.147301	0.076952	0.0245803	0.269632	0.440738	0.0512993	0.045514	0.0720643	0.0289333	0.158876	0.0433604	0.0220808	0.054725	0.0121995	0.0132318	0.062265	0.0603015	0.069812	0.0349664	0.017039	0.0484238	0.271271	0.0234265	0.0256713	0.000432087	0.0761794	0.020913	1.49504	0.0179834	0.0526244	0.124386	0.0376956	0.0438067	0.0821183	0.0287011	0.0268041	0.154694	0.00885832	0.0305031	0.0298971	0.124648	0.0192306	0.120074	0.298453	0.03231	1.20584	0.0758674	0.0086261	0.10552	0.0171683	0.278713	0.0246339	0.107879	0.00624292	0.0368102	0.0220246	0.017564	0.0659329	0.0245475	0.0192019	0.337513	0.0486706	0.0173142	0.0167614	2.72719	0.122467	0.00264651	0.026011	0.00489388	0.0277843	0.0339818	0.00352225	0.0595365	0.0398383	0.0416262	0.0364291	0.400955	0.0124683	0.0206667	0.041062	0.0755585	0.0264258	0.00871737	2.37056	0.165951	0.112443	0.145117	0.104195	0.0318673	0.0720051	0.0414771	0.0357646	0.087868	0.189189	0.00592792	0.034201	0.00840371	0.0287868	0.00832951	0.0413389	0.0233143	0.0326636	0.00984061	0.0170622	0.0140252	0.0180849	0.0090653	0.202711	0.0503941	0.171109	0.00807823	0.0696753	0.192178	0.0509119	0.117967	0.031885	0.00540089	0.0129752	0.0261955	0.0849929	0.134109	0.0236265	0.0395313	0.0210937	0.0234896	0.00688095	0.0233547	0.056383	0.0628162	0.105777	0.149447	0.0235525	0.0896308	0.0296341	0.0207015	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.1262105	0.27557	0.211793	0.267107	0.245531	2.000119	0.4641799	0.1055672	-3.084459	1.293099	1.672104
1900	-16824.6	-16836.2	11.6057	0.1710562	0.116803	0.0082532	0.00280643	0.0820284	0.0721659	0.868019	0.0053101	0.0741578	0.0119915	0.0381034	0.0114618	0.0790637	0.0742753	0.482117	0.00407535	0.0193322	0.01791	0.260082	0.0526067	0.0157302	0.0202807	0.00370401	0.0697783	0.10459	0.0546392	0.0174531	0.0215107	0.312943	0.0364247	0.0323169	0.0511687	0.0205439	0.112809	0.0307877	0.0156783	0.0388571	0.00866217	0.00939517	0.0442109	0.0428167	0.0495696	0.0248276	0.0120984	0.034383	0.192614	0.0166338	0.0405766	0.000306801	0.0540906	0.0148492	1.06154	0.012769	0.0373656	0.0883193	0.0267655	0.133715	0.0583075	0.020379	0.0190321	0.109839	0.00628979	0.0216585	0.0212282	0.0885058	0.0136546	0.085258	0.211915	0.0229415	0.856201	0.0538691	0.0061249	0.0749239	0.0121902	0.197898	0.0174911	0.0765987	0.00443274	0.0261368	0.0156384	0.0124712	0.0468152	0.0174298	0.0136342	0.239649	0.0345582	0.0122938	0.0119013	1.93642	0.086957	0.00187913	0.0184689	0.00347486	0.0197281	0.0241286	0.00250095	0.0422735	0.0282869	0.0295564	0.0258662	0.284695	0.008853	0.0146742	0.0291558	0.0536498	0.00365083	0.00618971	1.6832	0.117832	0.079839	0.103039	0.0739828	0.0226272	0.0511268	0.0294505	0.0253944	0.06239	0.134332	0.00420908	0.0242842	0.00596699	0.0204399	0.00591431	0.0293524	0.0165542	0.0231926	0.00698726	0.0121149	0.0099585	0.0128411	0.00643675	0.143934	0.035782	0.121495	0.00573589	0.0494724	0.136455	0.0361496	0.0837617	0.0226398	0.00744287	0.00921297	0.0185999	0.0603486	0.095223	0.0167758	0.0280689	0.0630565	0.0166786	0.00488577	0.0165828	0.0400343	0.0446021	0.0155025	0.106114	0.0102519	0.0689304	0.0345083	0.0291871	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.08897383	0.27557	0.211793	0.267107	0.245531	2.000843	0.4641799	0.06876871	-3.441319	1.236376	1.528624
1910	-16831.1	-16837.3	6.22828	0.1710562	0.112434	0.00807778	0.00274677	0.0802849	0.070632	0.84957	0.00519724	0.0725816	0.0117366	0.0372935	0.0112182	0.0773832	0.0726966	0.471869	0.00398873	0.0189213	0.0175294	0.254554	0.0514886	0.0153959	0.0198496	0.00362529	0.0682952	0.102367	0.0534778	0.0170821	0.0210535	0.306291	0.0356505	0.03163	0.0500811	0.0201072	0.110411	0.0301333	0.0153451	0.0380312	0.00847806	0.00919547	0.0432712	0.0419066	0.048516	0.0242999	0.0118413	0.0336522	0.18852	0.0162803	0.0397142	0.000300279	0.0529409	0.0145335	1.03898	0.0124976	0.0365714	0.0864421	0.0261966	0.130873	0.0570682	0.0199459	0.0186276	0.107505	0.0061561	0.0211981	0.020777	0.113454	0.0133643	0.0834459	0.20741	0.0224539	0.838002	0.0527241	0.00599472	0.0733313	0.0119311	0.193692	0.0171193	0.0749705	0.00433853	0.0255813	0.015306	0.0122061	0.0458202	0.0170593	0.0133444	0.234555	0.0338237	0.0120325	0.0116484	1.89527	0.0851087	0.00183919	0.0180763	0.00340101	0.0193088	0.0236157	0.00244779	0.041375	0.0276857	0.0289282	0.0255292	0.278644	0.00866483	0.0143623	0.0285361	0.0525094	0.00357324	0.00605814	1.64742	0.115328	0.078142	0.100849	0.0724103	0.0221462	0.0500401	0.0288245	0.0248546	0.0610639	0.131477	0.00411961	0.023768	0.00794472	0.0200054	0.0057886	0.0287285	0.0162023	0.0226996	0.00683874	0.0118574	0.00974683	0.0125681	0.00629994	0.140875	0.0350214	0.118913	0.00561397	0.0484209	0.133554	0.0353813	0.0819814	0.0221585	0.00728468	0.00901715	0.247695	0.0590659	0.093199	0.0164193	0.0274723	0.0617163	0.0163241	0.00478192	0.0162303	0.0391834	0.0436541	0.0152	0.103858	0.0126015	0.258744	0.0271924	0.0602799	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.0900938	0.27557	0.211793	0.267107	0.245531	2.001812	0.4641799	0.06573145	-3.511383	1.256348	1.578411
1920	-16801.5	-16844.7	43.2752	0.1710562	0.0971887	0.00639107	0.00217322	0.0635207	0.0558834	0.672172	0.004112	0.0574259	0.00928588	0.0295063	0.00887572	0.0612249	0.0575169	0.373339	0.00315585	0.0149703	0.0138691	0.201401	0.0407373	0.0121811	0.0157048	0.00286829	0.0540345	0.0809916	0.0423112	0.0135152	0.0166573	0.242335	0.0282063	0.0250254	0.0396237	0.0159086	0.127595	0.0238412	0.0121409	0.0300899	0.00670776	0.00727537	0.0342357	0.0331561	0.0383854	0.0192259	0.0093687	0.0266253	0.149155	0.0128808	0.0314215	0.000237578	0.0418864	0.0114988	0.822029	0.00988798	0.0289349	0.0683922	0.0207265	0.103545	0.0451518	0.015781	0.0147379	0.0850567	0.00487065	0.0167718	0.0164386	0.0897639	0.0105737	0.0660216	0.164101	0.0177653	0.66302	0.0417148	0.00474296	0.0580191	0.00943979	0.153247	0.0135447	0.059316	0.0034326	0.0202397	0.01211	0.00965738	0.0362525	0.0134972	0.010558	0.185578	0.026761	0.00952004	0.00921607	1.49952	0.0673372	0.00145515	0.0143018	0.00269084	0.0152769	0.0186845	0.00193667	0.0327355	0.0219047	0.0228877	0.0201985	0.220461	0.00685553	0.0113633	0.0225775	0.041545	0.00282711	0.00479315	1.30343	0.0912462	0.0618253	0.0797907	0.0572903	0.0175219	0.0395912	0.0228057	0.0196648	0.0483132	0.104023	0.0032594	0.018805	0.00628579	0.0158281	0.00457989	0.0227297	0.0128191	0.0179597	0.00541075	0.00938144	0.0077116	0.00994378	0.00498445	0.111459	0.0277086	0.0940825	0.0508539	0.0383102	0.105667	0.0279933	0.0648629	0.0175316	0.00576357	0.00713429	0.195974	0.0467324	0.0737382	0.0129907	0.0217358	0.0488293	0.0129155	0.00378341	0.0128413	0.0310016	0.034539	0.0120516	0.0821717	0.00622654	0.0823334	0.029461	0.0710749	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.07128208	0.27557	0.211793	0.267107	0.245531	1.999642	0.4641799	0.06725793	-3.587739	1.333056	1.777038
1930	-16822.5	-16873.2	50.6874	0.1710562	0.142424	0.00597993	0.00203342	0.0594344	0.0522884	0.628931	0.00384748	0.0537317	0.00868852	0.0276082	0.00830474	0.0572863	0.0538168	0.11976	0.00295283	0.0140073	0.0129769	0.188445	0.0381166	0.0113975	0.0146945	0.00268377	0.0505584	0.0757814	0.0395893	0.0126458	0.0155858	0.226745	0.0263918	0.0234155	0.0370747	0.0148852	0.119387	0.0223075	0.0113599	0.0281543	0.00627625	0.00680735	0.0320333	0.0310232	0.035916	0.0179891	0.00876601	0.0249125	0.13956	0.0120522	0.0294001	0.000222295	0.0391918	0.0107591	0.769148	0.00925188	0.0270735	0.0639925	0.0193932	0.0968841	0.0422472	0.0147658	0.0137899	0.079585	0.00455732	0.0156928	0.0153811	0.0839894	0.00989352	0.0617744	0.153545	0.0166224	0.620367	0.0390313	0.00443785	0.0542867	0.00883253	0.143389	0.0126733	0.0555002	0.00321178	0.0189377	0.011331	0.00903612	0.0339204	0.0126289	0.00987877	0.17364	0.0250395	0.00890761	0.0086232	1.40305	0.0630054	0.00136154	0.0133818	0.00251774	0.0142941	0.0174826	0.00181208	0.0306296	0.0204955	0.0214153	0.0188991	0.206278	0.00641451	0.0106323	0.0211251	0.0388724	0.00264524	0.231557	1.21958	0.0853763	0.057848	0.0746578	0.0536048	0.0163947	0.0370443	0.0213386	0.0183997	0.0452052	0.0973314	0.00304972	0.0175953	0.00588142	0.0148099	0.00428526	0.0212675	0.0119945	0.0168044	0.00506267	0.00877793	0.00721552	0.0093041	0.0046638	0.104288	0.0259261	0.0880302	0.0475824	0.0358457	0.0988694	0.0261925	0.0606902	0.0164038	0.0053928	0.00667534	0.183367	0.0437261	0.0689946	0.0121551	0.0203375	0.0456881	0.0120846	0.00354003	0.0120152	0.0290072	0.0323171	0.00965624	0.0768856	0.0103429	0.057584	0.019598	0.0924946	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.06701589	0.27557	0.211793	0.267107	0.245531	1.999892	0.4641799	0.05741065	-3.809591	1.379903	1.904131
1940	-16820.7	-16872.3	51.667	0.1710562	0.118057	0.00607169	0.00206462	0.0603464	0.0530908	0.638582	0.00390652	0.0545562	0.00882184	0.0280318	0.00843218	0.0581653	0.0546426	0.121597	0.00299814	0.0142222	0.013176	0.191336	0.0387015	0.0115724	0.01492	0.00272496	0.0513342	0.0769443	0.0401968	0.0128398	0.0158249	0.230225	0.0267968	0.0237748	0.0376436	0.0151136	0.121219	0.0226498	0.0115342	0.0285863	0.00637255	0.0069118	0.0325249	0.0314992	0.0364672	0.0182651	0.00890052	0.0252948	0.141702	0.0122371	0.0298513	0.000225706	0.0397932	0.0109242	0.78095	0.00939385	0.027489	0.0649745	0.0196908	0.0983708	0.0428955	0.0149924	0.0140015	0.0808062	0.00462725	0.0159336	0.0156171	0.0852782	0.0100453	0.0627223	0.155901	0.0168775	0.629887	0.0396302	0.00450595	0.0551197	0.00896806	0.145589	0.0128678	0.0563518	0.00326107	0.0192283	0.0115048	0.00917478	0.0344409	0.0128227	0.0100304	0.176304	0.0254237	0.0090443	0.00875552	1.42458	0.0639722	0.00138243	0.0135871	0.00255638	0.0145135	0.0177508	0.00183989	0.0310996	0.02081	0.0217439	0.0191891	0.209444	0.00651294	0.0107955	0.0214492	0.0394689	0.00268583	0.23511	1.23829	0.0201908	0.0587357	0.0758034	0.0544274	0.0166463	0.0376128	0.021666	0.0186821	0.0458989	0.0988249	0.00309652	0.0178653	0.0133613	0.0150371	0.00435102	0.0215938	0.0121785	0.0170622	0.00514036	0.00891263	0.00732624	0.00944687	0.00962466	0.105889	0.026324	0.089381	0.0483126	0.0363957	0.100386	0.0265944	0.0616215	0.0166555	0.00547555	0.00677777	0.186181	0.0443971	0.0700533	0.0123416	0.0206496	0.0463892	0.0122701	0.00359435	0.0121996	0.0294523	0.0328131	0.00958179	0.0780654	0.0162857	0.00647235	0.0369247	0.0519415	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.06708127	0.27557	0.211793	0.267107	0.245531	2.000531	0.4641799	0.06567818	-3.690283	1.390895	1.93459
1950	-16826.7	-16867.6	40.8327	0.1710562	0.120385	0.00648653	0.00220568	0.0644695	0.0567182	0.682212	0.00417343	0.0582837	0.00942459	0.0299471	0.0090083	0.0621394	0.058376	0.129905	0.00320299	0.015194	0.0140762	0.204409	0.0413458	0.012363	0.0159394	0.00291114	0.0548416	0.0822015	0.0429432	0.0137171	0.0169061	0.245955	0.0286277	0.0253992	0.0402156	0.0161463	0.129501	0.0241973	0.0123223	0.0305394	0.00680796	0.00738405	0.0347471	0.0336514	0.0389588	0.0195131	0.00950864	0.027023	0.151383	0.0130732	0.0318908	0.000241127	0.0425121	0.0116706	0.834308	0.0100357	0.0293671	0.0694138	0.010902	0.105092	0.0458263	0.0160167	0.0149581	0.0863272	0.0049434	0.0170223	0.0166841	0.0911047	0.0107317	0.0670078	0.166553	0.0180307	0.672924	0.0423379	0.00481381	0.0588857	0.0095808	0.155536	0.013747	0.060202	0.00348388	0.020542	0.0122909	0.00980164	0.036794	0.0136988	0.0107157	0.18835	0.0271607	0.00966224	0.00935374	1.52192	0.0683431	0.079576	0.0145155	0.00273104	0.0155051	0.0189636	0.0019656	0.0332245	0.0222319	0.0232296	0.0205002	0.223754	0.00695794	0.0115331	0.0229147	0.0421656	0.00286934	0.251174	1.3229	0.0215703	0.0627488	0.0809826	0.0581461	0.0177836	0.0401826	0.0231464	0.0199585	0.0490349	0.105577	0.00330809	0.0190859	0.0142743	0.0160645	0.0046483	0.0230692	0.0130106	0.018228	0.00549157	0.00952158	0.0078268	0.0100923	0.0102823	0.113124	0.0281225	0.0954879	0.0516135	0.0388824	0.107245	0.0284115	0.0658318	0.0177935	0.00584966	0.00724086	0.198901	0.0474305	0.0748397	0.0131848	0.0220605	0.0495587	0.0131084	0.00383993	0.0130331	0.0314646	0.035055	0.0102031	0.0833991	0.0111895	0.00334075	0.0291029	0.0737068	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.07204609	0.27557	0.211793	0.267107	0.245531	1.999897	0.4641799	0.06450587	-3.575198	1.291665	1.668398
