3D Point Measurements

Generated: Friday 05 May 2023 13:48:38

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0323_20210921220235_0001 - Copy.MOV	    220	   0.8963			88.471	-72.421	-373.772	0.078	0.074	0.268	0.266	390.868	17.147	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    240	   0.8991			5.350	-7.803	-496.483	0.073	0.072	0.446	0.235	496.573	1.278	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    240	   0.8991			-19.648	52.247	-567.371	0.084	0.098	0.577	0.499	570.110	5.415	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    240	   0.8991			90.943	-67.810	-367.658	0.078	0.070	0.260	0.304	384.761	17.279	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    260	   0.9019			10.229	-10.158	-491.126	0.073	0.072	0.437	0.025	491.337	1.842	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    260	   0.9019			-16.916	52.402	-562.157	0.083	0.097	0.567	0.022	564.848	5.387	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    260	   0.9019			95.311	-67.609	-361.904	0.079	0.070	0.254	0.335	380.302	18.022	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    280	   0.9046			14.150	-14.744	-485.340	0.072	0.071	0.427	0.015	485.771	2.573	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    280	   0.9046			-15.009	49.136	-559.676	0.083	0.095	0.562	0.333	562.029	5.036	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    280	   0.9046			98.791	-68.564	-356.081	0.079	0.069	0.249	0.428	375.838	18.786	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    300	   0.9074			17.946	-16.963	-479.878	0.072	0.071	0.418	0.054	480.513	3.100	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    300	   0.9074			-13.726	48.608	-555.792	0.082	0.094	0.555	0.226	558.082	4.983	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	    300	   0.9074			102.307	-67.385	-351.281	0.080	0.068	0.245	0.429	372.030	19.347	1	1															2	AD	Passing			
